Happy	Pharrell Williams
Dark Horse	Katy Perry Featuring Juicy J
All Of Me	John Legend
Talk Dirty	Jason Derulo Featuring 2 Chainz
Pompeii	Bastille
Team	Lorde
Counting Stars	OneRepublic
Drunk In Love	Beyonce Featuring Jay Z
We Might Be Dead By Tomorrow	Soko
The Man	Aloe Blacc
Timber	Pitbull Featuring Ke$ha
Say Something	A Great Big World & Christina Aguilera
Best Day Of My Life	American Authors
Let It Go	Idina Menzel
Show Me	Kid Ink Featuring Chris Brown
Story Of My Life	One Direction
Let Her Go	Passenger
#SELFIE	The Chainsmokers
Burn	Ellie Goulding
Royals	Lorde
Turn Down For What	DJ Snake & Lil Jon
Hey Brother	Avicii
The Monster	Eminem Featuring Rihanna
Demons	Imagine Dragons
Wake Me Up!	Avicii
Animals	Martin Garrix
Roar	Katy Perry
My Hitta	YG Featuring Jeezy & Rich Homie Quan
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Bottoms Up	Brantley Gilbert
Can't Remember To Forget You	Shakira Featuring Rihanna
Paranoid	Ty Dolla $ign Featuring B.o.B
Radioactive	Imagine Dragons
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Na Na	Trey Songz
Partition	Beyonce
Doin' What She Likes	Blake Shelton
Young Girls	Bruno Mars
Neon Lights	Demi Lovato
Wrecking Ball	Miley Cyrus
Cop Car	Keith Urban
Not A Bad Thing	Justin Timberlake
Hold On, We're Going Home	Drake Featuring Majid Jordan
I Hold On	Dierks Bentley
Drink To That All Night	Jerrod Niemann
Brave	Sara Bareilles
Adore You	Miley Cyrus
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Love Is An Open Door	Kristen Bell & Santino Fontana
Give Me Back My Hometown	Eric Church
Magic	Coldplay
Stoner	Young Thug
The Worst	Jhene Aiko
Helluva Life	Frankie Ballard
When She Says Baby	Jason Aldean
Get Me Some Of That	Thomas Rhett
Take Me Home	Cash Cash Featuring Bebe Rexha
See You Tonight	Scotty McCreery
Rewind	Rascal Flatts
La La La	Naughty Boy Featuring Sam Smith
Goodnight Kiss	Randy Houser
Drink A Beer	Luke Bryan
Ain't It Fun	Paramore
Human	Christina Perri
Trophies	Young Money Featuring Drake
Love Me Again	John Newman
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Compass	Lady Antebellum
19 You + Me	Dan + Shay
Mmm Yeah	Austin Mahone Featuring Pitbull
Let It Go	Demi Lovato
Man Of The Year	ScHoolboy Q
Everything I Shouldn't Be Thinking About	Thompson Square
Do I Wanna Know?	Arctic Monkeys
Beat Of The Music	Brett Eldredge
Classic	MKTO
Part II (On The Run)	Jay Z Featuring Beyonce
Who Do You Love?	YG Featuring Drake
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Ride	SoMo
Play It Again	Luke Bryan
Automatic	Miranda Lambert
On Top Of The World	Imagine Dragons
Sleeping With A Friend	Neon Trees
For The First Time In Forever	Kristen Bell & Idina Menzel
Headlights	Eminem Featuring Nate Ruess
Oceans (Where Feet May Fail)	Hillsong UNITED
Lettin' The Night Roll	Justin Moore
Slow Me Down	Sara Evans
The Walker	Fitz And The Tantrums
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Wild Wild Love	Pitbull Featuring G.R.L.
Invisible	Hunter Hayes
Odio	Romeo Santos Featuring Drake
Can't Raise A Man	K. Michelle
Fancy	Iggy Azalea Featuring Charli XCX
Red Lights	Tiesto
I Luh Ya Papi	Jennifer Lopez Featuring French Montana
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Latch	Disclosure Featuring Sam Smith
