Bridge Over Troubled Water	Simon & Garfunkel
Let It Be	The Beatles
Instant Karma (We All Shine On)	John Ono Lennon
The Rapper	The Jaggerz
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
ABC	Jackson 5
He Ain't Heavy, He's My Brother	The Hollies
Spirit In The Sky	Norman Greenbaum
Give Me Just A Little More Time	Chairman Of The Board
Come And Get It	Badfinger
House Of The Rising Sun	Frijid Pink
Easy Come, Easy Go	Bobby Sherman
Ma Belle Amie	The Tee Set
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Celebrate	Three Dog Night
Kentucky Rain	Elvis Presley
Evil Ways	Santana
Didn't I (Blow Your Mind This Time)	The Delfonics
Call Me/Son Of A Preacher Man	Aretha Franklin
Travelin' Band/Who'll Stop The Rain	Creedence Clearwater Revival
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
Up The Ladder To The Roof	The Supremes
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star	Sly & The Family Stone
Psychedelic Shack	The Temptations
The Bells	The Originals
Something's Burning	Kenny Rogers & The First Edition
Hey There Lonely Girl	Eddie Holman
All I Have To Do Is Dream	Bobbie Gentry & Glen Campbell
Love Or Let Me Be Lonely	The Friends Of Distinction
Raindrops Keep Fallin' On My Head	B.J. Thomas
Do The Funky Chicken	Rufus Thomas
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Shilo	Neil Diamond
American Woman/No Sugar Tonight	The Guess Who
Long Lonesome Highway	Michael Parks
It's A New Day (Part 1) & (Part 2)	James Brown
You're The One-Part II	Little Sister
Oh Me Oh My (I'm A Fool For You Baby)	Lulu
Temma Harbour	Mary Hopkin
Who's Your Baby?	The Archies
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
Let's Give Adam And Eve Another Chance	Gary Puckett And The Union Gap
Jennifer Tomkins	Street People
The Thrill Is Gone	B.B. King
Gotta Get Back To You	Tommy James And The Shondells
Walking Through The Country	The Grass Roots
Turn Back The Hands Of Time	Tyrone Davis
Take A Look Around	Smith
My Elusive Dreams	Bobby Vinton
Stir It Up And Serve It	Tommy Roe
Reflections Of My Life	The Marmalade
Easy To Be Free	Rick Nelson
Mighty Joe	The Shocking Blue
If I Never Knew Your Name	Vic Dana
Can't Help Falling In Love	Al Martino
My Woman, My Woman, My Wife	Marty Robbins
Oh Well - Pt. I	Fleetwood Mac
Rag Mama Rag	The Band
To The Other Woman (I'm The Other Woman)	Doris Duke
Until It's Time For You To Go	Neil Diamond
Get Ready	Rare Earth
California Girl	Eddie Floyd
Come Together	Ike & Tina Turner & The Ikettes
The Cat Walk	The Village Soul Choir
Welfare Cadilac	Guy Drake
Add Some Music To Your Day	The Beach Boys
Gonna Give Her All The Love I've Got	Marvin Gaye
Woodstock	Crosby, Stills, Nash & Young
1984	Spirit
Little Green Bag	George Baker Selection
For The Love Of Him	Bobbi Martin
Funky Drummer (Part 1)	James Brown
Ticket To Ride	Carpenters
Everybody's Out Of Town	B.J. Thomas
Living Loving Maid (She's Just A Woman)	Led Zeppelin
Silly, Silly, Fool	Dusty Springfield
Run Sally Run	The Cuff Links
Victoria	The Kinks
I Could Write A Book	Jerry Butler
Is Anybody Goin' To San Antone	Charley Pride
Children	Joe South
Brighton Hill	Jackie DeShannon
Dear Prudence	The 5 Stairsteps
Nothing Succeeds Like Success	Bill Deal & The Rhondels
The Funniest Thing	Dennis Yost And The Classics IV
Brown Paper Bag	Syndicate Of Sound
But For Love	Jerry Naylor
I Would Be In Love (Anyway)	Frank Sinatra
Come Into My Life	Jimmy Cliff
Capture The Moment	Jay & The Americans
Funky Chicken (Part 1)	Willie Henderson And The Soul Explosions
You Keep Tightening Up On Me	The Box Tops
Hitchin' A Ride	Vanity Fare
July 12, 1939	Charlie Rich
You've Made Me So Very Happy	Lou Rawls
Time To Get It Together	Country Coalition
If Only I Had My Mind On Something Else	Bee Gees
Vehicle	The Ides Of March
I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
