Sundown	Gordon Lightfoot
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
You Make Me Feel Brand New	The Stylistics
Be Thankful For What You Got	William DeVaughn
If You Love Me (let Me Know)	Olivia Newton-John
Rock The Boat	The Hues Corporation
Hollywood Swinging	Kool & The Gang
Band On The Run	Paul McCartney And Wings
Rock Your Baby	George McCrae
Annie's Song	John Denver
The Air That I Breathe	The Hollies
You Won't See Me	Anne Murray
On And On	Gladys Knight And The Pips
The Streak	Ray Stevens
One Hell Of A Woman	Mac Davis
Dancing Machine	Jackson 5
Rikki Don't Lose That Number	Steely Dan
I'm Coming Home	The Spinners
Rock And Roll Heaven	The Righteous Brothers
Sideshow	Blue Magic
Midnight At The Oasis	Maria Muldaur
The Entertainer	Marvin Hamlisch/"The Sting"
For The Love Of Money	The O'Jays
Haven't Got Time For The Pain	Carly Simon
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Train Of Thought	Cher
My Girl Bill	Jim Stafford
Radar Love	Golden Earring
Waterloo	ABBA
Help Me	Joni Mitchell
Already Gone	Eagles
The Loco-Motion	Grand Funk
If You Talk In Your Sleep	Elvis Presley
Finally Got Myself Together (I'm A Changed Man)	The Impressions
The Show Must Go On	Three Dog Night
Takin' Care Of Business	Bachman-Turner Overdrive
Oh Very Young	Cat Stevens
Workin' At The Car Wash Blues	Jim Croce
Come Monday	Jimmy Buffett
La Grange	ZZ Top
I Won't Last A Day Without You	Carpenters
Son Of Sagittarius	Eddie Kendricks
Keep On Smilin'	Wet Willie
Machine Gun	Commodores
This Heart	Gene Redding
Don't You Worry 'Bout A Thing	Stevie Wonder
Ballero	War
I'm The Leader Of The Gang	Brownsville Station
Don't Let The Sun Go Down On Me	Elton John
Please Come To Boston	Dave Loggins
Fish Ain't Bitin'	Lamont Dozier
Feel Like Makin' Love	Roberta Flack
When The Morning Comes	Hoyt Axton
Jive Turkey (Part 1)	Ohio Players
Wildflower	The New Birth
Room Full Of Roses	Mickey Gilley
Tell Me Something Good	Rufus Featuring Chaka Khan
The Same Love That Made Me Laugh	Bill Withers
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
Living In The U.s.a.	The Steve Miller Band
I'm In Love	Aretha Franklin
You And Me Against The World	Helen Reddy
Too Late	Tavares
My Thang	James Brown
Rock Me Gently	Andy Kim
That Song Is Driving Me Crazy	Tom T. Hall
If You Go Away	Terry Jacks
Call On Me	Chicago
King Of Nothing	Seals & Crofts
Silly Milly	Blue Swede
Put Out The Light	Joe Cocker
Rebel Rebel	David Bowie
The Night Chicago Died	Paper Lace
Wild Thing	Fancy
I Hate Hate	Razzy
Lamplight	David Essex
There Will Never Be Any Peace (Until God Is Seated At The Conference Table)	The Chi-lites
Hang On In There Baby	Johnny Bristol
I've Had It	Fanny
Kung Fu	Curtis Mayfield
Mr. President	Dickie Goodman
Sho Nuff Boogie (Part I)	Sylvia And The Moments
Rub It In	Billy "Crash" Craddock
You've Got My Soul On Fire	The Temptations
I'm Falling In Love With You	Little Anthony And The Imperials
How Do You Feel The Morning After	Millie Jackson
Sure As I'm Sittin' Here	Three Dog Night
I've Been Born Again	Johnnie Taylor
Old Home Filler-up An' Keep On-a-truckin' Cafe	C.W. McCall
You Can't Be A Beacon (if Your Light Don't Shine)	Donna Fargo
What's Your Name	Andy & David Williams
Wake Up And Love Me	April
Worse Comes To Worst	Billy Joel
Tell Me That I'm Wrong	Blood, Sweat & Tears
Air Disaster	Albert Hammond
Happiness Is Just Around The Bend	The Main Ingredient
Between Her Goodbye And My Hello	Gladys Knight And The Pips
Georgia Porcupine	George Fischoff
Tell Laura I Love Her	Johnny T. Angel
