Livin' La Vida Loca	Ricky Martin
No Scrubs	TLC
Kiss Me	Sixpence None The Richer
Every Morning	Sugar Ray
Who Dat	JT Money Featuring Sole
Fortunate	Maxwell
Believe	Cher
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Where My Girls At?	702
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Give It To You	Jordan Knight
Slide	Goo Goo Dolls
Please Remember Me	Tim McGraw
808	Blaque
That Don't Impress Me Much	Shania Twain
What It's Like	Everlast
Anywhere	112 Featuring Lil'z
I Want It That Way	Backstreet Boys
Sweet Lady	Tyrese
Chante's Got A Man	Chante Moore
Fly Away	Lenny Kravitz
The Hardest Thing	98 Degrees
If You (Lovin' Me)	Silk
Angel Of Mine	Monica
Almost Doesn't Count	Brandy
Back 2 Good	matchbox 20
Angel	Sarah McLachlan
You Won't Ever Be Lonely	Andy Griggs
...Baby One More Time	Britney Spears
We Like To Party!	Vengaboys
Ex-Factor	Lauryn Hill
Wild Wild West	Will Smith Featuring Dru Hill & Kool Mo Dee
Save Tonight	Eagle-Eye Cherry
All I Have To Give	Backstreet Boys
Write This Down	George Strait
Praise You	Fatboy Slim
You	Jesse Powell
Two Teardrops	Steve Wariner
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Anyone Else	Collin Raye
My Favorite Girl	Dave Hollister
Wish You Were Here	Mark Wills
I Still Believe	Mariah Carey
Man! I Feel Like A Woman!	Shania Twain
Sitting Home	Total
How Forever Feels	Kenny Chesney
Hands Of A Working Man	Ty Herndon
My First Night With You	Mya
Anything But Down	Sheryl Crow
It's Not Right But It's Okay	Whitney Houston
Gone Crazy	Alan Jackson
Special	Garbage
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
With You	Lila McCann
What's So Different	Ginuwine
C'est La Vie	B*Witched
What'd You Come Here For?	Trina & Tamara
All Night Long	Faith Evans Featuring Puff Daddy
Blue Monday	Orgy
Holla Holla	Ja Rule
I'll Think Of A Reason Later	Lee Ann Womack
Hillbilly Shoes	Montgomery Gentry
Whatever You Say	Martina McBride
If You Had My Love	Jennifer Lopez
No Pigeons	Sporty Thievz Featuring Mr. Woods
Life	K-Ci & JoJo
Down So Long	Jewel
My Own Worst Enemy	Lit
I Drive Myself Crazy	'N Sync
Drive Me Wild	Sawyer Brown
Hate Me Now	Nas Featuring Puff Daddy
When I Close My Eyes	Shanice
Nann	Trick Daddy Featuring Trina
One	Creed
All Star	Smash Mouth
Tonight The Heartache's On Me	Dixie Chicks
Stay The Same	Joey McIntyre
Why Don't You Get A Job?	The Offspring
It's Over Now	Deborah Cox
One More Try	Divine
Sometimes	Britney Spears
Georgy Porgy	Eric Benet Featuring Faith Evans
Ordinary Life	Chad Brock
Jigga What...	Jay-Z Featuring Big Jaz
You Were Mine	Dixie Chicks
Heavy	Collective Soul
I Will Remember You (Live)	Sarah McLachlan
Crush	Dave Matthews Band
Get Involved	Raphael Saadiq & Q-Tip
She's A Bitch	Missy "Misdemeanor" Elliott
Strong Enough	Cher
Stranger In My Mirror	Randy Travis
Everytime I Cry	Terri Clark
A Night To Remember	Joe Diffie
Little Good-Byes	SHeDAISY
Maybe Not Tonight	Sammy Kershaw & Lorrie Morgan
Single White Female	Chely Wright
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
Harmless	Mulberry Lane
Girlfriend/Boyfriend	BLACKstreet With Janet
