4 Seasons Of Loneliness	Boyz II Men
Honey	Mariah Carey
You Make Me Wanna...	Usher
How Do I Live	LeAnn Rimes
Quit Playing Games (With My Heart)	Backstreet Boys
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
Semi-Charmed Life	Third Eye Blind
2 Become 1	Spice Girls
I'll Be Missing You	Puff Daddy & Faith Evans Featuring 112
Foolish Games/You Were Meant For Me	Jewel
All For You	Sister Hazel
All Cried Out	Allure Featuring 112
Building A Mystery	Sarah McLachlan
Invisible Man	98 Degrees
Up Jumps Da Boogie	Magoo And Timbaland
Barbie Girl	Aqua
Not Tonight	Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar
You Should Be Mine (Don't Waste Your Time)	Brian McKnight Featuring Mase
Never Make A Promise	Dru Hill
Sunny Came Home	Shawn Colvin
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
What About Us	Total
Do You Know (What It Takes)	Robyn
The One I Gave My Heart To	Aaliyah
Everything	Mary J. Blige
Bitch	Meredith Brooks
Butta Love	Next
Criminal	Fiona Apple
The Freshmen	The Verve Pipe
I Miss My Homies	Master P Featuring Pimp C And The Shocker
Return Of The Mack	Mark Morrison
Barely Breathing	Duncan Sheik
Coco Jamboo	Mr. President
You Light Up My Life	LeAnn Rimes
Tubthumping	Chumbawamba
I Care 'Bout You	Milestone
Avenues	Refugee Camp All Stars Featuring Pras (With Ky-mani)
Do You Like This	Rome
G.H.E.T.T.O.U.T.	Changing Faces
For You I Will (From "Space Jam")	Monica
ESPN Presents The Jock Jam	Various Artists
Someone	SWV (Featuring Puff Daddy)
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
Say You'll Be There	Spice Girls
On My Own	Peach Union
Backyard Boogie	Mack 10
I Say A Little Prayer	Diana King
C U When U Get There (From "Nothing To Lose")	Coolio Featuring 40 Thevz
Gotham City	R. Kelly
I Want You	Savage Garden
Legend Of A Cowgirl	Imani Coppola
Me And My Crazy World	Lost Boyz
All I Want (From "GOOD Burger")	702
After 12, Before 6	Sam Salter
I Can Love You	Mary J. Blige
No Tengo Dinero	Los Umbrellos
Have A Little Mercy	4.0
Big Bad Mamma (From "Def Jam's How To Be A Player")	Foxy Brown Featuring Dru Hill
To The Moon And Back	Savage Garden
When I Die	No Mercy
Around The World	Daft Punk
Go The Distance (From "Hercules")	Michael Bolton
More Than This	10,000 Maniacs
As We Lay	Dana
Things Just Ain't The Same	Deborah Cox
Don't Go	Le Click Featuring Kayo
Look Into My Eyes (From "Batman & Robin")	Bone Thugs-N-Harmony
Don't Say	Jon B
I'm Not A Fool	Immature
The Way That You Talk	Jagged Edge Featuring Da Brat & JD
Take It To The Streets	Rampage Featuring Billy Lawrence
Piece Of My Heart	Shaggy (Featuring Marsha)
Jack-Ass	Beck
Down For Yours	Nastyboy Klick Featuring Roger Troutman
We Can Get Down	Myron
Free	Ultra Nate
Hole In My Soul	Aerosmith
Whatever	En Vogue
Love Is Alive	3rd Party
You Bring Me Up	K-Ci & JoJo
Alone	Bee Gees
Men Of Steel (From "Steel")	Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One
Smile	Scarface Featuring 2Pac & Johnny P
Last Night's Letter	K-Ci & JoJo
Fix	BLACKstreet With Special Guests Ol' Dirty Bastard & Slash
Off The Books	The Beatnuts Featuring Big Punisher & Cuban Link
Valentine	Martina McBride With Jim Brickman
To Make You Feel My Love	Billy Joel
Need Your Love	Big Bub Featuring Queen Latifah & Heavy D
Can't Let Go	Laurnea
Please	The Kinleys
Never, Never Gonna Give You Up	Lisa Stansfield
Four Leaf Clover	Abra Moore
Rhythm Of Love	DJ Company
Go Away	Lorrie Morgan
When You Talk About Love	Patti LaBelle
Butterfly Kisses	Raybon Bros.
Can't Get You Out Of My Mind	Lil Suzy
Can We (From "Booty Call")	SWV
It's Alright	Queen Latifah
