Cherish	The Association
Reach Out I'll Be There	Four Tops
96 Tears	? (Question Mark) & The Mysterians
Black Is Black	Los Bravos
Beauty Is Only Skin Deep	The Temptations
Last Train To Clarksville	The Monkees
Cherry, Cherry	Neil Diamond
You Can't Hurry Love	The Supremes
Psychotic Reaction	Count Five
I've Got You Under My Skin	The 4 Seasons Featuring the "Sound of Frankie Valli"
What Becomes Of The Brokenhearted	Jimmy Ruffin
Sunshine Superman	Donovan
Born A Woman	Sandy Posey
Walk Away Renee	The Left Banke
Bus Stop	The Hollies
Yellow Submarine	The Beatles
Mr. Dieingly Sad	The Critters
Wipe Out	The Surfaris
See See Rider	Eric Burdon & The Animals
Poor Side Of Town	Johnny Rivers
Eleanor Rigby	The Beatles
If I Were A Carpenter	Bobby Darin
Hooray For Hazel	Tommy Roe
I Really Don't Want To Know	Ronnie Dove
B-A-B-Y	Carla Thomas
All I See Is You	Dusty Springfield
Sunny Afternoon	The Kinks
Summer Samba (So Nice)	Walter Wanderley
All Strung Out	Nino Tempo & April Stevens
Flamingo	Herb Alpert & The Tijuana Brass
Almost Persuaded	David Houston
I Chose To Sing The Blues	Ray Charles & The Raelets
Just Like A Woman	Bob Dylan
Summer Wind	Frank Sinatra
Guantanamera	The Sandpipers
See You In September	The Happenings
Girl On A Swing	Gerry And The Pacemakers
I Can Make It With You	Pozo Seco Singers
Working In The Coal Mine	Lee Dorsey
Have You Seen Your Mother, Baby, Standing In The Shadow?	The Rolling Stones
Born Free	Roger Williams
Open The Door To Your Heart	Darrell Banks
Little Man	Sonny & Cher
Love Is A Hurtin' Thing	Lou Rawls
Wouldn't It Be Nice	The Beach Boys
Land Of 1000 Dances	Wilson Pickett
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
Dandy	Herman's Hermits
In Our Time	Nancy Sinatra
In The Arms Of Love	Andy Williams
The Hair On My Chinny Chin Chin	Sam The Sham and the Pharaohs
The Great Airplane Strike	Paul Revere & The Raiders Featuring Mark Lindsay
The Fife Piper	The Dynatones
I Want To Be With You	Dee Dee Warwick
You're Gonna Miss Me	The Thirteenth Floor Elevators
Mr. Spaceman	The Byrds
Come On Up	The Young Rascals
Mind Excursion	The Trade Winds
Blue Side Of Lonesome	Jim Reeves
Please Mr. Sun	The Vogues
My Uncle Used To Love Me But She Died	Roger Miller
Mas Que Nada	Sergio Mendes & Brasil '66
Go Away Little Girl	The Happenings
Said I Wasn't Gonna Tell Nobody	Sam & Dave
Can't Satisfy	The Impressions
Coming On Strong	Brenda Lee
Fa-Fa-Fa-Fa-Fa (Sad Song)	Otis Redding
I Can Make It With You	Jackie DeShannon
I Just Don't Know What To Do With Myself	Dionne Warwick
Don't Worry Mother, Your Son's Heart Is Pure	The McCoys
I'm Your Puppet	James & Bobby Purify
Changes	Crispian St. Peters
(You Don't Have To) Paint Me A Picture	Gary Lewis And The Playboys
Melody For An Unknown Girl	The Unknowns
Ain't Gonna Lie	Keith
But It's Alright	J.J. Jackson
Knock On Wood	Eddie Floyd
Spinout	Elvis Presley With The Jordanaires
Devil With A Blue Dress On & Good Golly Miss Molly	Mitch Ryder And The Detroit Wheels
Almost Persuaded No. 2	Ben Colder
Happiness	Shades Of Blue
All That I Am	Elvis Presley With The Jordanaires
A Satisfied Mind	Bobby Hebb
Take Good Care Of Her	Mel Carter
Stop, Look And Listen	The Chiffons
Baby, Do The Philly Dog	The Olympics
I've Got To Do A Little Bit Better	Joe Tex
Nobody's Baby Again	Dean Martin
Tomorrow Never Comes	B.J. Thomas
Lady Godiva	Peter And Gordon
You Are She	Chad & Jeremy
Stay With Me	Lorraine Ellison
Don't Be A Drop-Out	James Brown And The Famous Flames
Lookin' For Love	Ray Conniff And The Singers
The Wheel Of Hurt	Margaret Whiting
Dommage, Dommage (Too Bad, Too Bad)	Jerry Vale
Dommage, Dommage (Too Bad, Too Bad)	Paul Vance
What Now My Love	"Groove" Holmes
Secret Love	Richard "Groove" Holmes
Cry Softly	Nancy Ames
