Big Girls Don't Cry	The 4 Seasons
Return To Sender	Elvis Presley With The Jordanaires
Bobby's Girl	Marcie Blane
Don't Hang Up	The Orlons
Ride!	Dee Dee Sharp
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Telstar	The Tornadoes
Limbo Rock	Chubby Checker
All Alone Am I	Brenda Lee
Release Me	Esther Phillips "Little Esther"
He's A Rebel	The Crystals
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
My Own True Love	The Duprees
Love Came To Me	Dion
Rumors	Johnny Crawford
Keep Your Hands Off My Baby	Little Eva
The Cha-Cha-Cha	Bobby Rydell
Desafinado	Stan Getz/Charlie Byrd
Eso Beso (That Kiss!)	Paul Anka
Go Away Little Girl	Steve Lawrence
Next Door To An Angel	Neil Sedaka
You Are My Sunshine	Ray Charles
Let's Go (pony)	The Routers
Hotel Happiness	Brook Benton
Dear Lonely Hearts	Nat King Cole
Wiggle Wobble	Les Cooper and the Soul Rockers
Only Love Can Break A Heart	Gene Pitney
I Can't Help It (If I'm Still In Love With You)	Johnny Tillotson
Chains	The Cookies
Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
Ruby Ann	Marty Robbins
Gina	Johnny Mathis
The Push And Kick	Mark Valentino
Nothing Can Change This Love	Sam Cooke
Your Cheating Heart	Ray Charles
That Stranger Used To Be My Girl	Trade Martin
What Kind Of Fool Am I	Sammy Davis Jr.
I've Got A Woman (Part I)	Jimmy McGriff
Mary Ann Regrets	Burl Ives
Mama Sang A Song	Stan Kenton
Close To Cathy	Mike Clifford
Do You Love Me	The Contours
Two Lovers	Mary Wells
Spanish Lace	Gene McDaniels
My Dad	Paul Petersen
Léah	Roy Orbison
Lovers By Night, Strangers By Day	The Fleetwoods
Mama Sang A Song	Walter Brennan
Comin' Home Baby	Mel Torme
I Left My Heart In San Francisco	Tony Bennett
Stubborn Kind Of Fellow	Marvin Gaye
Shutters And Boards	Jerry Wallace
Everybody Loves A Lover	The Shirelles
Popeye (The Hitchhiker)	Chubby Checker
Tell Him	The Exciters
Diddle-Dee-Dum (What Happens When Your Love Has Gone)	The Belmonts
You Threw A Lucky Punch	Gene Chandler
Up On The Roof	The Drifters
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
That's Life (That's Tough)	Gabriel And The Angels
I Lost My Baby	Joey Dee
Baby Has Gone Bye Bye	George Maharis
Ten Little Indians	The Beach Boys
A Little Bit Now (A Little Bit Later)	The Majors
Let's Kiss And Make Up	Bobby Vinton
The Little Drummer Boy	The Harry Simeone Chorale
If You Were A Rock And Roll Record	Freddy Cannon
Don't Go Near The Eskimos	Ben Colder
Rainbow At Midnight	Jimmie Rodgers
The Night Has A Thousand Eyes	Bobby Vee
Road Hog	John D. Loudermilk
Pepino The Italian Mouse	Lou Monte
See See Rider	LaVern Baker
I Saw Linda Yesterday	Dickey Lee
Coney Island Baby	The Excellents
Trouble Is My Middle Name	Bobby Vinton
The Love Of A Boy	Timi Yuro
Don't Make Me Over	Dionne Warwick
I May Not Live To See Tomorrow	Brian Hyland
Monsters' Holiday	Bobby "Boris" Pickett And The Crypt-Kickers
My Wife Can't Cook	Lonnie Russ
The Jitterbug	The Dovells
Desafinado (Slightly Out Of Tune)	Pat Thomas
The Ballad Of Jed Clampett	Flatt & Scruggs
Me And My Shadow	Frank Sinatra & Sammy Davis Jr.
Gonna Raise A Rukus Tonight	Jimmy Dean
You've Really Got A Hold On Me	The Miracles
Some Kinda Fun	Chris Montez
Still Waters Run Deep	Brook Benton
Strange I Know	The Marvelettes
Let Me Go The Right Way	The Supremes
The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
Limelight	Mr. Acker Bilk
Cast Your Fate To The Wind	Vince Guaraldi Trio
Getting Ready For The Heartbreak	Chuck Jackson
Twilight Time	Andy Williams
Three Hearts In A Tangle	James Brown And The Famous Flames
Zero-Zero	Lawrence Welk
Jingle Bell Rock	Bobby Helms
Night Time	Pete Antell
