With A Little Luck	Wings
The Closer I Get To You	Roberta Flack With Donny Hathaway
Too Much, Too Little, Too Late	Johnny Mathis/Deniece Williams
You're The One That I Want	John Travolta & Olivia Newton-John
If I Can't Have You	Yvonne Elliman
Shadow Dancing	Andy Gibb
Feels So Good	Chuck Mangione
Count On Me	Jefferson Starship
Imaginary Lover	Atlanta Rhythm Section
Night Fever	Bee Gees
On Broadway	George Benson
Disco Inferno	The Trammps
This Time I'm In It For Love	Player
Can't Smile Without You	Barry Manilow
Baby Hold On	Eddie Money
Love Is Like Oxygen	Sweet
Take A Chance On Me	ABBA
Movin' Out (Anthony's Song)	Billy Joel
Two Doors Down	Dolly Parton
It's A Heartache	Bonnie Tyler
Werewolves Of London	Warren Zevon
Dust In The Wind	Kansas
You Belong To Me	Carly Simon
Lay Down Sally	Eric Clapton
Jack And Jill	Raydio
Baker Street	Gerry Rafferty
Two Out Of Three Ain't Bad	Meat Loaf
Deacon Blues	Steely Dan
Sweet Talkin' Woman	Electric Light Orchestra
Every Kinda People	Robert Palmer
Dance With Me	Peter Brown With Betty Wright
Because The Night	Patti Smith Group
Running On Empty	Jackson Browne
Heartless	Heart
Our Love	Natalie Cole
Let's All Chant	The Michael Zager Band
Tumbling Dice	Linda Ronstadt
Do You Believe In Magic	Shaun Cassidy
Ego	Elton John
Stayin' Alive	Bee Gees
Bluer Than Blue	Michael Johnson
You're The Love	Seals & Crofts
Stay	Rufus/Chaka Khan
Cheeseburger In Paradise	Jimmy Buffett
I Was Only Joking	Rod Stewart
Since You Been Gone	Head East
Follow You Follow Me	Genesis
Oh What A Night For Dancing	Barry White
The Wanderer	Leif Garrett
Almost Summer	Celebration featuring Mike Love
Everybody Dance	Chic
The Groove Line	Heatwave
I Can't Stand The Rain	Eruption
Use Ta Be My Girl	The O'Jays
I Want To Live	John Denver
Warm Ride	Rare Earth
Even Now	Barry Manilow
Still The Same	Bob Seger & The Silver Bullet Band
Dance Across The Floor	Jimmy "Bo" Horne
Ca Plane Pour Moi	Plastic Bertrand
(I Will Be Your) Shadow In The Street	Allan Clarke
Chattanooga Choo Choo	Tuxedo Junction
Wheel In The Sky	Journey
Only The Good Die Young	Billy Joel
Thank God It's Friday	Love And Kisses
Flash Light	Parliament
You Got It	Diana Ross
You Keep Me Dancing	Samantha Sang
Weekend Lover	Odyssey
Roll With The Changes	REO Speedwagon
Fantasy	Earth, Wind & Fire
Wonderful Tonight	Eric Clapton
It's The Same Old Song	KC And The Sunshine Band
I'm On My Way	Captain & Tennille
Last Dance	Donna Summer
I Want You To Be Mine	Kayak
It's Late	Queen
Goodbye Girl	David Gates
We'll Never Have To Say Goodbye Again	England Dan & John Ford Coley
More Than A Woman	Tavares
Where Have You Been All My Life	Fotomaker
Darlin'	Paul Davis Feat. Susan Collins
Take Me Back To Chicago	Chicago
Runnin' With The Devil	Van Halen
Stone Blue	Foghat
Africanism/Gimme Some Lovin'	Kongas
If Ever I See You Again	Roberta Flack
Hold On To The Night	Starz
Make You Feel Love Again	Wet Willie
Stay Awhile	Continental Miniatures
Fooling Yourself (The Angry Young Man)	Styx
Ain't Gonna Eat Out My Heart Anymore	Angel
(Love Is) Thicker Than Water	Andy Gibb
He's So Fine	Jane Olivor
I Go Crazy	Paul Davis
Ebony Eyes	Bob Welch
Thank You For Being A Friend	Andrew Gold
Mama Let Him Play	Doucette
Always And Forever	Heatwave
Emotion	Samantha Sang
