Like A Virgin	Madonna
All I Need	Jack Wagner
The Wild Boys	Duran Duran
Sea Of Love	The Honeydrippers
We Belong	Pat Benatar
You're The Inspiration	Chicago
Run To You	Bryan Adams
Cool It Now	New Edition
Valotte	Julian Lennon
Born In The USA	Bruce Springsteen
I Want To Know What Love Is	Foreigner
Out Of Touch	Daryl Hall John Oates
Easy Lover	Philip Bailey With Phil Collins
Do What You Do	Jermaine Jackson
Do They Know It's Christmas?	Band-Aid
The Boys Of Summer	Don Henley
Understanding	Bob Seger
Jamie	Ray Parker Jr.
I Would Die 4 U	Prince And The Revolution
Careless Whisper	Wham! Featuring George Michael
I Feel For You	Chaka Khan
Lover Boy	Billy Ocean
No More Lonely Nights	Paul McCartney
Neutron Dance	The Pointer Sisters
Love Light In Flight	Stevie Wonder
Method Of Modern Love	Daryl Hall John Oates
Bruce	Rick Springfield
I Can't Hold Back	Survivor
Foolish Heart	Steve Perry
Call To The Heart	Giuffria
Tender Years	John Cafferty & The Beaver Brown Band
Solid	Ashford & Simpson
All Through The Night	Cyndi Lauper
Jungle Love	The Time
Hello Again	The Cars
Operator	Midnight Star
Misled	Kool & The Gang
In Neon	Elton John
Money Changes Everything	Cyndi Lauper
Mistake No. 3	Culture Club
Wake Me Up Before You Go-Go	Wham!
Tenderness	General Public
The Heat Is On	Glenn Frey
Sugar Walls	Sheena Easton
The Old Man Down The Road	John Fogerty
Centipede	Rebbie Jackson
Mr. Telephone Man	New Edition
The Belle Of St. Mark	Sheila E.
Penny Lover	Lionel Richie
20/20	George Benson
Missing You	Diana Ross
Strut	Sheena Easton
Make No Mistake, He's Mine	Barbra Streisand With Kim Carnes
(Pride) In The Name Of Love	U2
Do It Again	The Kinks
Lover Girl	Teena Marie
Tragedy	John Hunter
Stranger In Town	Toto
Naughty Naughty	John Parr
Treat Her Like A Lady	The Temptations
Lonely School	Tommy Shaw
Walking On A Thin Line	Huey Lewis & The News
Turn Up The Radio	Autograph
Knocking At Your Back Door	Deep Purple
Better Be Good To Me	Tina Turner
Big In Japan	Alphaville
Small Town Boy	Bronski Beat
Rockin' At Midnight	The Honeydrippers
We Are The Young	Dan Hartman
Tonight	David Bowie
Eye On You	Billy Squier
All Right Now	Rod Stewart
Two Tribes	Frankie Goes To Hollywood
Ti Amo	Laura Branigan
I Just Called To Say I Love You	Stevie Wonder
Caribbean Queen (No More Love On The Run)	Billy Ocean
It Ain't Enough	Corey Hart
Purple Rain	Prince And The Revolution
I Do'wanna Know	REO Speedwagon
Don't Stop	Jeffrey Osborne
The Greatest Gift Of All	Kenny Rogers & Dolly Parton
Yo Little Brother	Nolan Thomas
Desert Moon	Dennis DeYoung
Hard Habit To Break	Chicago
Fools Like Me	Lorenzo Lamas
Had A Dream (Sleeping With The Enemy)	Roger Hodgson
Friends/Five Minutes Of Funk	Whodini
Catch My Fall	Billy Idol
Tears	John Waite
Gotta Get You Home Tonight	Eugene Wilde
What About Me?	Kenny Rogers With Kim Carnes & James Ingram
Taxi Dancing	Rick Springfield With Randy Crawford
Eat My Shorts	Rick Dees
I Can't Drive 55	Sammy Hagar
Rain Forest	Paul Hardcastle
Amnesia	Shalamar
Blue Jean	David Bowie
I'm So Excited	The Pointer Sisters
Let It All Blow	Dazz Band
Hands Tied	Scandal Featuring Patty Smyth
