Dizzy	Tommy Roe
Proud Mary	Creedence Clearwater Revival
Traces	Classics IV Featuring Dennis Yost
Build Me Up Buttercup	The Foundations
Indian Giver	1910 Fruitgum Co.
Time Of The Season	The Zombies
This Girl's In Love With You	Dionne Warwick
Everyday People	Sly & The Family Stone
Crimson And Clover	Tommy James And The Shondells
Run Away Child, Running Wild	The Temptations
Galveston	Glen Campbell
Games People Play	Joe South
My Whole World Ended (The Moment You Left Me)	David Ruffin
Aquarius/Let The Sunshine In (The Flesh Failures)	The 5th Dimension
I've Gotta Be Me	Sammy Davis Jr.
Things I'd Like To Say	New Colony Six
Baby, Baby Don't Cry	Smokey Robinson & The Miracles
This Magic Moment	Jay & The Americans
The Weight	Aretha Franklin
Rock Me	Steppenwolf
You've Made Me So Very Happy	Blood, Sweat & Tears
Hot Smoke & Sasafrass	The Bubble Puppy
Mr. Sun, Mr. Moon	Paul Revere & The Raiders Featuring Mark Lindsay
Only The Strong Survive	Jerry Butler
I Got A Line On You	Spirit
You Gave Me A Mountain	Frankie Laine
Twenty-Five Miles	Edwin Starr
Sweet Cream Ladies, Forward March	The Box Tops
But You Know I Love You	The First Edition
Mendocino	Sir Douglas Quintet
Touch Me	The Doors
You Showed Me	The Turtles
I'll Try Something New	Supremes & Temptations
Sophisticated Cissy	The Meters
Ramblin' Gamblin' Man	Bob Seger System
Give It Up Or Turnit A Loose	James Brown
Do Your Thing	The Watts 103rd Street Rhythm Band
There'll Come A Time	Betty Everett
I Don't Know Why	Stevie Wonder
Don't Give In To Him	Gary Puckett And The Union Gap
May I	Bill Deal & The Rhondels
It's Your Thing	The Isley Brothers
No, Not Much	The Vogues
I Can Hear Music	The Beach Boys
Try A Little Tenderness	Three Dog Night
The Letter	The Arbors
Cloud Nine	Mongo Santamaria
A Lover's Question	Otis Redding
Brother Love's Travelling Salvation Show	Neil Diamond
Lovin' Things	The Grass Roots
Johnny One Time	Brenda Lee
Let It Be Me	Glen Campbell & Bobbie Gentry
Snatching It Back	Clarence Carter
Blessed Is The Rain	The Brooklyn Bridge Featuring Johnny Maestro
These Are Not My People	Johnny Rivers
Tear Drop City	The Monkees
When He Touches Me (Nothing Else Matters)	Peaches & Herb
Gimme Gimme Good Lovin'	Crazy Elephant
Back Door Man	Derek
Apricot Brandy	Rhinoceros
Don't Touch Me	Bettye Swann
Who's Making Love	Young-Holt Unlimited
I Like What You're Doing (To Me)	Carla Thomas
Don't Forget About Me	Dusty Springfield
The Way It Used To Be	Engelbert Humperdinck
The Pledge Of Allegiance	Red Skelton
Memories	Elvis Presley
Playgirl	Thee Prophets
Maybe Tomorrow	The Iveys
Hair	The Cowsills
The Chokin' Kind	Joe Simon
Shotgun	Vanilla Fudge
Long Green	The Fireballs
Will You Be Staying After Sunday	The Peppermint Rainbow
Soul Experience	Iron Butterfly
Day After Day (It's Slippin' Away)	Shango
Didn't You Know (You'd Have To Cry Sometime)	Gladys Knight And The Pips
Time Is Tight	Booker T. & The MG's
Hello It's Me	Nazz
Goodbye Columbus	The Association
Is It Something You've Got	Tyrone Davis
First Of May	Bee Gees
Move In A Little Closer, Baby	Mama Cass
It's Only Love	B.J. Thomas
In The Still Of The Night	Paul Anka
Sweet Cherry Wine	Tommy James And The Shondells
Ice Cream Song	The Dynamics
Nothing But A Heartache	The Flirtations
Sing A Simple Song	Sly & The Family Stone
Kick Out The Jams	MC5
Tracks Of My Tears	Aretha Franklin
Hawaii Five-O	The Ventures
Time Was	Canned Heat
Hallways Of My Mind	The Dells
Only You (And You Alone)	Bobby Hatfield
Foolish Fool	Dee Dee Warwick
Born Again	Sam & Dave
The Wedding Cake	Connie Francis
Give It Away	The Chi-lites
God Knows I Love You	Nancy Sinatra
