Everytime You Go Away	Paul Young
Shout	Tears For Fears
You Give Good Love	Whitney Houston
A View To A Kill	Duran Duran
If You Love Somebody Set Them Free	Sting
Glory Days	Bruce Springsteen
Raspberry Beret	Prince And The Revolution
Sentimental Street	Night Ranger
Never Surrender	Corey Hart
Get It On (Bang A Gong)	The Power Station
The Search Is Over	Survivor
Voices Carry	'Til Tuesday
Sussudio	Phil Collins
Who's Holding Donna Now	Debarge
19	Paul Hardcastle
The Power Of Love	Huey Lewis & The News
People Are People	Depeche Mode
Would I Lie To You?	Eurythmics
Freeway Of Love	Aretha Franklin
You Spin Me Round (Like A Record)	Dead Or Alive
Just As I Am	Air Supply
What About Love?	Heart
Summer Of '69	Bryan Adams
Rock Me Tonight	Freddie Jackson
St. Elmo's Fire (Man In Motion)	John Parr
We Don't Need Another Hero (Thunderdome)	Tina Turner
The Goonies `R' Good Enough	Cyndi Lauper
Heaven	Bryan Adams
Find A Way	Amy Grant
State Of the Heart	Rick Springfield
You're Only Human (Second Wind)	Billy Joel
Crazy In The Night (Barking At Airplanes)	Kim Carnes
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
Not Enough Love In The World	Don Henley
Mystery Lady	Billy Ocean
Don't Lose My Number	Phil Collins
Cherish	Kool & The Gang
Angel	Madonna
Let Him Go	Animotion
Dare Me	The Pointer Sisters
Life In One Day	Howard Jones
Forever	Kenny Loggins
Freedom	Wham!
Tough All Over	John Cafferty & The Beaver Brown Band
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Pop Life	Prince And The Revolution
Stir It Up	Patti LaBelle
Smokin' In The Boys Room	Motley Crue
Live Every Moment	REO Speedwagon
Shame	The Motels
People Get Ready	Jeff Beck & Rod Stewart
Things Can Only Get Better	Howard Jones
Lay It Down	Ratt
Your Love Is King	Sade
When Your Heart Is Weak	Cock Robin
Call Me	Go West
Everybody Wants To Rule The World	Tears For Fears
Money For Nothing	Dire Straits
Wild And Crazy Love	Mary Jane Girls
Getcha Back	The Beach Boys
Possession Obsession	Daryl Hall John Oates
Cannonball	Supertramp
Smuggler's Blues	Glenn Frey
In My House	Mary Jane Girls
Only For Love	Limahl
Walking On Sunshine	Katrina And The Waves
Centerfield	John Fogerty
Like A Surgeon	"Weird Al" Yankovic
Suddenly	Billy Ocean
Hangin' On A String	Loose Ends
Summertime Girls	Y&T
No Lookin' Back	Michael McDonald
Black Cars	Gino Vannelli
Willie & The Hand Jive	George Thorogood & The Destroyers
Everything She Wants	Wham!
Through the Fire	Chaka Khan
Little By Little	Robert Plant
Bit By Bit (Theme From Fletch)	Stephanie Mills
Take On Me	a-ha
Cry	Godley & Creme
Love And Pride	King
You Look Marvelous	Billy Crystal
Do You Want Crying	Katrina And The Waves
Spanish Eddie	Laura Branigan
I Want My Girl	Jesse Johnson's Revue
Love Resurrection	Alison Moyet
Tired Of Being Blonde	Carly Simon
Black Kisses Never Make You Blue	Curtie & The Boom Box
I Got You Babe	UB40
Sweet Sweet Baby(I'm Falling)	Lone Justice
Make It Better (Forget About Me)	Tom Petty And The Heartbreakers
Axel F	Harold Faltermeyer
Tonight It's You	Cheap Trick
Burning Flame	Vitamin Z
Take No Prisoners (In The Game Of Love)	Peabo Bryson
Fresh	Kool & The Gang
Frankie	Sister Sledge
My Toot Toot	Jean Knight
The NeverEnding Story	Limahl
All You Zombies	Hooters
