Hey! Baby	Bruce Channel
Midnight In Moscow	Kenny Ball and his Jazzmen
Don't Break The Heart That Loves You	Connie Francis
Let Me In	The Sensations
Duke Of Earl	Gene Chandler
Her Royal Majesty	James Darren
What's Your Name	Don & Juan
Crying In The Rain	The Everly Brothers
Break It To Me Gently	Brenda Lee
Percolator (Twist)	Billy Joe & The Checkmates
The Wanderer	Dion
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
Twistin' The Night Away	Sam Cooke
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
Dear Lady Twist	Gary U.S. Bonds
She's Got You	Patsy Cline
Tuff	Ace Cannon
Dream Baby (How Long Must I Dream)	Roy Orbison
Chip Chip	Gene McDaniels
Hey, Let's Twist	Joey Dee & the Starliters
My Boomerang Won't Come Back	Charlie Drake
(I've Got) Bonnie	Bobby Rydell
Love Letters	Ketty Lester
The Twist	Chubby Checker
Where Have All The Flowers Gone	The Kingston Trio
Norman	Sue Thompson
Come Back Silly Girl	The Lettermen
Johnny Angel	Shelley Fabares
Drums Are My Beat	Sandy Nelson
Cotton Fields	The Highwaymen
Jamie	Eddie Holland
Mashed Potato Time	Dee Dee Sharp
I'm Blue (The Gong-Gong Song)	The Ikettes
He Knows I Love Him Too Much	The Paris Sisters
Please Don't Ask About Barbara	Bobby Vee
Love Me Warm And Tender	Paul Anka
Young World	Rick Nelson
A Little Bitty Tear	Burl Ives
You Win Again	Fats Domino
Baby It's You	The Shirelles
Peppermint Twist - Part I	Joey Dee & the Starliters
(Do The New) Continental	The Dovells
The Cajun Queen	Jimmy Dean
Cry To Me	Solomon Burke
I'll See You In My Dreams	Pat Boone
Twistin' Postman	The Marvelettes
Walk On The Wild Side	Brook Benton
I Know (You Don't Love Me No More)	Barbara George
You Better Move On	Arthur Alexander
Afrikaan Beat	Bert Kaempfert And His Orchestra
Good Luck Charm	Elvis Presley With The Jordanaires
When My Little Girl Is Smiling	The Drifters
Pop-Eye	Huey Smith
To A Sleeping Beauty	Jimmy Dean
Something's Got A Hold On Me	Etta James
Lover Please	Clyde McPhatter
Cry Baby Cry	The Angels
Lizzie Borden	The Chad Mitchell Trio
If A Woman Answers (Hang Up The Phone)	Leroy Van Dyke
Yessiree	Linda Scott
She Can't Find Her Keys	Paul Petersen
Nut Rocker	B. Bumble & The Stingers
The Alvin Twist	The Chipmunks With David Seville
That's My Pa	Sheb Wooley
Patti Ann	Johnny Crawford
Our Anniversary	Shep And The Limelites
What's So Good About Good-by	The Miracles
Dear One	Larry Finnegan
Yes Indeed	Pete Fountain
Anything That's Part Of You	Elvis Presley With The Jordanaires
Lollipops And Roses	Jack Jones
Tell Me	Dick and DeeDee
Ginny Come Lately	Brian Hyland
Roly Poly	Joey Dee & the Starliters
She Cried	Jay & The Americans
Annie Get Your Yo-Yo	Little Junior Parker
Surfin	The Beach Boys
Soul Twist	King Curtis And The Noble Knights
La Paloma Twist	Chubby Checker
Stranger On The Shore	Mr. Acker Bilk
Mashed Potatoes (Part 1)	Steve Alaimo
Midnight Special, Part 1	Jimmy Smith
Cinderella	Jack Ross
Bermuda	Linda Scott
The Jam - Part 1	Bobby Gregg and His Friends
The Ballad Of Thunder Road	Robert Mitchum
A Girl Has To Know	The G-Clefs
The White Rose Of Athens	David Carroll And His Orchestra
Summertime	Rick Nelson
Memories Of Maria	Jerry Byrd
Two Of A Kind	Sue Thompson
Teen Queen Of The Week	Freddy Cannon
Amor	Roger Williams
Chapel By The Sea	Billy Vaughn And His Orchestra
Johnny Jingo	Hayley Mills
Duchess Of Earl	Pearlettes
The Rains Came	Big Sambo and The House Wreckers
Smile	Ferrante & Teicher
The Moon Was Yellow	Frank Sinatra
Sweet Thursday	Johnny Mathis
