Work	Rihanna Featuring Drake
Love Yourself	Justin Bieber
7 Years	Lukas Graham
Stressed Out	twenty one pilots
My House	Flo Rida
Pillowtalk	Zayn
Me, Myself & I	G-Eazy x Bebe Rexha
Sorry	Justin Bieber
Cake By The Ocean	DNCE
Dangerous Woman	Ariana Grande
I Took A Pill In Ibiza	Mike Posner
No	Meghan Trainor
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
One Call Away	Charlie Puth
Hands To Myself	Selena Gomez
Hello	Adele
Roses	The Chainsmokers Featuring Rozes
2 Phones	Kevin Gates
Never Forget You	Zara Larsson & MNEK
Stitches	Shawn Mendes
Don't	Bryson Tiller
Down In The DM	Yo Gotti Featuring Nicki Minaj
Youth	Troye Sivan
Jumpman	Drake & Future
The Hills	The Weeknd
Middle	DJ Snake Featuring Bipolar Sunshine
Oui	Jeremih
Hotline Bling	Drake
Back To Sleep	Chris Brown
Exchange	Bryson Tiller
Summer Sixteen	Drake
You Should Be Here	Cole Swindell
Panda	Desiigner
When We Were Young	Adele
Low Life	Future Featuring The Weeknd
What Do You Mean?	Justin Bieber
Say It	Tory Lanez
Let It Go	James Bay
Here	Alessia Cara
679	Fetty Wap Featuring Remy Boyz
Hide Away	Daya
Came Here To Forget	Blake Shelton
Die A Happy Man	Thomas Rhett
Drunk On Your Love	Brett Eldredge
Same Old Love	Selena Gomez
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
In The Night	The Weeknd
Ex's & Oh's	Elle King
White Iverson	Post Malone
Can't Feel My Face	The Weeknd
Sugar	Robin Schulz Featuring Francesco Yates
Beautiful Drug	Zac Brown Band
My Church	Maren Morris
Don't Let Me Down	The Chainsmokers Featuring Daya
Like I Would	Zayn
Heartbeat	Carrie Underwood
Best Friend	Young Thug
Humble And Kind	Tim McGraw
Somewhere On A Beach	Dierks Bentley
Confession	Florida Georgia Line
Stand By You	Rachel Platten
Really Really	Kevin Gates
Try Everything	Shakira
Snapback	Old Dominion
Adventure Of A Lifetime	Coldplay
Wild Things	Alessia Cara
I Like The Sound Of That	Rascal Flatts
Think Of You	Chris Young Duet With Cassadee Pope
New Romantics	Taylor Swift
Piece By Piece	Kelly Clarkson
Needed Me	Rihanna
Something In The Way You Move	Ellie Goulding
The Sound Of Silence	Disturbed
Cut It	O.T. Genasis Featuring Young Dolph
Promise	Kid Ink Featuring Fetty Wap
Acquainted	The Weeknd
Company	Justin Bieber
Jimmy Choo	Fetty Wap
Lost Boy	Ruth B
T-Shirt	Thomas Rhett
Nobody To Blame	Chris Stapleton
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Might Not	Belly Featuring The Weeknd
Might Be	DJ Luke Nasty
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
Mind Reader	Dustin Lynch
Cheap Thrills	Sia Featuring Sean Paul
Little Bit Of You	Chase Bryant
Backroad Song	Granger Smith
Saved	Ty Dolla $ign Featuring E-40
We Went	Randy Houser
That Don't Sound Like You	Lee Brice
Something New	Zendaya Featuring Chris Brown
Head Over Boots	Jon Pardi
Sorry Not Sorry	Bryson Tiller
Ride	twenty one pilots
Make Me Like You	Gwen Stefani
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Break On Me.	Keith Urban
Fast Car	Jonas Blue Featuring Dakota
