Everything She Wants	Wham!
Don't You (Forget About Me)	Simple Minds
Everybody Wants To Rule The World	Tears For Fears
Axel F	Harold Faltermeyer
Smooth Operator	Sade
Crazy For You	Madonna
One Night In Bangkok	Murray Head
Suddenly	Billy Ocean
Some Like It Hot	The Power Station
Things Can Only Get Better	Howard Jones
Fresh	Kool & The Gang
Heaven	Bryan Adams
In My House	Mary Jane Girls
We Are The World	USA For Africa
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
Rhythm Of The Night	Debarge
Walking On Sunshine	Katrina And The Waves
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Angel	Madonna
One Lonely Night	REO Speedwagon
New Attitude	Patti LaBelle
Say You're Wrong	Julian Lennon
Smuggler's Blues	Glenn Frey
Sussudio	Phil Collins
Obsession	Animotion
The NeverEnding Story	Limahl
The Search Is Over	Survivor
All She Wants to Do Is Dance	Don Henley
'Til My Baby Comes Home	Luther Vandross
Raspberry Beret	Prince And The Revolution
Would I Lie To You?	Eurythmics
Invisible	Alison Moyet
Celebrate Youth	Rick Springfield
Voices Carry	'Til Tuesday
Nightshift	Commodores
A View To A Kill	Duran Duran
That Was Yesterday	Foreigner
Show Some Respect	Tina Turner
Oh Girl	Boy Meets Girl
Lucky In Love	Mick Jagger
Tough All Over	John Cafferty & The Beaver Brown Band
The Goonies `R' Good Enough	Cyndi Lauper
Lost In Love	New Edition
You Give Good Love	Whitney Houston
Everytime You Go Away	Paul Young
Crazy In The Night (Barking At Airplanes)	Kim Carnes
I'm On Fire	Bruce Springsteen
Wake Up (Next To You)	Graham Parker & The Shot
Do You Wanna Get Away	Shannon
Some Things Are Better Left Unsaid	Daryl Hall John Oates
Getcha Back	The Beach Boys
My Toot Toot	Jean Knight
One More Night	Phil Collins
Only Lonely	Bon Jovi
Sentimental Street	Night Ranger
Black Cars	Gino Vannelli
Walking On The Chinese Wall	Philip Bailey
Dangerous	Natalie Cole
Along Comes A Woman	Chicago
Through the Fire	Chaka Khan
Rock And Roll Girls	John Fogerty
Little By Little	Robert Plant
Just As I Am	Air Supply
Missing You	Diana Ross
Vox Humana	Kenny Loggins
Hold Me	Menudo
OO-EE-Diddley-Bop	Peter Wolf
Alone Again	Dokken
Animal Instinct	Commodores
Meeting In The Ladies Room	Klymaxx
Centerfield	John Fogerty
Ways To Be Wicked	Lone Justice
Satisfaction Guaranteed	The Firm
Everything I Need	Men At Work
Cannonball	Supertramp
(Come On) Shout	Alex Brown
Save The Night For Me	Maureen Steele
Find A Way	Amy Grant
People Are People	Depeche Mode
Not Enough Love In The World	Don Henley
Forever	Kenny Loggins
Square Rooms	Al Corley
The Lady Of My Heart	Jack Wagner
All You Zombies	Hooters
Rock Me Tonight	Freddie Jackson
Go For Soda	Kim Mitchell
You're The Only Love	Paul Hyde & Payolas
Baby Come And Get It	The Pointer Sisters
We Close Our Eyes	Go West
Freak-A-Ristic	Atlantic Starr
Material Girl	Madonna
Lover Girl	Teena Marie
Welcome To The Pleasure Dome	Frankie Goes To Hollywood
Imagination	Belouis Some
Forever Man	Eric Clapton
Talk To Me	Fiona
Be Your Man	Jesse Johnson's Revue
Somebody	Bryan Adams
Days Are Numbers (The Traveller)	The Alan Parsons Project
Mathematics	Melissa Manchester
