Maggie May/Reason To Believe	Rod Stewart
Superstar/Bless The Beasts And Children	Carpenters
Yo-Yo	The Osmonds
The Night They Drove Old Dixie Down	Joan Baez
Go Away Little Girl	Donny Osmond
Do You Know What I Mean	Lee Michaels
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
If You Really Love Me	Stevie Wonder
Sweet City Woman	Stampeders
Gypsys, Tramps & Thieves	Cher
Ain't No Sunshine	Bill Withers
Smiling Faces Sometimes	The Undisputed Truth
Tired Of Being Alone	Al Green
So Far Away/Smackwater Jack	Carole King
I've Found Someone Of My Own	The Free Movement
Trapped By A Thing Called Love	Denise LaSalle
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Thin Line Between Love & Hate	The Persuaders
Stick-Up	The Honey Cone
Peace Train	Cat Stevens
Spanish Harlem	Aretha Franklin
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
Rain Dance	The Guess Who
Wedding Song (There Is Love)	Paul Stookey
Stagger Lee	Tommy Roe
Never My Love	The 5th Dimension
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Birds Of A Feather	The Raiders
Make It Funky (Part 1)	James Brown
The Love We Had (Stays On My Mind)	The Dells
Easy Loving	Freddie Hart
One Fine Morning	Lighthouse
The Story In Your Eyes	The Moody Blues
Only You Know And I Know	Delaney & Bonnie
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
You've Got To Crawl (Before You Walk)	The 8th Day
Women's Love Rights	Laura Lee
MacArthur Park (Part II)	Four Tops
A Natural Man	Lou Rawls
Long Ago And Far Away	James Taylor
I'm Comin' Home	Tommy James
The Year That Clayton Delaney Died	Tom T. Hall
One Tin Soldier, The Legend of Billy Jack	Coven
K-Jee	The Nite-Liters
What Are You Doing Sunday	Dawn Featuring Tony Orlando
Charity Ball	Fanny
All Day Music	War
The Breakdown (Part I)	Rufus Thomas
Questions 67 And 68/I'm A Man	Chicago
Theme From Shaft	Isaac Hayes
She's All I Got	Freddie North
I'd Love To Change The World	Ten Years After
Everybody's Everything	Santana
Desiderata	Les Crane
Two Divided By Love	The Grass Roots
Where Evil Grows	The Poppy Family
Talk It Over In The Morning	Anne Murray
It's Only Love	Elvis Presley
Spill The Wine	The Isley Brothers
It's A Cryin' Shame	Gayle McCormick
It's For You	Springwell
You Brought The Joy	Freda Payne
Love	The Lettermen
That's The Way A Woman Is	Messengers
Some Of Shelly's Blues	Nitty Gritty Dirt Band
Roll On	The New Colony Six
It's Impossible	The New Birth
Feel So Bad	Ray Charles
You Think You're Hot Stuff	Jean Knight
Absolutely Right	Five Man Electrical Band
Touch	The Supremes
Jennifer	Bobby Sherman
I Don't Need No Doctor	Humble Pie
Bless You	Martha Reeves & The Vandellas
Freedom Comes, Freedom Goes	The Fortunes
Rub It In	Layng Martine
Wild Night	Van Morrison
Do I Love You	Paul Anka
Your Move (I've Seen All Good People)	Yes
Life Is A Carnival	The Band
Midnight Man	James Gang
Respect Yourself	The Staple Singers
I Like What You Give	Nolan
You Send Me	Ponderosa Twins + One
Hot Pants - I'm Coming, Coming, I'm Coming	Bobby Byrd
I Know I'm In Love	Chee-Chee & Peppy
Mammy Blue	Pop-Tops
Are You Old Enough	Mark Lindsay
All I Ever Need Is You	Sonny & Cher
Mother	Barbra Streisand
Theme From "Summer Of '42"	Peter Nero
Everything's Alright	Yvonne Elliman
Walk Easy My Son	Jerry Butler
Baby, I'm Yours	Jody Miller
I'm So Glad	The Fuzz
Valerie	Cymarron
Olena	Don Nix
Banks Of The Ohio	Olivia Newton-John
Tell Me Why	Matthews' Southern Comfort
Where Did Our Love Go	Donnie Elbert
