Money For Nothing	Dire Straits
Cherish	Kool & The Gang
Freedom	Wham!
Don't Lose My Number	Phil Collins
Oh Sheila	Ready For The World
Dress You Up	Madonna
Take On Me	a-ha
St. Elmo's Fire (Man In Motion)	John Parr
Saving All My Love For You	Whitney Houston
Lonely Ol' Night	John Mellencamp
Dancing In The Street	David Bowie & Mick Jagger
We Don't Need Another Hero (Thunderdome)	Tina Turner
Pop Life	Prince And The Revolution
Dare Me	The Pointer Sisters
Part-Time Lover	Stevie Wonder
Fortress Around Your Heart	Sting
The Power Of Love	Huey Lewis & The News
Cry	Godley & Creme
C-I-T-Y	John Cafferty & The Beaver Brown Band
I'm Goin' Down	Bruce Springsteen
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
Miami Vice Theme	Jan Hammer
Freeway Of Love	Aretha Franklin
Lovin' Every Minute Of It	Loverboy
Every Step Of The Way	John Waite
Smokin' In The Boys Room	Motley Crue
You're Only Human (Second Wind)	Billy Joel
Head Over Heels	Tears For Fears
The Way You Do The Things You Do/My Girl	Daryl Hall John Oates
Four In The Morning (I Can't Take Anymore)	Night Ranger
I'm Gonna Tear Your Playhouse Down	Paul Young
I Got You Babe	UB40
There Must Be An Angel	Eurythmics
Sunset Grill	Don Henley
Summer Of '69	Bryan Adams
Be Near Me	ABC
One Night Love Affair	Bryan Adams
And We Danced	Hooters
You Belong To The City	Glenn Frey
We Built This City	Starship
Shame	The Motels
Communication	The Power Station
You Are My Lady	Freddie Jackson
Lay Your Hands On Me	Thompson Twins
Shout	Tears For Fears
Never	Heart
Boy In The Box	Corey Hart
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
You Wear It Well	El DeBarge With DeBarge
No Lookin' Back	Michael McDonald
Who's Zoomin' Who	Aretha Franklin
Tonight It's You	Cheap Trick
Never Surrender	Corey Hart
So In Love	Orchestral Manoeuvres In The Dark
Life In One Day	Howard Jones
Weird Science	Oingo Boingo
All Of Me For All Of You	9.9
What About Love?	Heart
Born In East L.A.	Cheech & Chong
Mystery Lady	Billy Ocean
I Miss You	Klymaxx
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Stand By Me	Maurice White
Perfect Way	Scritti Politti
Everytime You Go Away	Paul Young
Broken Wings	Mr. Mister
First Night	Survivor
After The Fire	Roger Daltrey
Do You Want Crying	Katrina And The Waves
All Fall Down	Five Star
Wise Up	Amy Grant
Running Up That Hill	Kate Bush
Test Of Time	The Romantics
Who's Holding Donna Now	Debarge
Screams Of Passion	The Family
Object Of My Desire	Starpoint
Spanish Eddie	Laura Branigan
Hard Times For Lovers	Jennifer Holliday
Lover Come Back To Me	Dead Or Alive
And She Was	Talking Heads
Like To Get To Know You Well	Howard Jones
I'll Be Good	Rene & Angela
Eaten Alive	Diana Ross
The Oak Tree	Morris Day
One In A Million	Eddie & The Tide
Down On Love	Foreigner
Janet	Commodores
You Look Marvelous	Billy Crystal
Hurts To Be In Love	Gino Vannelli
Blue Kiss	Jane Wiedlin
Eye To Eye	Go West
If You Love Somebody Set Them Free	Sting
Love And Pride	King
You Spin Me Round (Like A Record)	Dead Or Alive
When Your Heart Is Weak	Cock Robin
Forever	Kenny Loggins
A Little Bit of Heaven	Natalie Cole
Glory Days	Bruce Springsteen
You Give Good Love	Whitney Houston
Rock Me Tonight	Freddie Jackson
