Knock Three Times	Dawn
One Bad Apple	The Osmonds
My Sweet Lord/Isn't It A Pity	George Harrison
Lonely Days	Bee Gees
Rose Garden	Lynn Anderson
I Hear You Knocking	Dave Edmunds
Groove Me	King Floyd
Your Song	Elton John
One Less Bell To Answer	The 5th Dimension
If I Were Your Woman	Gladys Knight And The Pips
Stoney End	Barbra Streisand
Watching Scotty Grow	Bobby Goldsboro
It's Impossible	Perry Como
Love The One You're With	Stephen Stills
Mr. Bojangles	Nitty Gritty Dirt Band
Remember Me	Diana Ross
Born To Wander	Rare Earth
If You Could Read My Mind	Gordon Lightfoot
Amazing Grace	Judy Collins
We Gotta Get You A Woman	Runt
I Really Don't Want To Know/There Goes My Everything	Elvis Presley
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Immigrant Song	Led Zeppelin
Black Magic Woman	Santana
Mama's Pearl	Jackson 5
Stoned Love	The Supremes
Amos Moses	Jerry Reed
For The Good Times	Ray Price
Let Your Love Go	Bread
(Theme From) Love Story	Henry Mancini And His Orchestra
(Do The) Push And Pull Part I	Rufus Thomas
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
Somebody's Watching You	Little Sister
Get Up, Get Into It, Get Involved (Pt. 1)	James Brown
1900 Yesterday	Liz Damon's Orient Express
Precious, Precious	Jackie Moore
Pay To The Piper	Chairman Of The Board
Games	Redeye
Don't Let The Green Grass Fool You	Wilson Pickett
Your Time To Cry	Joe Simon
Temptation Eyes	The Grass Roots
Burning Bridges	The Mike Curb Congregation
Mother	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Sweet Mary	Wadsworth Mansion
Apeman	The Kinks
D.O.A.	Bloodrock
Jody's Got Your Girl And Gone	Johnnie Taylor
When I'm Dead And Gone	McGuinness Flint
Theme From Love Story	Francis Lai And His Orchestra
Bridget The Midget (The Queen Of The Blues)	Ray Stevens
I'm So Proud	The Main Ingredient
Stop The War Now	Edwin Starr
(Don't Worry) If There's A Hell Below We're All Going To Go	Curtis Mayfield
He Called Me Baby	Candi Staton
God Bless Whoever Sent You	The Originals
(I Can Feel Those Vibrations) This Love Is Real	Jackie Wilson
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
Help Me Make It Through The Night	Sammi Smith
Fresh As A Daisy	Emitt Rhodes
She's A Lady	Tom Jones
Me And Bobby McGee	Janis Joplin
They Can't Take Away Our Music	Eric Burdon And War
Proud Mary	Ike & Tina Turner
Whole Lotta Love	C.C.S.
Bed Of Rose's	The Statler Brothers
Superstar	Murray Head With The Trinidad Singers
Beautiful People	The New Seekers featuring Eve Graham
Cheryl Moana Marie	John Rowles
Whole Lotta Love	King Curtis & The Kingpins
Hang On To Your Life	The Guess Who
Just My Imagination (Running Away With Me)	The Temptations
It's Up To You Petula	Edison Lighthouse
(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt
One Night Stand	The Magic Lanterns
You're A Big Girl Now	The Stylistics
Freedom	The Isley Brothers
Ride A White Swan	Tyrannosaurus Rex
I Love You For All Seasons	The Fuzz
Blue Money	Van Morrison
Mixed Up Guy	Joey Scarbury
Country Road	James Taylor
Make Me Happy	Bobby Bloom
I Dig Everything About You	The Mob
You're The One	The Three Degrees
Keep The Customer Satisfied	Gary Puckett
I Need You	The Friends Of Distinction
For All We Know	Carpenters
(Where Do I Begin) Love Story	Andy Williams
We'll Have It Made	The Spinners
Everything Is Good About You	The Lettermen
Triangle Of Love (Hey Diddle Diddle)	The Presidents
The Glory Of Love	The Dells
Angel Baby	Dusk
Carolina Day	Livingston Taylor
Medley From "Superstar" (A Rock Opera)	The Assembled Multitude
Didn't It Look So Easy	The Stairsteps
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
I'll Be Home	Vikki Carr
Fly Little White Dove Fly	The Bells
Timothy	The Buoys
