Everything You Want	Vertical Horizon
Try Again	Aaliyah
Be With You	Enrique Iglesias
I Wanna Know	Joe
It's Gonna Be Me	'N Sync
Bent	matchbox twenty
I Turn To You	Christina Aguilera
The Real Slim Shady	Eminem
Higher	Creed
There You Go	P!nk
Absolutely (Story Of A Girl)	Nine Days
You Sang To Me	Marc Anthony
Breathe	Faith Hill
He Wasn't Man Enough	Toni Braxton
Back Here	BBMak
I Try	Macy Gray
Oops!...I Did It Again	Britney Spears
Jumpin', Jumpin'	Destiny's Child
No More	Ruff Endz
Big Pimpin'	Jay-Z Featuring UGK
Desert Rose	Sting Featuring Cheb Mami
Wifey	Next
Let's Get Married	Jagged Edge
Thong Song	Sisqo
Swear It Again	Westlife
Maria Maria	Santana Featuring The Product G&B
The Next Episode	Dr. Dre Featuring Snoop Dogg
Separated	Avant
Doesn't Really Matter	Janet
(Hot S**t) Country Grammar	Nelly
Yes!	Chad Brock
Amazed	Lonestar
I Hope You Dance	Lee Ann Womack
Smooth	Santana Featuring Rob Thomas
Purest Of Pain (A Puro Dolor)	Son By Four
Where I Wanna Be	Donell Jones
Say My Name	Destiny's Child
Kryptonite	3 Doors Down
Simple Kind Of Life	No Doubt
Dance Tonight	Lucy Pearl
What'Chu Like	Da Brat Featuring Tyrese
I Wish	Carl Thomas
Party Up (Up In Here)	DMX
I Think I'm In Love With You	Jessica Simpson
I Wanna Be With You	Mandy Moore
Broadway	Goo Goo Dolls
The One	Backstreet Boys
Crash And Burn	Savage Garden
Prayin' For Daylight	Rascal Flatts
What About Now	Lonestar
Unconditional	Clay Davidson
I Will Love Again	Lara Fabian
I Need You	LeAnn Rimes
That's The Way	Jo Dee Messina
I'll Be	Reba McEntire
Whatever	Ideal Featuring Lil' Mo
Better Off Alone	Alice Deejay
Some Things Never Change	Tim McGraw
Could I Have This Kiss Forever	Whitney Houston & Enrique Iglesias
Flowers On The Wall	Eric Heatherly
Incomplete	Sisqo
Crybaby	Mariah Carey Featuring Snoop Dogg
It Must Be Love	Alan Jackson
I Think God Can Explain	Splender
One Voice	Billy Gilman
Couldn't Last A Moment	Collin Raye
The Way You Love Me	Faith Hill
The Chain Of Love	Clay Walker
Wonderful	Everclear
Same Script, Different Cast	Whitney Houston & Deborah Cox
Shackles (Praise You)	Mary Mary
Cold Day In July	Dixie Chicks
Taking You Home	Don Henley
With Arms Wide Open	Creed
Change Your Mind	Sister Hazel
Wobble Wobble	504 Boyz
She's More	Andy Griggs
I Will...But	SHeDAISY
Sour Girl	Stone Temple Pilots
No Matter What They Say	Lil' Kim
Your Everything	Keith Urban
As We Lay	Kelly Price
You'll Always Be Loved By Me	Brooks & Dunn
I Disappear	Metallica
When You Need My Love	Darryl Worley
Best Of Me	Mya Featuring Jadakiss
Mirror Mirror	M2M
Buy Me A Rose	Kenny Rogers With Alison Krauss & Billy Dean
Got It All	Eve & Jadakiss
Faded	SoulDecision Featuring Thrust
Take That	Torrey Carter Featuring Missy "Misdemeanor" Elliott
Shut Up	Trick Daddy Featuring Duece Poppito, Trina, Co
What I Need To Do	Kenny Chesney
It's So Hard	Big Punisher Featuring Donell Jones
What You Want	DMX Featuring Sisqo
Don't Call Me Baby	Madison Avenue
Dancing Queen	A*Teens
Someday Out Of The Blue	Elton John
3 Little Words	Nu Flavor
Monica	Before Dark
