Rhinestone Cowboy	Glen Campbell
Fallin' In Love	Hamilton, Joe Frank & Reynolds
At Seventeen	Janis Ian
Get Down Tonight	KC And The Sunshine Band
Fame	David Bowie
Fight The Power Part 1	The Isley Brothers
Could It Be Magic	Barry Manilow
I'm Sorry	John Denver
Run Joey Run	David Geddes
Wasted Days And Wasted Nights	Freddy Fender
Feel Like Makin' Love	Bad Company
Ballroom Blitz	Sweet
That's The Way Of The World	Earth, Wind & Fire
Third Rate Romance	Amazing Rhythm Aces
Jive Talkin'	Bee Gees
How Sweet It Is (To Be Loved By You)	James Taylor
Ain't No Way To Treat A Lady	Helen Reddy
Solitaire	Carpenters
Dance With Me	Orleans
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Feelings	Morris Albert
Daisy Jane	America
The Proud One	The Osmonds
They Just Can't Stop It the (Games People Play)	The Spinners
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
It Only Takes A Minute	Tavares
Rocky	Austin Roberts
One Of These Nights	Eagles
Gone At Last	Paul Simon/Phoebe Snow
Mr. Jaws	Dickie Goodman
Brazil	The Ritchie Family
Someone Saved My Life Tonight	Elton John
Miracles	Jefferson Starship
Lady Blue	Leon Russell
Carolina In The Pines	Michael Murphey
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
Do It Any Way You Wanna	People's Choice
Your Love	Graham Central Station
Give It What You Got/Peace Pipe	B.T. Express
Holdin' On To Yesterday	Ambrosia
Tush	ZZ Top
What A Diff'rence A Day Makes	Esther Phillips
You're All I Need To Get By	Tony Orlando & Dawn
I Only Have Eyes For You	Art Garfunkel
Keep Your Eye On The Sparrow	Merry Clayton
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
I Got Stoned And I Missed It	Jim Stafford
Por Amor Viviremos	Captain & Tennille
If I Ever Lose This Heaven	AWB
Katmandu	Bob Seger
I Love Makin' Love To You	Evie Sands
To Each His Own	Faith, Hope And Charity
Who Loves You	The 4 Seasons
Love Will Keep Us Together	The Captain & Tennille
Help Me Rhonda	Johnny Rivers
Only You Can	Fox
If I Could Only Win Your Love	Emmylou Harris
Please Mr. Please	Olivia Newton-John
Money	Gladys Knight And The Pips
Rockin' All Over The World	John Fogerty
This Will Be	Natalie Cole
Love Is A Rose	Linda Ronstadt
Dreaming A Dream	Crown Heights Affair
Blue Eyes Crying In The Rain	Willie Nelson
Bad Blood	Neil Sedaka
Sky High	Jigsaw
There Goes Another Love Song	The Outlaws
Two Fine People	Cat Stevens
Glasshouse	The Temptations
Brand New Love Affair (Part I & II)	Chicago
I Get High On You	Sly Stone
I Believe I'm Gonna Love You	Frank Sinatra
Sweet Maxine	The Doobie Brothers
You Ain't Never Been Loved (Like I'm Gonna Love You)	Jessi Colter
The Agony And The Ecstasy	Smokey Robinson
(All I Have To Do Is) Dream	The Nitty Gritty Dirt Band
Mamacita	The Grass Roots
Lyin' Eyes	Eagles
Jam Band	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Eighteen With A Bullet	Pete Wingfield
Hollywood Hot	The Eleventh Hour
I Want'a Do Something Freaky To You	Leon Haywood
Dream Merchant	New Birth
Why Can't We Be Friends?	War
Every Day I Have To Cry Some	Arthur Alexander
Don't It Make You Wanna Dance?	Rusty Wier
Shotgun Shuffle	The Sunshine Band
S.O.S.	ABBA
Salsoul Hustle	The Salsoul Orchestra
When You're Young And In Love	The Choice Four
Music In My Bones	Joe Simon
You Are A Song	Batdorf & Rodney
Alvin Stone (The Birth & Death Of A Gangster)	Fantastic Four
The Millionaire	Dr. Hook
If You Think You Know How To Love Me	Smokey
When You're Young And In Love	Ralph Carter
Party Music	Pat Lundi
Living For The City	Ray Charles
Foot Stompin Music	Hamilton Bohannon
