Bad Blood	Neil Sedaka
I'm Sorry	John Denver
Miracles	Jefferson Starship
Lyin' Eyes	Eagles
They Just Can't Stop It the (Games People Play)	The Spinners
Feelings	Morris Albert
Who Loves You	The 4 Seasons
Island Girl	Elton John
Ballroom Blitz	Sweet
It Only Takes A Minute	Tavares
Brazil	The Ritchie Family
Heat Wave/love Is A Rose	Linda Ronstadt
Dance With Me	Orleans
Do It Any Way You Wanna	People's Choice
Something Better To Do	Olivia Newton-John
This Will Be	Natalie Cole
Lady Blue	Leon Russell
The Way I Want To Touch You	Captain & Tennille
Low Rider	War
S.O.S.	ABBA
Carolina In The Pines	Michael Murphey
Ain't No Way To Treat A Lady	Helen Reddy
You	George Harrison
What A Diff'rence A Day Makes	Esther Phillips
Sky High	Jigsaw
Born To Run	Bruce Springsteen
I Only Have Eyes For You	Art Garfunkel
Rockin' All Over The World	John Fogerty
Fame	David Bowie
Nights On Broadway	Bee Gees
Blue Eyes Crying In The Rain	Willie Nelson
Fly, Robin, Fly	Silver Convention
Sweet Sticky Thing	Ohio Players
There Goes Another Love Song	The Outlaws
Mr. Jaws	Dickie Goodman
Eighteen With A Bullet	Pete Wingfield
Just Too Many People	Melissa Manchester
The Agony And The Ecstasy	Smokey Robinson
Letting Go	Wings
Rocky	Austin Roberts
Operator	The Manhattan Transfer
Give It What You Got/Peace Pipe	B.T. Express
Dreaming A Dream	Crown Heights Affair
Diamonds And Rust	Joan Baez
Every Day I Have To Cry Some	Arthur Alexander
I Want'a Do Something Freaky To You	Leon Haywood
My Little Town	Simon & Garfunkel
Rhinestone Cowboy	Glen Campbell
Run Joey Run	David Geddes
That's The Way (I Like It)	KC And The Sunshine Band
Wasted Days And Wasted Nights	Freddy Fender
I Get High On You	Sly Stone
Secret Love	Freddy Fender
Since I Met You Baby	Freddy Fender
Saturday Night	Bay City Rollers
Change With The Times	Van Mccoy
Mexico	James Taylor
Manhattan Spiritual	Mike Post
Hollywood Hot	The Eleventh Hour
To Each His Own	Faith, Hope And Charity
Keep On Tryin'	Poco
Dear Prudence	Katfish
Our Day Will Come	Frankie Valli
Are You Sure Hank Done It This Way	Waylon Jennings
Summer Of '42	Biddu Orchestra
I Go To Pieces	Cotton, Lloyd & Christian
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Let's Do It Again	The Staple Singers
At Seventeen	Janis Ian
Could It Be Magic	Barry Manilow
Fancy Lady	Billy Preston
So In Love	Curtis Mayfield
Sailing	Rod Stewart
Easy Evil	Travis Wammack
I'm On Fire	5000 Volts
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
Nothin' Heavy	David Bellamy
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P	Cheech & Chong
Minstrel In The Gallery	Jethro Tull
The Other Woman	Vicki Lawrence
Indian Love Call	Ray Stevens
King Kong - Pt. I	The Jimmy Castor Bunch
Fire On The Mountain	The Marshall Tucker Band
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov	Jessi Colter
Come And Get Your Love	Roger Daltrey
The Music Never Stopped	The Grateful Dead
Bringing It Back	Elvis Presley
A Lover's Question	Loggins & Messina
Love Machine (Part 1)	The Miracles
Just A Smile	Pilot
Happy	Eddie Kendricks
Welcome To My Nightmare	Alice Cooper
More And More	Carly Simon
Never Been Any Reason	Head East
Hey There Little Firefly Part I	Firefly
I'm On Fire	Jim Gilstrap
Machines	John Livigni
I Don't Want To Be A Lone Ranger	Johnny Guitar Watson
(If You Want It) Do It Yourself	Gloria Gaynor
