Sir Duke	Stevie Wonder
When I Need You	Leo Sayer
Couldn't Get It Right	Climax Blues Band
I'm Your Boogie Man	KC And The Sunshine Band
Got To Give It Up (Pt. I)	Marvin Gaye
Dreams	Fleetwood Mac
Gonna Fly Now	Bill Conti
Hotel California	Eagles
Southern Nights	Glen Campbell
Lucille	Kenny Rogers
Lido Shuffle	Boz Scaggs
Lonely Boy	Andrew Gold
Right Time Of The Night	Jennifer Warnes
Feels Like The First Time	Foreigner
Hello Stranger	Yvonne Elliman
Calling Dr. Love	KISS
So In To You	Atlanta Rhythm Section
Angel In Your Arms	Hot
Undercover Angel	Alan O'Day
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Heard It In A Love Song	The Marshall Tucker Band
I Wanna Get Next To You	Rose Royce
Dancin' Man	Q
Whodunit	Tavares
I've Got Love On My Mind	Natalie Cole
Can't Stop Dancin'	Captain & Tennille
Uptown Festival (Part 1)	Shalamar
Show You The Way To Go	The Jacksons
Margaritaville	Jimmy Buffett
Jet Airliner	The Steve Miller Band
Love's Grown Deep	Kenny Nolan
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Mainstreet	Bob Seger
Don't Leave Me This Way	Thelma Houston
High School Dance	The Sylvers
Slowdown	John Miles
Ariel	Dean Friedman
Do You Wanna Make Love	Peter Mccann
Everybody Be Dancin'	Starbuck
Your Love	Marilyn McCoo & Billy Davis Jr.
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
On The Border	Al Stewart
This Is The Way That I Feel	Marie Osmond
I Just Want To Be Your Everything	Andy Gibb
Spirit In The Night	Manfred Mann's Earth Band
This Girl (Has Turned Into A Woman)	Mary Macgregor
Don't Give Up On Us	David Soul
Back Together Again	Daryl Hall John Oates
Looks Like We Made It	Barry Manilow
Do What You Wanna Do	T-Connection
I Wanna Do It To You	Jerry Butler
My Heart Belongs To Me	Barbra Streisand
Life In The Fast Lane	Eagles
Hollywood	Rufus Featuring Chaka Khan
You're My World	Helen Reddy
Whatcha Gonna Do?	Pablo Cruise
My Sweet Lady	John Denver
Cinderella	Firefall
Back In The Saddle	Aerosmith
Going In With My Eyes Open	David Soul
Hooked On You	Bread
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
Knowing Me, Knowing You	ABBA
It's Sad To Belong	England Dan & John Ford Coley
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
The Pride (Part I)	The Isley Brothers
You And Me	Alice Cooper
Solsbury Hill	Peter Gabriel
You're Movin' Out Today	Bette Midler
I Gotta Keep Dancin'	Carrie
Rich Girl	Daryl Hall John Oates
It Feels So Good To Be Loved So Bad	The Manhattans
Peace Of Mind	Boston
Da Doo Ron Ron	Shaun Cassidy
I Think We're Alone Now	The Rubinoos
Tryin' To Love Two	William Bell
All You Get From Love Is A Love Song	Carpenters
You Are On My Mind	Chicago
Fly At Night	Chilliwack
Cherry Baby	Starz
The Pretender	Jackson Browne
That Magic Touch	Angel
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Runaway	Bonnie Raitt
I Need A Man	Grace Jones
Burnin' Sky	Bad Company
Watch Closely Now	Kris Kristofferson
Capture Your Heart	Blue
People In Love	10cc
I Don't Love You Anymore	Teddy Pendergrass
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
On And On	Stephen Bishop
Feel The Need	Detroit Emeralds
All The Kids On The Street	The Hollywood Stars
Hot To Trot	Wild Cherry
Freddie	Charlene
Dance And Shake Your Tambourine	Universal Robot Band
Devil's Gun	C.J. & Company
Hold Back The Night	Graham Parker And The Rumour
Discomania	The Lovers
