Rockstar	DaBaby Featuring Roddy Ricch
Savage	Megan Thee Stallion
Blinding Lights	The Weeknd
Say So	Doja Cat Featuring Nicki Minaj
Intentions	Justin Bieber Featuring Quavo
Toosie Slide	Drake
Roses	SAINt JHN
Don't Start Now	Dua Lipa
The Box	Roddy Ricch
Rain On Me	Lady Gaga & Ariana Grande
Circles	Post Malone
Blueberry Faygo	Lil Mosey
The Bones	Maren Morris
Adore You	Harry Styles
Life Is Good	Future Featuring Drake
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Falling	Trevor Daniel
I Hope	Gabby Barrett Featuring Charlie Puth
Sunday Best	Surfaces
Stuck With U	Ariana Grande & Justin Bieber
Party Girl	StaySolidRocky
Chasin' You	Morgan Wallen
Death Bed	Powfu Featuring beabadoobee
High Fashion	Roddy Ricch Featuring Mustard
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
Break My Heart	Dua Lipa
Before You Go	Lewis Capaldi
Does To Me	Luke Combs Featuring Eric Church
Watermelon Sugar	Harry Styles
Hard To Forget	Sam Hunt
I Hope You're Happy Now	Carly Pearce & Lee Brice
Memories	Maroon 5
Be Kind	Marshmello & Halsey
We Paid	Lil Baby & 42 Dugg
After A Few	Travis Denning
Everything I Wanted	Billie Eilish
Go Crazy	Chris Brown & Young Thug
Nobody But You	Blake Shelton Duet With Gwen Stefani
One Margarita	Luke Bryan
My Oh My	Camila Cabello Featuring DaBaby
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Supalonely	BENEE Featuring Gus Dapperton
Gooba	6ix9ine
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Bluebird	Miranda Lambert
Hot Girl Bummer	blackbear
Emotionally Scarred	Lil Baby
Dior	Pop Smoke
Here And Now	Kenny Chesney
Dance Monkey	Tones And I
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Chicago Freestyle	Drake Featuring Giveon
If The World Was Ending	JP Saxe Featuring Julia Michaels
In Your Eyes	The Weeknd
Out West	JACKBOYS Featuring Young Thug
I Love My Country	Florida Georgia Line
After Party	Don Toliver
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
Flex	Polo G Featuring Juice WRLD
Die From A Broken Heart	Maddie & Tae
P*$$y Fairy (OTW)	Jhene Aiko
Believe It	PARTYNEXTDOOR & Rihanna
In Between	Scotty McCreery
Otherside Of America	Meek Mill
God Whispered Your Name	Keith Urban
Yo Perreo Sola	Bad Bunny
Ride It.	Regard
X	Jonas Brothers Featuring Karol G
Daisies	Katy Perry
Level Of Concern	twenty one pilots
Don't Rush	Young T & Bugsey Featuring Headie One
Need It	Migos Featuring YoungBoy Never Broke Again
Dollaz On My Head	Gunna Featuring Young Thug
Drinking Alone	Carrie Underwood
Righteous	Juice WRLD
Got What I Got	Jason Aldean
Tell Me U Luv Me	Juice WRLD & Trippie Redd
One Big Country Song	LOCASH
Like That	Doja Cat Featuring Gucci Mane
Deep End Freestyle	Sleepy Hallow
Grace	Lil Baby & 42 Dugg
Sour Candy	Lady Gaga & BLACKPINK
Why We Drink	Justin Moore
Girl Of My Dreams	Rod Wave
Cool Again	Kane Brown
Turks	NAV, Gunna & Travis Scott
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
July	Noah Cyrus & Leon Bridges
Cooler Than A Bitch	Gunna Featuring Roddy Ricch
Mamacita	Black Eyed Peas, Ozuna + J.Rey Soul
All In	Lil Baby
That Way	Lil Uzi Vert
One Night Standards	Ashley McBryde
One Of Them Girls	Lee Brice
Hard Days	Brantley Gilbert
Catch	Brett Young
ily	Surf Mesa Featuring Emilee
21	Polo G
Trillionaire	Future Featuring YoungBoy Never Broke Again
Worldwide Beautiful	Kane Brown
