Take A Bow	Madonna
Candy Rain	Soul For Real
Run Away	Real McCoy
Red Light Special	TLC
Strong Enough	Sheryl Crow
This Is How We Do It	Montell Jordan
Creep	TLC
Baby	Brandy
I Know	Dionne Farris
Big Poppa/Warning	The Notorious B.I.G.
You Gotta Be	Des'ree
Freak Like Me	Adina Howard
If You Love Me	Brownstone
Hold My Hand	Hootie & The Blowfish
Another Night	Real McCoy
Dear Mama/Old School	2Pac
This Lil' Game We Play	Subway (Featuring 702)
Keep Their Heads Ringin' (From "Friday")	Dr. Dre
In The House Of Stone And Light	Martin Page
Believe	Elton John
Like The Way I Do/If I Wanted To	Melissa Etheridge
I Believe	Blessid Union Of Souls
Hold On	Jamie Walters
On Bended Knee	Boyz II Men
Thank You	Boyz II Men
Always	Bon Jovi
I Live My Life For You	Firehouse
Sukiyaki	4PM
Everlasting Love	Gloria Estefan
The Rhythm Of The Night	Corona
If You Think You're Lonely Now	K-Ci Hailey
Cotton Eye Joe	Rednex
You Got It (From "Boys On The Side")	Bonnie Raitt
I'm The Only One	Melissa Etheridge
Dream About You/Funky Melody	Stevie B
You Don't Know How It Feels	Tom Petty
Ask Of You (From "Higher Learning")	Raphael Saadiq
Get Ready For This	2 Unlimited
Before I Let You Go	BLACKstreet
Every Day Of The Week	Jade
Can't Stop Lovin' You	Van Halen
I'm Goin' Down	Mary J. Blige
I Miss You	N2U
Mr. Personality	Gillette
House Of Love	Amy Grant With Vince Gill
No More "I Love You's"	Annie Lennox
Tell Me When	The Human League
The Sweetest Days	Vanessa Williams
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
I Wanna Be Down	Brandy
Joy	BLACKstreet
I'd Rather Be Alone	IV Xample
Let Her Cry	Hootie & The Blowfish
Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E
Until The End Of Time	Foreigner
Move It Like This	K7
For Your Love	Stevie Wonder
Brooklyn Zoo	Ol' Dirty Bastard
I'll Be Around	Rappin' 4-Tay Featuring The Spinners
Think Of You	Usher
Get Down	Craig Mack
Constantly	Immature
(She's Got) Skillz	All-4-One
Mental Picture	Jon Secada
Never Find Someone Like You	Keith Martin
Can't You See (From "New Jersey Drive")	Total Featuring The Notorious B.I.G.
Connection	Elastica
Here & Now	Letters To Cleo
Fat Boy	Max-A-Million
Close To You	Fun Factory
Run-Around	Blues Traveler
Tour	Capleton
1-Luv	E-40 (Featuring Leviti)
Shy Guy (From "Bad Boys")	Diana King
Feel So High	Des'ree
Mad Izm	Channel Live
She Don't Use Jelly	The Flaming Lips
Total Eclipse Of The Heart	Nicki French
Shook Ones Part II	Mobb Deep
She's A River	Simple Minds
Rodeo	95 South
Bang And Blame	R.E.M.
Safe + Sound	DJ Quik
Wonderful	Adam Ant
Lick It	Roula
Get Lifted	Keith Murray
Mishale	Andru Donalds
Kitty Kitty	69 Boyz
Whutcha Want?	Nine
Pimp Of The Year	Dru Down
Let's Get It On	Shabba Ranks
People Don't Believe	Scarface Feat. Ice Cube
Dreamer	Livin' Joy
The Keeper Of The Stars	Tracy Byrd
Purple Medley	Prince
Promise Me	Lil Suzy
So Help Me Girl	Joe Diffie
Always And Forever	Luther Vandross
Your Loving Arms	Billie Ray Martin
Sour Times (Nobody Loves Me)	Portishead
