Hello, I Love You	The Doors
Classical Gas	Mason Williams
Stoned Soul Picnic	The 5th Dimension
Grazing In The Grass	Hugh Masekela
Hurdy Gurdy Man	Donovan
Jumpin' Jack Flash	The Rolling Stones
Lady Willpower	Gary Puckett And The Union Gap
The Horse	Cliff Nobles & Co.
Turn Around, Look At Me	The Vogues
Sunshine Of Your Love	Cream
Born To Be Wild	Steppenwolf
Pictures Of Matchstick Men	The Status Quo
People Got To Be Free	The Rascals
Sky Pilot (Part One)	Eric Burdon & The Animals
This Guy's In Love With You	Herb Alpert
You Keep Me Hangin' On	The Vanilla Fudge
Journey To The Center Of The Mind	The Amboy Dukes
Stay In My Corner	The Dells
Autumn Of My Life	Bobby Goldsboro
Dream A Little Dream Of Me	Mama Cass With The Mamas & The Papas
Indian Lake	The Cowsills
Soul-Limbo	Booker T. & The MG's
The Look Of Love	Sergio Mendes & Brasil '66
Angel Of The Morning	Merrilee Rush & The Turnabouts
Here Comes The Judge	Shorty Long
Reach Out Of The Darkness	Friend And Lover
Don't Take It So Hard	Paul Revere & The Raiders Featuring Mark Lindsay
Halfway To Paradise	Bobby Vinton
Face It Girl, It's Over	Nancy Wilson
Sealed With A Kiss	Gary Lewis And The Playboys
Lover's Holiday	Peggy Scott & Jo Jo Benson
Light My Fire	Jose Feliciano
Dreams Of The Everyday Housewife	Glen Campbell
Alice Long (You're Still My Favorite Girlfriend)	Tommy Boyce & Bobby Hart
Eleanor Rigby	Ray Charles
Never Give You Up	Jerry Butler
Folsom Prison Blues	Johnny Cash
She's A Heartbreaker	Gene Pitney
I Can't Stop Dancing	Archie Bell & The Drells
The Eyes Of A New York Woman	B.J. Thomas
Hitch It To The Horse	The Fantastic Johnny C
I Love You	People
I'm A Midnight Mover	Wilson Pickett
You Met Your Match	Stevie Wonder
Here Comes The Judge	Pigmeat Markham
MacArthur Park	Richard Harris
Yummy Yummy Yummy	Ohio Express
Tuesday Afternoon (Forever Afternoon)	The Moody Blues
(Love Is Like A) Baseball Game	The Intruders
Don't Give Up	Petula Clark
Yesterday's Dreams	Four Tops
Amen	Otis Redding
1, 2, 3, Red Light	1910 Fruitgum Co.
You're All I Need To Get By	Marvin Gaye & Tammi Terrell
With Pen In Hand	Billy Vera
Love Makes A Woman	Barbara Acklin
Prayer Meetin'	Willie Mitchell
The Impossible Dream	Roger Williams
Baby You Come Rollin' Across My Mind	The Peppermint Trolley Company
Here I Am Baby	The Marvelettes
Do It Again	The Beach Boys
Dreams Of The Everyday Housewife	Wayne Newton
Hard To Handle	Otis Redding
I Get The Sweetest Feeling	Jackie Wilson
Understanding	Ray Charles
Two-Bit Manchild	Neil Diamond
Slip Away	Clarence Carter
And Suddenly	The Cherry People
Mrs. Bluebird	Eternity's Children
Can't You See Me Cry	The New Colony Six
I've Never Found A Girl (To Love Me Like You Do)	Eddie Floyd
Your Time Hasn't Come Yet, Baby	Elvis Presley With The Jordanaires
Never Going Back	The Lovin' Spoonful
I Guess I'll Have To Cry, Cry, Cry	James Brown And The Famous Flames
Happy	Nancy Sinatra
Competition Ain't Nothin'	Little Carl Carlton
I Loved And I Lost	The Impressions
(The Puppet Song) Whiskey On A Sunday	The Irish Rovers
Somebody Cares	Tommy James And The Shondells
Brown Eyed Woman	Bill Medley
Breaking Up Is Hard To Do	The Happenings
God Bless Our Love	The Ballads
Please Return Your Love To Me	The Temptations
Give Me One More Chance	Wilmer And The Dukes
I'm Gonna Do What They Do To Me	B.B. King
Can't You Find Another Way (Of Doing It)	Sam & Dave
Mr. Bojangles	Jerry Jeff Walker
Mister Bo Jangles	Bobby Cole
Down At Lulu's	Ohio Express
Mr. Businessman	Ray Stevens
Girls Can't Do What The Guys Do	Betty Wright
Anyway That You Want Me	The American Breed
Life	Sly & The Family Stone
Send My Baby Back	Freddie Hughes
Give A Damn	Spanky And Our Gang
Workin' On A Groovy Thing	Patti Drew
Sudden Stop	Percy Sledge
Soul Meeting	The Soul Clan
Montage From How Sweet It Is (I Know That You Know)	The Love Generation
Sally Had A Party	Flavor
