Nothing Compares 2 U	Sinead O'Connor
Don't Wanna Fall In Love	Jane Child
I Wanna Be Rich	Calloway
All Around The World	Lisa Stansfield
How Can We Be Lovers	Michael Bolton
Whip Appeal	Babyface
Here And Now	Luther Vandross
Without You	Motley Crue
Whole Wide World (From "True Love")	A'me Lorain
All I Wanna Do Is Make Love To You	Heart
What It Takes	Aerosmith
Vogue	Madonna
Heartbeat	Seduction
I'll Be Your Everything	Tommy Page
Sending All My Love	Linear
Hold On	Wilson Phillips
Alright	Janet Jackson
Love Child	Sweet Sensation
Forever	KISS
This Old Heart Of Mine	Rod Stewart With Ronald Isley
Room At The Top	Adam Ant
The Heart Of The Matter	Don Henley
Love Will Lead You Back	Taylor Dayne
Poison	Bell Biv DeVoe
Black Velvet	Alannah Myles
The Humpty Dance	Digital Underground
U Can't Touch This	M.C. Hammer
Your Baby Never Looked Good In Blue	Expose
It Must Have Been Love (From "Pretty Woman")	Roxette
Get Up! (Before The Night Is Over)	Technotronic
I Wish It Would Rain Down	Phil Collins
If U Were Mine	The U-Krew
Expression	Salt-N-Pepa
House Of Pain	Faster Pussycat
Save Me	Fleetwood Mac
Ready Or Not	After 7
A Little Love	Corey Hart
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
Heart Of Stone	Cher
The Secret Garden	Quincy Jones
Time After Time	Timmy T.
Baby, It's Tonight	Jude Cole
I'll See You In My Dreams	Giant
Cruising For Bruising	Basia
Just A Friend	Biz Markie
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Getting Away With It	Electronic
No More Lies	Michel'le
Oye Mi Canto (Hear My Voice)	Gloria Estefan
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Do You Remember?	Phil Collins
Always And Forever	Whistle
All That Glitters Isn't Gold	The Cover Girls
Escapade	Janet Jackson
Children Of The Night	Richard Marx
Cuts You Up	Peter Murphy
Turtle Power	Partners In Kryme
Enjoy The Silence	Depeche Mode
Moonlight On Water	Laura Branigan
Deadbeat Club	The B-52s
Get A Life	Soul II Soul
Nicety	Michel'le
Make It Like It Was	Regina Belle
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
The Way It Is	Tesla
Heaven Is A 4 Letter Word	Bad English
How 'Bout Us (From "True Love")	Grayson Hugh & Betty Wright
Coming Of Age	Damn Yankees
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
Sacrifice	Elton John
The Ballad Of Jayne	L.A. Guns
Dangerous	Roxette
Notice Me	Nikki
Roam	The B-52s
Dare To Fall In Love	Brent Bourgeois
Dub Be Good To Me	Beats International
Lambada	Kaoma
That's The Way Of The World	D-Mob With Cathy Dennis
Drag My Bad Name Down	The 4 Of Us
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Love Me For Life	Stevie B
Wild Women Do (From "Pretty Woman")	Natalie Cole
Keep It Together	Madonna
Have A Heart	Bonnie Raitt
Pictures Of You	The Cure
Club At The End Of The Street	Elton John
True Blue Love	Lou Gramm
Here We Are	Gloria Estefan
Girls Nite Out	Tyler Collins
This & That	Michael Penn
Only My Heart Talkin'	Alice Cooper
Try To Find Me	Gorky Park
Got To Get	Leila K With Rob 'N' Raz
Sometimes She Cries	Warrant
Hide And Seek	Pajama Party
Price Of Love	Bad English
Sittin' In The Lap Of Luxury	Louie Louie
Up All Night	Slaughter
I Go To Extremes	Billy Joel
You Make Me Feel (Mighty Real)	Jimmy Somerville
