Tossin' And Turnin'	Bobby Lewis
I Like It Like That, Part 1	Chris Kenner
Last Night	Mar-Keys
Dum Dum	Brenda Lee
Wooden Heart	Joe Dowell
Michael	The Highwaymen
Pretty Little Angel Eyes	Curtis Lee
Let's Twist Again	Chubby Checker
Together	Connie Francis
School Is Out	Gary U.S. Bonds
You Don't Know What You've Got (Until You Lose It)	Ral Donner
I'll Be There	Damita Jo
Never On Sunday	The Chordettes
Hats Off To Larry	Del Shannon
Hurt	Timi Yuro
Don't Bet Money Honey	Linda Scott
Let The Four Winds Blow	Fats Domino
My Kind Of Girl	Matt Monro
Quarter To Three	U.S. Bonds
The Boll Weevil Song	Brook Benton
As If I Didn't Know	Adam Wade
I'm Gonna Knock On Your Door	Eddie Hodges
Cupid	Sam Cooke
I Fall To Pieces	Patsy Cline
One Summer Night	The Diamonds
I'm A Telling You	Jerry Butler
Quite A Party	The Fireballs
Runaround	The Regents
San Antonio Rose	Floyd Cramer
Please Stay	The Drifters
A Tear	Gene McDaniels
My True Story	The Jive Five With Joe Rene And Orchestra
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
Yellow Bird	Arthur Lyman Group
Sacred	The Castells
Princess	Frank Gari
That's What Girls Are Made For	The Spinners
Right Or Wrong	Wanda Jackson
Sea Of Heartbreak	Don Gibson
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night)	Lonnie Donegan And His Skiffle Group
Take Good Care Of My Baby	Bobby Vee
I Don't Want To Take A Chance	Mary Wells
I Just Don't Understand	Ann-Margret
Who Put The Bomp (In The Bomp, Bomp, Bomp)	Barry Mann
Time Was	The Flamingos
A Thing Of The Past	The Shirelles
The Charleston	Ernie Fields
Amor	Ben E. King
I'll Never Smile Again	The Platters
Raindrops	Dee Clark
Mighty Good Lovin'	The Miracles
Don't Cry, Baby	Etta James
Starlight, Starbright	Linda Scott
Nag	The Halos
No, No, No	The Chanters
I Never Knew	Clyde McPhatter
Mr. Happiness	Johnny Maestro with The Coeds
The Fish	Bobby Rydell
Tears On My Pillow	The McGuire Sisters
Peanuts	Rick And The Keens
Without You	Johnny Tillotson
Transistor Sister	Freddy Cannon
Missing You	Ray Peterson
It's Gonna Work Out Fine	Ike & Tina Turner
Let Me Belong To You	Brian Hyland
Water Boy	Don Shirley Trio
A Little Bit Of Soap	The Jarmels
The Mountain's High	Dick and DeeDee
Candy Man	Roy Orbison
What A Sweet Thing That Was	The Shirelles
Crying	Roy Orbison
Lonely Street	Clarence Henry
Lover's Island	The Blue Jays
The Guns Of Navarone	Joe Reisman Orch. & Chorus
Run, Run, Run	Ronny Douglas
When We Get Married	The Dreamlovers
Teardrops In My Heart	Joe Barry
My Claire De Lune	Steve Lawrence
Hully Gully Again	Little Caesar and The Romans
Don't Cry No More	Bobby Bland
Now And Forever	Bert Kaempfert And His Orchestra
If	The Paragons
Back Beat No. 1	The Rondels
San-Ho-Zay	Freddy King
Summer Souvenirs	Karl Hammel, Jr.
Here In My Heart	Al Martino
Bless You	Tony Orlando
Magic Moon (Clair De Lune)	The Rays
Dedicated (To The Songs I Love)	The 3 Friends
Every Breath I Take	Gene Pitney
Mexico	Bob Moore and His Orch.
Roll Over Beethoven	The Velaires
Well-A, Well-A	Shirley & Lee
In Time	Steve Lawrence
Music, Music, Music	The Sensations Featuring Yvonne
Starlight	The Preludes Five
My Heart's On Fire	Billy Bland
More Money For You And Me	The Four Preps
Girls Girls Girls (Part II)	The Coasters
Pitter-Patter	The Four Sportsmen
