I Wish	Stevie Wonder
Car Wash	Rose Royce
You Make Me Feel Like Dancing	Leo Sayer
Dazz	Brick
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
Hot Line	The Sylvers
New Kid In Town	Eagles
After The Lovin'	Engelbert Humperdinck
Blinded By The Light	Manfred Mann's Earth Band
Torn Between Two Lovers	Mary Macgregor
Tonight's The Night (Gonna Be Alright)	Rod Stewart
Walk This Way	Aerosmith
Lost Without Your Love	Bread
Enjoy Yourself	The Jacksons
I Like Dreamin'	Kenny Nolan
Livin' Thing	Electric Light Orchestra
Jeans On	David Dundas
Fly Like An Eagle	Steve Miller
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Weekend In New England	Barry Manilow
Saturday Nite	Earth, Wind & Fire
Sorry Seems To Be The Hardest Word	Elton John
Stand Tall	Burton Cummings
Hard Luck Woman	KISS
I Never Cry	Alice Cooper
Ain't Nothing Like The Real Thing	Donny & Marie Osmond
Whispering/Cherchez La Femme/Se Si Bon	Dr. Buzzard's Original Savannah Band
Night Moves	Bob Seger
The Rubberband Man	The Spinners
Shake Your Rump To The Funk	The Bar-Kays
This Song	George Harrison
Dancing Queen	ABBA
Love Me	Yvonne Elliman
Save It For A Rainy Day	Stephen Bishop
Year Of The Cat	Al Stewart
You've Got Me Runnin'	Gene Cotton
Go Your Own Way	Fleetwood Mac
It Keeps You Runnin'	The Doobie Brothers
Living Next Door To Alice	Smokie
I Like To Do It	KC And The Sunshine Band
Someone To Lay Down Beside Me	Linda Ronstadt
Don't Leave Me This Way	Thelma Houston
Dreamboat Annie	Heart
Muskrat Love	Captain & Tennille
Moody Blue/she Thinks I Still Care	Elvis Presley
Do It To My Mind	Johnny Bristol
More Than A Feeling	Boston
What Can I Say	Boz Scaggs
The Things We Do For Love	10cc
In The Mood	Henhouse Five Plus Too
Do What You Want, Be What You Are	Daryl Hall John Oates
Drivin' Wheel	Foghat
Nadia's Theme (The Young And The Restless)	Barry DeVorzon And Perry Botikin Jr.
Carry On Wayward Son	Kansas
Love So Right	Bee Gees
Boogie Child	Bee Gees
Spring Affair/Winter Melody	Donna Summer
Baby Don't You Know	Wild Cherry
Happier	Paul Anka
Open Sesame - Part 1	Kool & The Gang
Free	Deniece Williams
Free Bird	Lynyrd Skynyrd
Nights Are Forever Without You	England Dan & John Ford Coley
Mademoiselle	Styx
9,999,999 Tears	Dickey Lee
Dis-Gorilla (Part 1)	Rick Dees & His Cast Of Idiots
Fancy Dancer	Commodores
Baby, You Look Good To Me Tonight	John Denver
Say You'll Stay Until Tomorrow	Tom Jones
When Love Is New	Arthur Prysock
C.b. Savage	Rod Hart
Ha Cha Cha (funktion)	Brass Construction
Be My Girl	The Dramatics
Keep Me Cryin'	Al Green
Beth/Detroit Rock City	KISS
Yesterday's Hero	Bay City Rollers
Love Ballad	L.T.D.
Hail! Hail! Rock And Roll!	Starland Vocal Band
Darlin' Darlin' Baby (Sweet, Tender, Love)	The O'Jays
Rich Girl	Daryl Hall John Oates
I Don't Wanna Lose Your Love/Flowers	The Emotions
Bless The Beasts And Children	Barry DeVorzon And Perry Botikin Jr.
I Just Can't Say No To You	Parker McGee
You Know Like I Know	Ozark Mountain Daredevils
Prisoner (Captured By Your Eyes)	L.A. Jets
Daddy Cool	Boney M.
Shakey Ground	Phoebe Snow
If Not You	Dr. Hook
Baby Boy	Mary Kay Place As Loretta Haggers
Disco Lucy (i Love Lucy Theme)	Wilton Place Street Band
Fly By Night/In The Mood	Rush
Pirate	Cher
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
White Bird	David Laflamme
Spring Rain	Silvetti
Spend Some Time	Elvin Bishop Featuring Mickey Thomas
Sorry/That's The Trouble	Grace Jones
Theme From King Kong (Pt. I)	Love Unlimited Orchestra
Up Your Nose	Gabriel Kaplan
