Gettin' Jiggy Wit It	Will Smith
My Heart Will Go On	Celine Dion
Nice & Slow	Usher
No, No, No	Destiny's Child
Truly Madly Deeply	Savage Garden
Swing My Way	K.P. & Envyi
Together Again	Janet
What You Want	Mase Featuring Total
Gone Till November	Wyclef Jean
How Do I Live	LeAnn Rimes
I Don't Ever Want To See You Again	Uncle Sam
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
Are You Jimmy Ray?	Jimmy Ray
Too Close	Next
Too Much	Spice Girls
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
Body Bumpin' Yippie-Yi-Yo	Public Announcement
How's It Going To Be	Third Eye Blind
The Mummers' Dance	Loreena McKennitt
A Song For Mama	Boyz II Men
I Don't Want To Wait	Paula Cole
Kiss The Rain	Billie Myers
I Want You Back	'N Sync
You're Still The One	Shania Twain
You Make Me Wanna...	Usher
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Pink	Aerosmith
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Love You Down	INOJ/LATHUN
Show Me Love	Robyn
Father	LL Cool J
All My Love	Queen Pen Featuring Eric Williams
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
The Party Continues	JD Featuring Da Brat
Tubthumping	Chumbawamba
I Know Where It's At	All Saints
Semi-Charmed Life	Third Eye Blind
I Do	Lisa Loeb
If You Think I'm Jiggy	The Lox
Dangerous	Busta Rhymes
Quit Playing Games (With My Heart)	Backstreet Boys
Heaven	Nu Flavor
A Rose Is Still A Rose	Aretha Franklin
All For You	Sister Hazel
My Body	LSG
They Don't Know	Jon B
All I Do	Somethin' For The People
Get At Me Dog	DMX Featuring Sheek Of The Lox
Feel So Good	Mase
What Would Happen	Meredith Brooks
Sweet Surrender	Sarah McLachlan
We're Not Making Love No More	Dru Hill
Light In Your Eyes	Blessid Union Of Souls
I Will Come To You	Hanson
Given To Fly	Pearl Jam
Am I Dreaming	Ol Skool [Featuring Keith Sweat & Xscape]
The City Is Mine	Jay-Z Featuring BLACKstreet
Strawberries	Smooth
What If I Said	Anita Cochran (Duet With Steve Wariner)
Burn	Militia
I'm Alright	Jo Dee Messina
32 Flavors	Alana Davis
At The Beginning	Richard Marx & Donna Lewis
Bring It On	Keith Washington
Spice Up Your Life	Spice Girls
Then What?	Clay Walker
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
Breaking All The Rules	She Moves
Going Back To Cali	The Notorious B.I.G.
Life In Mono	Mono
Just Clownin'	WC From Westside Connection
If I Never Stop Loving You	David Kersh
Off The Hook	Jody Watley
Brian Wilson	Barenaked Ladies
Say You'll Stay	KAI
Ain't That Just The Way	Lutricia McNeal
The Memory Remains	Metallica
My Heart Will Go On	Deja Vu
Send My Love/Send One Your Love	Born Jamericans
Nothin' Move But The Money	Mic Geronimo Featuring DMX & Black Rob
Tic Tic Tac	Fruit De La Passion
It's All About Me	Mya & Sisqo
I'm Not A Player	Big Punisher
Lollipop (Candyman)	Aqua
Reality	Elusion
Don't Be Stupid (You Know I Love You)	Shania Twain
So Long (Well, Well, Well)	Phajja
What If	Reba McEntire
Jealousy	Kim Sanders
The Note	Daryle Singletary
Roxanne `97 - Puff Daddy Remix	Sting & The Police
I Can Love You Better	Dixie Chicks
Who Am I	Beenie Man
Saint Of Me	The Rolling Stones
Tha Hop	Kinsu
In A Dream	Rockell
The Day That She Left Tulsa (In A Chevy)	Wade Hayes
4, 3, 2, 1	LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P
Tuck Me In	Kimberly Scott
Young, Sad And Blue	Lysette
