Informer	Snow
Freak Me	Silk
Nuthin' But A "G" Thang	Dr. Dre
Don't Walk Away	Jade
Ordinary World	Duran Duran
I Have Nothing	Whitney Houston
I'm Every Woman (From "The Bodyguard")	Whitney Houston
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
Mr. Wendal	Arrested Development
Bed Of Roses	Bon Jovi
Two Princes	Spin Doctors
Hip Hop Hooray	Naughty By Nature
Cat's In The Cradle	Ugly Kid Joe
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
Comforter	Shai
I Will Always Love You	Whitney Houston
I Got A Man	Positive K
Forever In Love	Kenny G
I'm So Into You	SWV
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
That's What Love Can Do	Boy Krazy
Ditty	Paperboy
7	Prince And The New Power Generation
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Here We Go Again!	Portrait
Angel	Jon Secada
Get Away	Bobby Brown
Sweet Thing	Mary J. Blige
Heal The World	Michael Jackson
Man On The Moon	R.E.M.
If I Ever Lose My Faith In You	Sting
Looking Through Patient Eyes	P.M. Dawn
If I Ever Fall In Love	Shai
It Was A Good Day	Ice Cube
Hat 2 Da Back	TLC
Bad Girl	Madonna
Rhythm Is A Dancer	Snap!
Saving Forever For You (From "Beverly Hills, 90210")	Shanice
Nothin' My Love Can't Fix	Joey Lawrence
Rump Shaker	Wreckx-N-Effect
Do You Believe In Us	Jon Secada
The Crying Game (From "The Crying Game")	Boy George
In The Still Of The Nite (From "The Jacksons")	Boyz II Men
I Feel You	Depeche Mode
Simple Life	Elton John
So Alone	Men At Large
Dazzey Duks	Duice
I'm Gonna Get You	Bizarre Inc
Real Love	Mary J. Blige
I See Your Smile	Gloria Estefan
Beautiful Girl	INXS
Down With The King	Run-D.M.C.
Give It Up, Turn It Loose	En Vogue
Love U More	Sunscreem
Supermodel (You Better Work)	RuPaul
Dedicated	R. Kelly & Public Announcement
Passionate Kisses	Mary Chapin Carpenter
When She Cries	Restless Heart
Walk On The Ocean	Toad The Wet Sprocket
Easy	Faith No More
Everything's Gonna Be Alright	Father M.C.
Come In Out Of The Rain	Wendy Moten
Romeo	Dolly Parton & Friends
Tap The Bottle	Young Black Teenagers
What You Won't Do For Love	Go West
Little Bird	Annie Lennox
Love Don't Love You	En Vogue
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Tell The Truth	Jude Cole
No Mistakes	Patty Smyth
Murder She Wrote	Chaka Demus & Pliers
Love Shoulda Brought You Home (From "Boomerang")	Toni Braxton
She's Not Cryin' Anymore	Billy Ray Cyrus
I Got A Thang 4 Ya!	Lo-Key?
Somebody Love Me	Michael W. Smith
Stand	Poison
Candy Everybody Wants	10,000 Maniacs
Three Little Pigs	Green Jelly
Homies	Lighter Shade Of Brown
Save Your Love	Bad Boys Blue
Tell Me What You Dream	Restless Heart Featuring Warren Hill
Kiss Of Life	Sade
Understand This Groove	Sound Factory
Knock-N-Boots	Wreckx-N-Effect
Closer	Remedy
Funky Child	Lords Of The Underground
Deeper And Deeper	Madonna
Hope Of Deliverance	Paul McCartney
Buddy X	Neneh Cherry
Quality Time	Hi-Five
I'll Never Get Over You (Getting Over Me)	Expose
Connected	Stereo MC's
Reminisce	Mary J. Blige
Steam	Peter Gabriel
Who Got The Props	Black Moon
Love Me The Right Way	Rapination & Kym Mazelle
Born 2 B.R.E.E.D.	Monie Love
Gangsta Bitch	Apache
Good Ol' Days	Levert
