My All	Mariah Carey
Too Close	Next
I Get Lonely	Janet Featuring BLACKstreet
You're Still The One	Shania Twain
Everybody [Backstreet's Back]	Backstreet Boys
It's All About Me	Mya & Sisqo
Truly Madly Deeply	Savage Garden
The Arms Of The One Who Loves You	Xscape
All My Life	K-Ci & JoJo
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
Sex And Candy	Marcy Playground
Turn It Up [Remix]/Fire It Up	Busta Rhymes
Frozen	Madonna
I Want You Back	'N Sync
No, No, No	Destiny's Child
Gettin' Jiggy Wit It	Will Smith
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
Together Again	Janet
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
How's It Going To Be	Third Eye Blind
What You Want	Mase Featuring Total
My Heart Will Go On	Celine Dion
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Nice & Slow	Usher
Looking Through Your Eyes	LeAnn Rimes
I Got The Hook Up!	Master P Featuring Sons Of Funk
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
Raise The Roof	Luke Featuring No Good But So Good
How Do I Live	LeAnn Rimes
I Don't Want To Wait	Paula Cole
Say It	Voices Of Theory
Heaven's What I Feel	Gloria Estefan
Second Round K.O.	Canibus
Gone Till November	Wyclef Jean
Imagination	Tamia
They Don't Know	Jon B
Get At Me Dog	DMX Featuring Sheek Of The Lox
Who Am I	Beenie Man
Kiss The Rain	Billie Myers
Clock Strikes	Timbaland & Magoo
Cheers 2 U	Playa
You Make Me Wanna...	Usher
This Kiss	Faith Hill
A Rose Is Still A Rose	Aretha Franklin
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Wishlist	Pearl Jam
Bitter Sweet Symphony	The Verve
Do For Love	2Pac Featuring Eric Williams
This Is How We Party	S.O.A.P.
The Party Continues	JD Featuring Da Brat
Push It	Garbage
The Mummers' Dance	Loreena McKennitt
Recover Your Soul	Elton John
I'm Alright	Jo Dee Messina
Love You Down	INOJ/LATHUN
Gitty Up	Salt-N-Pepa
Too Much	Spice Girls
Rain	SWV
Strawberries	Smooth
Are You Jimmy Ray?	Jimmy Ray
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
The Unforgiven II	Metallica
My Heart Will Go On	Deja Vu
Do Your Thing	7 Mile
I Just Want To Dance With You	George Strait
Out Of My Bones	Randy Travis
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
A Promise I Make	Dakota Moon
Let's Forget About It	Lisa Loeb
I'm From The Country	Tracy Byrd
The City Is Mine	Jay-Z Featuring BLACKstreet
One Of These Days	Tim McGraw
It's Your Love	She Moves
Moan & Groan	Mark Morrison
In A Dream	Rockell
Blue On Black	The Kenny Wayne Shepherd Band
Light In Your Eyes	Blessid Union Of Souls
I Do [Cherish You]	Mark Wills
Come Over To My Place	Davina
There's Your Trouble	Dixie Chicks
Then What?	Clay Walker
Bring It On	Keith Washington
Ding-A-Ling	Hi-Town DJs
Have Fun, Go Mad	Blair
I Know Where It's At	All Saints
Superhero	Daze
Now That I Found You	Terri Clark
Burn	Militia
Sweet Honesty	M:G
Love Me Good	Michael W. Smith
That's Why I'm Here	Kenny Chesney
Pink	Aerosmith
It's Up To You	The Tuesdays
Reality	Elusion
If I Never Stop Loving You	David Kersh
Life In Mono	Mono
Out Of Sight (YO)	Rufus Blaq
I Don't Wanna Go On	Innerlude
