Wannabe	Spice Girls
Un-Break My Heart	Toni Braxton
Can't Nobody Hold Me Down	Puff Daddy (Featuring Mase)
I Believe I Can Fly (From "Space Jam")	R. Kelly
Don't Let Go (Love)	En Vogue
Foolish Games/You Were Meant For Me	Jewel
I Believe In You And Me (From "The Preacher's Wife")	Whitney Houston
Nobody	Keith Sweat Featuring Athena Cage
In My Bed	Dru Hill
Discotheque	U2
Every Time I Close My Eyes	Babyface
On & On	Erykah Badu
No Diggity	BLACKstreet (Featuring Dr. Dre)
Cold Rock A Party	MC Lyte
Ooh Aah... Just A Little Bit	Gina G
I'm Still In Love With You	New Edition
Don't Cry For Me Argentina (From "Evita")	Madonna
Mouth	Merril Bainbridge
Where Do You Go	No Mercy
If It Makes You Happy	Sheryl Crow
Get It Together	702
When You're Gone/Free To Decide	The Cranberries
When You Love A Woman	Journey
Barely Breathing	Duncan Sheik
I Like It	The Blackout Allstars
It's All Coming Back To Me Now	Celine Dion
Da' Dip	Freak Nasty
I Love You Always Forever	Donna Lewis
No Time	Lil' Kim Featuring Puff Daddy
Things'll Never Change/Rapper's Ball	E-40 Featuring Bo-Rock
Please Don't Go	No Mercy
Watch Me Do My Thing (From "All That")	Immature Featuring Smooth And Ed From Good Burger
Change The World	Eric Clapton
Last Night (From "The Nutty Professor")	Az Yet
Pony	Ginuwine
What They Do	The Roots
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
I Finally Found Someone (From "The Mirror Has Two Faces")	Barbra Streisand & Bryan Adams
This Is Your Night	Amber
You're Makin' Me High/Let It Flow	Toni Braxton
Firestarter	The Prodigy
Twisted	Keith Sweat
It's Your Body	Johnny Gill Featuring Roger Troutman
Whateva Man	Redman
You Must Love Me (From "Evita")	Madonna
Counting Blue Cars	Dishwalla
Barrel Of A Gun	Depeche Mode
What's On Tonight	Montell Jordan
Naked Eye	Luscious Jackson
Luchini aka (This Is It)	Camp Lo
Fly Like An Eagle (From "Space Jam")	Seal
Thirty-Three	The Smashing Pumpkins
Just Another Day	John Mellencamp
Let Me Clear My Throat	DJ Kool
Nothin' But The Cavi Hit (From "Rhyme & Reason")	Mack 10 & Tha Dogg Pound
Desperately Wanting	Better Than Ezra
Say... If You Feel Alright	Crystal Waters
Space Jam (From "Space Jam")	Quad City DJ's
I'm Not Giving You Up	Gloria Estefan
Tears	The Isley Brothers
If We Fall In Love Tonight	Rod Stewart
This Is For The Lover In You	Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels
The Theme (It's Party Time)	Tracey Lee
Never Leave Me Alone	Nate Dogg Featuring Snoop Doggy Dogg
Get Up	Lost Boyz
Come See Me	112
It's Alright, It's Ok	Leah Andreone
Without Love	Donna Lewis
It's All About U	SWV
Don't Stop Movin'	Livin' Joy
I Always Feel Like (Somebody's Watching Me)	Tru Featuring Ice Cream Man (Master P)
We Danced Anyway	Deana Carter
I'm Not Feeling You	Yvette Michele
Colour Of Love	Amber
Ain't Nobody (From "Beavis And Butt-Head Do America")	LL Cool J
Knocks Me Off My Feet	Donell Jones
ATLiens	OutKast
Between You And Me	dc Talk
It's In Your Eyes	Phil Collins
The Freshmen	The Verve Pipe
Friends	John Michael Montgomery
You Don't Have To Love Me	Monifah
Hero Of The Day	Metallica
Street Dreams	Nas
I Fell In Love	Rockell
I Can Make It Better	Luther Vandross
Take Your Time	Tre
Let's Ride	Richie Rich
I'll Be	Foxy Brown Featuring Jay-Z
Runnin'	2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch
How Could You (From "Bulletproof")	K-Ci & JoJo
Without Your Love	Angelina
Drop Dead Gorgeous	Republica
Here's Your Sign (Get The Picture)	Bill Engvall With Special Guest Travis Tritt
Setting Sun	The Chemical Brothers
Electrolite	R.E.M.
Stand Up	Love Tribe
Fired Up!	Funky Green Dogs
Passion	K5
My Baby Mama	QT
