Justify My Love	Madonna
Because I Love You (The Postman Song)	Stevie B
From A Distance	Bette Midler
High Enough	Damn Yankees
Tom's Diner	DNA Featuring Suzanne Vega
Impulsive	Wilson Phillips
Love Will Never Do (Without You)	Janet Jackson
Sensitivity	Ralph Tresvant
The First Time	Surface
I'm Your Baby Tonight	Whitney Houston
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Freedom	George Michael
Miles Away	Winger
Play That Funky Music	Vanilla Ice
The Way You Do The Things You Do	UB40
After The Rain	Nelson
Something To Believe In	Poison
Miracle (From "Young Guns II")	Jon Bon Jovi
Love Takes Time	Mariah Carey
I'm Not In Love	Will To Power
Just Another Dream	Cathy Dennis
One And Only Man	Steve Winwood
Groove Is In The Heart	Deee-Lite
For You	The Outfield
Hang In Long Enough	Phil Collins
Wiggle It	2 In A Room
On The Way Up	Elisa Fiorillo
Anything Is Possible	Debbie Gibson
I'll Give All My Love To You	Keith Sweat
You're Amazing	Robert Palmer
Gentle	Dino
Disappear	INXS
Feels Good	Tony Toni Tone
More Than Words Can Say	Alias
Stranded	Heart
Around The Way Girl	LL Cool J
All The Man That I Need	Whitney Houston
Does She Love That Man?	Breathe Featuring David Glasper
Where Does My Heart Beat Now	Celine Dion
I Saw Red	Warrant
Unchained Melody	The Righteous Brothers
The Ghetto	Too $hort
You Gotta Love Someone	Elton John
Love Makes Things Happen	Pebbles
Fairweather Friend	Johnny Gill
The Shoop Shoop Song (It's In His Kiss)	Cher
Pray	M.C. Hammer
Heat Of The Moment	After 7
Wicked Game	Chris Isaak
Candy	Iggy Pop With Kate Pierson
If You Needed Somebody	Bad Company
Ice Ice Baby	Vanilla Ice
I Don't Know Anybody Else	Black Box
New York Minute	Don Henley
Moneytalks	AC/DC
World In My Eyes	Depeche Mode
Knockin' Boots	Candyman
No Matter What	George LaMond (Duet With Brenda K. Starr)
So Close	Daryl Hall John Oates
Shelter Me	Cinderella
My Love Is A Fire	Donny Osmond
Show Me The Way	Styx
B.B.D. (I Thought It Was Me)?	Bell Biv DeVoe
I Wanna Get With U	Guy
Give It To Me Good	Trixter
Go For It! (Heart And Fire)	Joey B. Ellis & Tynetta Hare
It Never Rains (In Southern California)	Tony Toni Tone
Round And Round	Tevin Campbell
House Full Of Reasons	Jude Cole
One More Try	Timmy T.
Close To You	Maxi Priest
Hard To Handle	The Black Crowes
Just A Little Bit Longer	Maxi Priest
Get Here	Oleta Adams
Deeper Shade Of Soul	Urban Dance Squad
I Don't Have The Heart	James Ingram
This Is Ponderous	2nu
Hippychick	Soho
This House	Tracie Spencer
Cherry Pie	Warrant
Think	Information Society
Melt In Your Mouth	Candyman
Use It Up And Wear It Out	Pat & Mick
Can't Stop	After 7
Here Comes The Hammer	M.C. Hammer
Spend My Life	Slaughter
Giving You The Benefit	Pebbles
Crash (Have Some Fun)	TKA Featuring Michelle Visage
Signs	Tesla
The Swalk	Notorious
Remember My Name	House Of Lords
The Obvious Child	Paul Simon
I've Been Waiting For You	Guys Next Door
Missunderstanding	Al B. Sure!
Don't Hold Back Your Love	Daryl Hall John Oates
Power Of Love	Deee-Lite
I Found Love	The Party
Lyin' To Myself	David Cassidy
And So It Goes	Billy Joel
Joey	Concrete Blonde
