Rock Your Baby	George McCrae
Annie's Song	John Denver
Rock The Boat	The Hues Corporation
Sundown	Gordon Lightfoot
On And On	Gladys Knight And The Pips
Don't Let The Sun Go Down On Me	Elton John
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
You Won't See Me	Anne Murray
The Air That I Breathe	The Hollies
Rock And Roll Heaven	The Righteous Brothers
One Hell Of A Woman	Mac Davis
If You Love Me (let Me Know)	Olivia Newton-John
Rikki Don't Lose That Number	Steely Dan
Sideshow	Blue Magic
Band On The Run	Paul McCartney And Wings
Radar Love	Golden Earring
Hollywood Swinging	Kool & The Gang
Waterloo	ABBA
You Make Me Feel Brand New	The Stylistics
Be Thankful For What You Got	William DeVaughn
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Feel Like Makin' Love	Roberta Flack
Please Come To Boston	Dave Loggins
Takin' Care Of Business	Bachman-Turner Overdrive
If You Talk In Your Sleep	Elvis Presley
Machine Gun	Commodores
Call On Me	Chicago
This Heart	Gene Redding
The Streak	Ray Stevens
Come Monday	Jimmy Buffett
Midnight At The Oasis	Maria Muldaur
Workin' At The Car Wash Blues	Jim Croce
Dancing Machine	Jackson 5
Fish Ain't Bitin'	Lamont Dozier
Keep On Smilin'	Wet Willie
Ballero	War
I'm Coming Home	The Spinners
Sure As I'm Sittin' Here	Three Dog Night
Tell Me Something Good	Rufus Featuring Chaka Khan
The Night Chicago Died	Paper Lace
Train Of Thought	Cher
Rock Me Gently	Andy Kim
You And Me Against The World	Helen Reddy
Haven't Got Time For The Pain	Carly Simon
If You Wanna Get To Heaven	Ozark Mountain Daredevils
For The Love Of Money	The O'Jays
Jive Turkey (Part 1)	Ohio Players
Already Gone	Eagles
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Room Full Of Roses	Mickey Gilley
My Thang	James Brown
Hang On In There Baby	Johnny Bristol
Put Out The Light	Joe Cocker
La Grange	ZZ Top
Wild Thing	Fancy
Don't You Worry 'Bout A Thing	Stevie Wonder
My Girl Bill	Jim Stafford
(You're) Having My Baby	Paul Anka with Odia Coates
Too Late	Tavares
The Loco-Motion	Grand Funk
I'm The Leader Of The Gang	Brownsville Station
Wildwood Weed	Jim Stafford
Shinin' On	Grand Funk
Rub It In	Billy "Crash" Craddock
I'm Leaving It (All) Up To You	Donny & Marie Osmond
There Will Never Be Any Peace (Until God Is Seated At The Conference Table)	The Chi-lites
Help Me	Joni Mitchell
Rebel Rebel	David Bowie
Kung Fu	Curtis Mayfield
Nothing From Nothing	Billy Preston
Happiness Is Just Around The Bend	The Main Ingredient
It's Better To Have (and Don't Need)	Don Covay
The Show Must Go On	Three Dog Night
You've Got My Soul On Fire	The Temptations
Old Home Filler-up An' Keep On-a-truckin' Cafe	C.W. McCall
I Shot The Sheriff	Eric Clapton
How Do You Feel The Morning After	Millie Jackson
I've Been Born Again	Johnnie Taylor
You Can't Be A Beacon (if Your Light Don't Shine)	Donna Fargo
Worse Comes To Worst	Billy Joel
Air Disaster	Albert Hammond
Kalimba Story	Earth, Wind & Fire
Tell Me That I'm Wrong	Blood, Sweat & Tears
Secretary	Betty Wright
Love Is The Message	MFSB Featuring The Three Degrees
Between Her Goodbye And My Hello	Gladys Knight And The Pips
Time For Livin'	Sly & The Family Stone
Dance Master Pt. 1	Willie Henderson
What Goes Up (Must Come Down)	Tyrone Davis
Don't Knock My Love	Diana Ross & Marvin Gaye
Walk On	Neil Young
What's Your Name	Andy & David Williams
Good Things Don't Last Forever	Ecstasy, Passion & Pain
I Wish It Was Me You Loved	The Dells
I've Had It	Fanny
You're Welcome, Stop On By	Bobby Womack
Captain Howdy	Simon Stokes
American Girls	Rick Springfield
It Could Have Been Me	Sami Jo
Ma! (He's Making Eyes At Me)	Lena Zavaroni
