I Can Help	Billy Swan
Do It ('til You're Satisfied)	B.T. Express
My Melody Of Love	Bobby Vinton
Tin Man	America
Longfellow Serenade	Neil Diamond
Everlasting Love	Carl Carlton
Kung Fu Fighting	Carl Douglas
When Will I See You Again	The Three Degrees
Back Home Again	John Denver
Cat's In The Cradle	Harry Chapin
The Need To Be	Jim Weatherly
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
I've Got The Music In Me	The Kiki Dee Band
Angie Baby	Helen Reddy
Wishing You Were Here	Chicago
Life Is A Rock (But The Radio Rolled Me)	Reunion
Sha-La-La (Make Me Happy)	Al Green
Rockin' Soul	The Hues Corporation
Jazzman	Carole King
You Got The Love	Rufus Featuring Chaka Khan
So You Are A Star	The Hudson Brothers
People Gotta Move	Gino Vannelli
Promised Land	Elvis Presley
After The Goldrush	Prelude
Touch Me	Fancy
Fairytale	The Pointer Sisters
You're The First, The Last, My Everything	Barry White
Junior's Farm/Sally G	Paul McCartney And Wings
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
La La Peace Song	Al Wilson
Love Don't Love Nobody - Pt. I	The Spinners
Laughter In The Rain	Neil Sedaka
Ain't Too Proud To Beg	The Rolling Stones
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Fire, Baby I'm On Fire	Andy Kim
Three Ring Circus	Blue Magic
Woman To Woman	Shirley Brown
Must Of Got Lost	The J. Geils Band
Let's Straighten It Out	Latimore
Willie And The Hand Jive	Eric Clapton
Heavy Fallin' Out	The Stylistics
Carefree Highway	Gordon Lightfoot
Ride 'em Cowboy	Paul Davis
The Bitch Is Back	Elton John
You Haven't Done Nothin	Stevie Wonder
Play Something Sweet (Brickyard Blues)	Three Dog Night
Whatever You Got, I Want	Jackson 5
You Can Have Her	Sam Neely
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Bungle In The Jungle	Jethro Tull
Boogie On Reggae Woman	Stevie Wonder
Ask Me	Ecstasy, Passion & Pain
Only You	Ringo Starr
Dream On	The Righteous Brothers
The Heartbreak Kid	Bo Donaldson And The Heywoods
Never Can Say Goodbye	Gloria Gaynor
Mandy	Barry Manilow
Nobody	The Doobie Brothers
You And I	Johnny Bristol
Someday	Dave Loggins
Sugar Pie Guy Pt. 1	The Joneses
The Black-Eyed Boys	Paper Lace
Morning Side Of The Mountain	Donny & Marie Osmond
She's Gone	Tavares
Without Love	Aretha Franklin
Overnight Sensation (Hit Record)	Raspberries
Black Lassie (Featuring Johnny Stash)	Cheech & Chong
Early Morning Love	Sammy Johns
Dark Horse	George Harrison
Mississippi Cotton Picking Delta Town	Charley Pride
Give Me A Reason To Be Gone	Maureen McGovern
Evil Boll-weevil	Grand Canyon
Funky President (People It's Bad)/Coldblooded	James Brown
Sexy Ida (Part 1)	Ike & Tina Turner
Shoe Shoe Shine	Dynamic Superiors
California My Way	The Main Ingredient
Please Mr. Postman	Carpenters
I Feel Sanctified	Commodores
Do It Baby	The Miracles
Where Are All My Friends	Harold Melvin And The Blue Notes
Dancin' Fool	The Guess Who
Sunshine Roses	Gene Cotton
Then Came You	Dionne Warwicke & Spinners
Ride The Tiger	Jefferson Starship
I'll Be Your Everything	Percy Sledge
U.S. Of A	Donna Fargo
Free Bird	Lynyrd Skynyrd
Let This Be A Lesson To You	The Independents
Doraville	Atlanta Rhythm Section
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Dreams Are Ten A Penny	The First Class
Ruby, Baby	Billy "Crash" Craddock
Distant Lover	Marvin Gaye
My Eyes Adored You	Frankie Valli
I Wouldn't Treat A Dog (The Way You Treated Me)	Bobby Bland
Stop And Smell The Roses	Mac Davis
In The Bottle	Brother To Brother
Can't Get Enough	Bad Company
Love Me For A Reason	The Osmonds
I Honestly Love You	Olivia Newton-John
