Lean On Me	Bill Withers
Outa-Space	Billy Preston
Song Sung Blue	Neil Diamond
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose
The Candy Man	Sammy Davis, Jr. with The Mike Curb Congregation
Troglodyte (Cave Man)	The Jimmy Castor Bunch
Rocket Man	Elton John
Daddy Don't You Walk So Fast	Wayne Newton
I Need You	America
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Nice To Be With You	Gallery
Brandy (You're A Fine Girl)	Looking Glass
How Do You Do?	Mouth & MacNeal
Too Young	Donny Osmond
Layla	Derek & The Dominos
School's Out	Alice Cooper
Take It Easy	Eagles
I Wanna Be Where You Are	Michael Jackson
Where Is The Love	Roberta Flack & Donny Hathaway
Alone Again (Naturally)	Gilbert O'Sullivan
Amazing Grace	The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
Conquistador	Procol Harum
(Last Night) I Didn't Get To Sleep At All	The 5th Dimension
Oh Girl	The Chi-lites
I'll Take You There	The Staple Singers
All The Kings Horses	Aretha Franklin
I've Been Lonely For So Long	Frederick Knight
Day By Day	Godspell
Sylvia's Mother	Dr. Hook And The Medicine Show
Living In A House Divided	Cher
People Make The World Go Round	The Stylistics
How Can I Be Sure	David Cassidy
Long Cool Woman (In A Black Dress)	The Hollies
Coconut	Nilsson
The Happiest Girl In The Whole U.S.A.	Donna Fargo
Sealed With A Kiss	Bobby Vinton
Superwoman (Where Were You When I Needed You)	Stevie Wonder
Mary Had A Little Lamb/Little Woman Love	Wings
Hold Her Tight	The Osmonds
Hold Your Head Up	Argent
You Said A Bad Word	Joe Tex
After Midnight	J.J. Cale
We're Free	Beverly Bremers
We're On Our Way	Chris Hodge
The Runway	The Grass Roots
Gone	Joey Heatherton
Motorcycle Mama	Sailcat
Brown Eyed Girl	El Chicano
Baby Let Me Take You (In My Arms)	Detroit Emeralds
You Don't Mess Around With Jim	Jim Croce
Honky Tonk - Part 1	The James Brown Soul Train
Life And Breath	Climax featuring Sonny Geraci
I Saw The Light	Todd Rundgren
Powder Blue Mercedes Queen	The Raiders
I'm Coming Home	Stories
Sweet Inspiration/Where You Lead	Barbra Streisand
I'm Still In Love With You	Al Green
Funk Factory	Wilson Pickett
We've Come Too Far To End It Now	Smokey Robinson & The Miracles
In A Broken Dream	Python Lee Jackson
In The Ghetto	Candi Staton
Beautiful	Gordon Lightfoot
Victim Of A Foolish Heart	Bettye Swann
Small Beginnings	Flash
It Doesn't Matter	Stephen Stills
Men Of Learning	Vigrass & Osborne
Beautiful Sunday	Daniel Boone
Papa Was A Rollin' Stone	The Undisputed Truth
Francene	ZZ Top
Bed And Board	Barbara Mason
I Miss You (Part I)	Harold Melvin And The Blue Notes
War Song	Neil Young & Graham Nash
Baby Don't Get Hooked On Me	Mac Davis
Duncan	Paul Simon
Rip Off	Laura Lee
Pop That Thang	The Isley Brothers
Eddie's Love	Eddie Kendricks
Butterfly	Danyel Gerard
Look What They've Done To My Song, Ma	Ray Charles
Vanilla Ólay	Jackie DeShannon
I Don't Need No Doctor	New Riders Of The Purple Sage
Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Starting All Over Again	Mel And Tim
Go All The Way	Raspberries
My Guy	Petula Clark
Tell Me This Is A Dream	The Delfonics
If I Were A Carpenter	Bob Seger
Delta Dawn	Tanya Tucker
Popcorn	Hot Butter
A Simple Man	Lobo
Cat's Eye In The Window	Tommy James
Zing Went The Strings Of My Heart	The Trammps
Mother Nature	The Temptations
Power Of Love	Joe Simon
Vaya Con Dios	Dawn Featuring Tony Orlando
Starman	David Bowie
I Am Woman	Helen Reddy
That's The Way God Planned It	Billy Preston
When You Say Love	Sonny & Cher
Country Woman	The Magic Lantern
