Take A Bow	Madonna
Candy Rain	Soul For Real
Creep	TLC
Baby	Brandy
Red Light Special	TLC
Big Poppa/Warning	The Notorious B.I.G.
Strong Enough	Sheryl Crow
If You Love Me	Brownstone
You Gotta Be	Des'ree
On Bended Knee	Boyz II Men
Another Night	Real McCoy
Hold My Hand	Hootie & The Blowfish
I Know	Dionne Farris
Freak Like Me	Adina Howard
Sukiyaki	4PM
Always	Bon Jovi
Run Away	Real McCoy
This Lil' Game We Play	Subway (Featuring 702)
Like The Way I Do/If I Wanted To	Melissa Etheridge
This Is How We Do It	Montell Jordan
Thank You	Boyz II Men
In The House Of Stone And Light	Martin Page
If You Think You're Lonely Now	K-Ci Hailey
Before I Let You Go	BLACKstreet
Dear Mama/Old School	2Pac
Believe	Elton John
Everlasting Love	Gloria Estefan
You Don't Know How It Feels	Tom Petty
The Rhythm Of The Night	Corona
I'm The Only One	Melissa Etheridge
I Miss You	N2U
Every Day Of The Week	Jade
Hold On	Jamie Walters
Constantly	Immature
You Got It (From "Boys On The Side")	Bonnie Raitt
The Sweetest Days	Vanessa Williams
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
Get Down	Craig Mack
I Live My Life For You	Firehouse
I Wanna Be Down	Brandy
Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E
Tootsee Roll	69 Boyz
House Of Love	Amy Grant With Vince Gill
I Believe	Blessid Union Of Souls
I'll Make Love To You	Boyz II Men
Get Ready For This	2 Unlimited
Short Dick Man	20 Fingers Featuring Gillette
100% Pure Love	Crystal Waters
You Want This/70's Love Groove	Janet Jackson
All I Wanna Do	Sheryl Crow
Dream About You/Funky Melody	Stevie B
Mental Picture	Jon Secada
Bang And Blame	R.E.M.
Mad Izm	Channel Live
Brooklyn Zoo	Ol' Dirty Bastard
For Your Love	Stevie Wonder
She's A River	Simple Minds
Mr. Personality	Gillette
Shook Ones Part II	Mobb Deep
(She's Got) Skillz	All-4-One
No More "I Love You's"	Annie Lennox
Think Of You	Usher
Cotton Eye Joe	Rednex
She Don't Use Jelly	The Flaming Lips
Whutcha Want?	Nine
Tour	Capleton
Mishale	Andru Donalds
Promise Me	Lil Suzy
Kitty Kitty	69 Boyz
Sour Times (Nobody Loves Me)	Portishead
Get Lifted	Keith Murray
Never Find Someone Like You	Keith Martin
Move It Like This	K7
People Don't Believe	Scarface Feat. Ice Cube
Fat Boy	Max-A-Million
Bring The Pain	Method Man
Woman To Woman	Jewell
I'd Rather Be Alone	IV Xample
1-Luv	E-40 (Featuring Leviti)
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
Let Her Cry	Hootie & The Blowfish
Nika	Vicious
Foolin' Around	Changing Faces
Rodeo	95 South
What I Need	Crystal Waters
Be Happy	Mary J. Blige
Let's Get It On	Shabba Ranks
Always And Forever	Luther Vandross
Until The End Of Time	Foreigner
Dreamer	Livin' Joy
Where I Wanna Be Boy	Missjones
How Did I Get By Without You?	John Waite
Close To You	Fun Factory
Pimp Of The Year	Dru Down
Can I Stay With You	Karyn White
Keep Their Heads Ringin' (From "Friday")	Dr. Dre
I Apologize	Anita Baker
Release Yo' Delf	Method Man
Cocktales	Too $hort
Can't Wait	Redman
