Like A Prayer	Madonna
I'll Be There For You	Bon Jovi
Real Love	Jody Watley
Funky Cold Medina	Tone-Loc
Forever Your Girl	Paula Abdul
Second Chance	Thirty Eight Special
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
Soldier Of Love	Donny Osmond
Room To Move	Animotion
She Drives Me Crazy	Fine Young Cannibals
Heaven Help Me	Deon Estus With George Michael
Thinking Of You	SaFire
Cult Of Personality	Living Colour
Rock On (From "Dream A Little Dream")	Michael Damian
Iko Iko (From "Rain Man")	The Belle Stars
Sincerely Yours	Sweet Sensation (With Romeo J.D.)
Electric Youth	Debbie Gibson
Patience	Guns N' Roses
Wind Beneath My Wings (From "Beaches")	Bette Midler
Every Little Step	Bobby Brown
The Look	Roxette
I'll Be Loving You (Forever)	New Kids On The Block
Rocket	Def Leppard
Everlasting Love	Howard Jones
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Seventeen	Winger
Where Are You Now?	Jimmy Harnen With Synch
Girl You Know It's True	Milli Vanilli
A Shoulder To Cry On	Tommy Page
Through The Storm	Aretha Franklin & Elton John
Eternal Flame	The Bangles
Buffalo Stance	Neneh Cherry
Voices Of Babylon	The Outfield
Cry	Waterfront
Stand	R.E.M.
I Only Wanna Be With You	Samantha Fox
I Wanna Be The One	Stevie B
Your Mama Don't Dance	Poison
Satisfied	Richard Marx
Downtown	One 2 Many
Little Jackie Wants To Be A Star	Lisa Lisa And Cult Jam
Pop Singer	John Mellencamp
Miss You Like Crazy	Natalie Cole
Coming Home	Cinderella
This Time I Know It's For Real	Donna Summer
Superwoman	Karyn White
You Got It	Roy Orbison
Giving Up On Love	Rick Astley
Baby Don't Forget My Number	Milli Vanilli
Circle	Edie Brickell & New Bohemians
Cuddly Toy (Feel For Me)	Roachford
I'll Be You	The Replacements
Veronica	Elvis Costello
The Living Years	Mike + The Mechanics
Birthday Suit (From "Sing")	Johnny Kemp
My Heart Can't Tell You No	Rod Stewart
Lost In Your Eyes	Debbie Gibson
Dreamin'	Vanessa Williams
Orinoco Flow (Sail Away)	Enya
I Drove All Night	Cyndi Lauper
Let Me In	Eddie Money
The Different Story (World Of Lust And Crime)	Peter Schilling
I Won't Back Down	Tom Petty
Seeing Is Believing	Mike + The Mechanics
Into The Night	Benny Mardones
Closer Than Friends	Surface
Stop	Sam Brown
Straight Up	Paula Abdul
Good Thing	Fine Young Cannibals
You Ain't Seen Nothing Yet	Figures On A Beach
You Got It (The Right Stuff)	New Kids On The Block
Wild Thing	Tone-Loc
Be With You	The Bangles
Round & Round	New Order
Down Boys	Warrant
One	Metallica
When Love Comes To Town	U2 With B.B. King
Walk The Dinosaur	Was (Not Was)
Hearts On Fire	Steve Winwood
Who Do You Give Your Love To?	Michael Morales
If You Don't Know Me By Now	Simply Red
I Like	Guy
For The Love Of Money	BulletBoys
The Mayor Of Simpleton	XTC
Rooms On Fire	Stevie Nicks
You're Not Alone	Chicago
The Love In Your Eyes	Eddie Money
Just Because	Anita Baker
Anything Can Happen	Was (Not Was)
Shake It Up	Bad Company
Paradise City	Guns N' Roses
More Than You Know	Martika
Repetition	Information Society
Let The River Run (Theme From "Working Girl")	Carly Simon
24/7	Dino
Good Life	Inner City
Working On It	Chris Rea
Can You Stand The Rain	New Edition
I Can't Face The Fact	Gina Go-Go
Somebody Like You	Robbie Nevil
