Winchester Cathedral	The New Vaudeville Band
Mellow Yellow	Donovan
Good Vibrations	The Beach Boys
Devil With A Blue Dress On & Good Golly Miss Molly	Mitch Ryder And The Detroit Wheels
You Keep Me Hangin' On	The Supremes
That's Life	Frank Sinatra
Born Free	Roger Williams
I'm A Believer	The Monkees
Sugar Town	Nancy Sinatra
A Place In The Sun	Stevie Wonder
Whispers (Gettin' Louder)	Jackie Wilson
(I Know) I'm Losing You	The Temptations
Lady Godiva	Peter And Gordon
I'm Ready For Love	Martha & The Vandellas
A Hazy Shade Of Winter	Simon & Garfunkel
I Got The Feelin' (Oh No No)	Neil Diamond
(Come 'round Here) I'm The One You Need	The Miracles
Stop Stop Stop	The Hollies
Mame	Herb Alpert & The Tijuana Brass
It Tears Me Up	Percy Sledge
I'm Your Puppet	James & Bobby Purify
Poor Side Of Town	Johnny Rivers
Single Girl	Sandy Posey
Talk Talk	The Music Machine
Tell It Like It Is	Aaron Neville
Cry	Ronnie Dove
I Need Somebody	? (Question Mark) & The Mysterians
Knock On Wood	Eddie Floyd
Mustang Sally	Wilson Pickett
Snoopy Vs. The Red Baron	The Royal Guardsmen
It's Only Love	Tommy James And The Shondells
Coming Home Soldier	Bobby Vinton
Coming On Strong	Brenda Lee
But It's Alright	J.J. Jackson
Good Thing	Paul Revere & The Raiders Featuring Mark Lindsay
Words Of Love	The Mamas & The Papas
Help Me Girl	The Outsiders
Holy Cow	Lee Dorsey
Pandora's Golden Heebie Jeebies	The Association
The Wheel Of Hurt	Margaret Whiting
East West	Herman's Hermits
Run, Run, Look And See	Brian Hyland
Last Train To Clarksville	The Monkees
Rain On The Roof	The Lovin' Spoonful
Games That Lovers Play	Eddie Fisher
I've Passed This Way Before	Jimmy Ruffin
Happenings Ten Years Time Ago	The Yardbirds
I Fooled You This Time	Gene Chandler
Help Me Girl	Eric Burdon & The Animals
Time After Time	Chris Montez
I (Who Have Nothing)	Terry Knight and The Pack
Money (That's What I Want) (Part 1)	Jr. Walker & The All Stars
The Eggplant That Ate Chicago	Dr. West's Medicine Show and Junk Band
(When She Needs Good Lovin') She Comes To Me	The Chicago Loop
There's Got To Be A Word!	The Innocence
Try A Little Tenderness	Otis Redding
Ghost Riders In The Sky	Baja Marimba Band
Tell It To The Rain	The 4 Seasons Featuring the "Sound of Frankie Valli"
Georgy Girl	The Seekers
A Symphony For Susan	The Arbors
Please Don't Ever Leave Me	The Cyrkle
Standing In The Shadows Of Love	Four Tops
Blue Autumn	Bobby Goldsboro
Bad Misunderstanding	The Critters
A Day In The Life Of A Fool	Jack Jones
Goodnight My Love	The Happenings
Please Say You're Fooling	Ray Charles and his Orchestra
You Can Bring Me All Your Heartaches	Lou Rawls
The Proud One	Frankie Valli
We Got A Thing That's In The Groove	The Capitols
Baby What I Mean	The Drifters
I Don't Need No Doctor	Ray Charles and his Orchestra
98.6	Keith
(We Ain't Got) Nothin' Yet	Blues Magoos
The Girl That Stood Beside Me	Bobby Darin
Alvin's Boo-Ga-Loo	Alvin Cash & The Registers
(I'm Not Your) Steppin' Stone	The Monkees
There's Something On Your Mind	Baby Ray
Communication Breakdown	Roy Orbison
Don't Answer The Door - Part 1	B.B. King
I Had Too Much To Dream (Last Night)	The Electric Prunes
You Got Me Hummin'	Sam & Dave
Papa Was Too	Joe Tex
Karate	The Emperor's
I Wanna Meet You	The Cryan' Shames
Nashville Cats	The Lovin' Spoonful
Where Will The Words Come From	Gary Lewis And The Playboys
I'm Gonna Miss You	The Artistics
If You Go Away	Damita Jo
(He's) Raining In My Sunshine	Jay & The Americans
Wack Wack	The Young Holt Trio
Questions And Answers	The In Crowd
(Open Up The Door) Let The Good Times In	Dean Martin
Dancing In The Street	The Mamas & The Papas
Grizzly Bear	The Youngbloods
Going Nowhere	Los Bravos
Peak Of Love	Bobby McClure
Look What You've Done	Pozo Seco Singers
Stand By Me	Spyder Turner
Try My Love Again	Bobby Moore's Rhythm Aces featuring Chico
