Escapade	Janet Jackson
Black Velvet	Alannah Myles
Roam	The B-52s
Love Will Lead You Back	Taylor Dayne
Price Of Love	Bad English
I Go To Extremes	Billy Joel
No More Lies	Michel'le
I Wish It Would Rain Down	Phil Collins
Just A Friend	Biz Markie
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Dangerous	Roxette
All Around The World	Lisa Stansfield
Too Late To Say Goodbye	Richard Marx
I'll Be Your Everything	Tommy Page
Keep It Together	Madonna
No Myth	Michael Penn
Get Up! (Before The Night Is Over)	Technotronic
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
Sacrifice	Elton John
Sometimes She Cries	Warrant
Here And Now	Luther Vandross
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Forever	KISS
Don't Wanna Fall In Love	Jane Child
Here We Are	Gloria Estefan
Whole Wide World (From "True Love")	A'me Lorain
We Can't Go Wrong	The Cover Girls
The Deeper The Love	Whitesnake
Anything I Want	Kevin Paige
All Or Nothing	Milli Vanilli
I Wanna Be Rich	Calloway
Love Me For Life	Stevie B
Without You	Motley Crue
Personal Jesus	Depeche Mode
Summer Rain	Belinda Carlisle
How Can We Be Lovers	Michael Bolton
Heartbeat	Seduction
A Girl Like You	The Smithereens
Whip Appeal	Babyface
You're The Only Woman	The Brat Pack
Two To Make It Right	Seduction
Heart Of Stone	Cher
The Heart Of The Matter	Don Henley
If U Were Mine	The U-Krew
True Blue Love	Lou Gramm
Sending All My Love	Linear
How Am I Supposed To Live Without You	Michael Bolton
What Kind Of Man Would I Be?	Chicago
Got To Get	Leila K With Rob 'N' Raz
Blue Sky Mine	Midnight Oil
Fly High Michelle	Enuff Z'Nuff
If You Leave Me Now	Jaya
Dirty Deeds	Joan Jett
A Face In The Crowd	Tom Petty
Almost Hear You Sigh	The Rolling Stones
Lambada	Kaoma
The Secret Garden	Quincy Jones
Wild Women Do (From "Pretty Woman")	Natalie Cole
Make It Like It Was	Regina Belle
What It Takes	Aerosmith
Don't Know Much	Linda Ronstadt (Featuring Aaron Neville)
Downtown Train	Rod Stewart
Nothing Compares 2 U	Sinead O'Connor
Janie's Got A Gun	Aerosmith
Bust A Move	Young M.C.
I Remember You	Skid Row
Love Song	Tesla
Real Love	Skyy
Love Child	Sweet Sensation
Room At The Top	Adam Ant
I'll Be There	Joyce "Fenderella" Irby
Living In Oblivion	Anything Box
Anytime	McAuley Schenker Group
Hold On	Wilson Phillips
House Of Pain	Faster Pussycat
Back To Life	Soul II Soul
Whatcha Gonna Do With My Lovin'	Inner City
Have A Heart	Bonnie Raitt
Time After Time	Timmy T.
Expression	Salt-N-Pepa
The Humpty Dance	Digital Underground
Me So Horny	The 2 Live Crew
Pump Up The Jam	Technotronic Featuring Felly
The Way It Is	Tesla
Hide And Seek	Pajama Party
A Little Love	Corey Hart
Was It Nothing At All	Michael Damian
House Of Fire	Alice Cooper
99 Worlds	Peter Wolf
Bad Love	Eric Clapton
Tell Me Why	Expose
Just Between You And Me	Lou Gramm
Free Fallin'	Tom Petty
Advice For The Young At Heart	Tears For Fears
You're The Voice	John Farnham
Imagination	Xymox
House Of Broken Love	Great White
Everything	Jody Watley
There's A Party Going On	Yvonne
Got To Have Your Love	Mantronix Featuring Wondress
