Rush Rush	Paula Abdul
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
More Than Words	Extreme
Losing My Religion	R.E.M.
Love Is A Wonderful Thing	Michael Bolton
Unbelievable	EMF
Power Of Love/Love Power	Luther Vandross
Strike It Up	Black Box
I Don't Wanna Cry	Mariah Carey
Right Here, Right Now	Jesus Jones
Couple Days Off	Huey Lewis & The News
Playground	Another Bad Creation
Here I Am (Come And Take Me)	UB40
I Like The Way (The Kissing Game)	Hi-Five
Gypsy Woman (She's Homeless)	Crystal Waters
Walking In Memphis	Marc Cohn
We Want The Funk	Gerardo
How Can I Ease The Pain	Lisa Fischer
Place In This World	Michael W. Smith
Mama Said Knock You Out	LL Cool J
Do You Want Me	Salt-N-Pepa
Piece Of My Heart	Tara Kemp
Lily Was Here	David A. Stewart Introducing Candy Dulfer
Never Gonna Let You Down	Surface
A Better Love	Londonbeat
I'll Never Let You Go	Steelheart
P.A.S.S.I.O.N.	Rhythm Syndicate
Love At First Sight	Styx
The Dream Is Still Alive	Wilson Phillips
Rhythm Of My Heart	Rod Stewart
Baby Baby	Amy Grant
Miracle	Whitney Houston
Touch Me (All Night Long)	Cathy Dennis
Silent Lucidity	Queensryche
Here We Go	C+C Music Factory/F. Williams
Temptation	Corina
It Ain't Over 'til It's Over	Lenny Kravitz
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Every Heartbeat	Amy Grant
Don't Treat Me Bad	Firehouse
I'll Be There	The Escape Club
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
Fading Like A Flower (Every Time You Leave)	Roxette
Life Goes On	Poison
See The Lights	Simple Minds
I Touch Myself	Divinyls
Joyride	Roxette
Love And Understanding	Cher
Kissing You	Keith Washington
Exclusivity	Damian Dame
Summertime	D.J. Jazzy Jeff & The Fresh Prince
Written All Over Your Face	The Rude Boys
Wind Of Change	Scorpions
What Comes Naturally	Sheena Easton
Motownphilly	Boyz II Men
Voices That Care	Voices That Care
This Time Make It Funky	Tracie Spencer
Nights Like This (From "The Five Heartbeats")	After 7
Higher Than Hope	Daryl Braithwaite
Elevate My Mind	Stereo MC's
Part Of Me, Part Of You	Glenn Frey
Can't Forget You	Gloria Estefan
My Body Says Yes	Titiyo
Love Desire	Sandee
Ooh La La	David Hallyday
Can I Call You My Girl	PC Quest
Kisses In The Night	Brandon
Dirty Love	Thunder
Cry For Help	Rick Astley
Going Through The Motions	Aftershock
What A Price To Pay	Michael Damian
Where The Streets Have No Name	Pet Shop Boys
You Don't Have To Go Home Tonight	The Triplets
Dream Lover	The Rebel Pebbles
She Talks To Angels	The Black Crowes
More Than Ever	Nelson
I Can't Wait Another Minute	Hi-Five
Surrender	Trixter
Someone	The Rembrandts
Your Love	Keith Sweat
Forever Amo'r	D'zyre
(If There Was) Any Other Way	Celine Dion
Crazy	Seal
Hard To Handle	The Black Crowes
Move Right Out	Rick Astley
Lift Me Up	Yes
Summer Vacation	The Party
It's A Shame (My Sister)	Monie Love Featuring True Image
Whatever You Want	Tony Toni Tone
Only Time Will Tell	Nelson
Come Again	Damn Yankees
Round And Round	Tevin Campbell
Love On A Rooftop	Desmond Child
3 A.M. Eternal	The KLF
Break Up To Make Up	Cynthia
Save Some Love	Keedy
Love Gets Rough	Troy Newman
Let The Beat Hit 'Em	Lisa Lisa And Cult Jam
My Heart Is Failing Me	Riff
Can You Stop The Rain	Peabo Bryson
