Shake It Off	Taylor Swift
Anaconda	Nicki Minaj
All About That Bass	Meghan Trainor
Stay With Me	Sam Smith
Rude	MAGIC!
Black Widow	Iggy Azalea Featuring Rita Ora
Break Free	Ariana Grande Featuring Zedd
Chandelier	Sia
Bang Bang	Jessie J, Ariana Grande & Nicki Minaj
Am I Wrong	Nico & Vinz
Fancy	Iggy Azalea Featuring Charli XCX
Boom Clap	Charli XCX
Problem	Ariana Grande Featuring Iggy Azalea
Maps	Maroon 5
Rather Be	Clean Bandit Featuring Jess Glynne
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Latch	Disclosure Featuring Sam Smith
Don't Tell 'Em	Jeremih Featuring YG
Shower	Becky G
All Of Me	John Legend
Happy	Pharrell Williams
Burnin' It Down	Jason Aldean
Habits (Stay High)	Tove Lo
Dirt	Florida Georgia Line
Cool Kids	Echosmith
Really Don't Care	Demi Lovato Featuring Cher Lloyd
American Kids	Kenny Chesney
Summer	Calvin Harris
2 On	Tinashe Featuring ScHoolboy Q
Dark Horse	Katy Perry Featuring Juicy J
Love Runs Out	OneRepublic
A Sky Full Of Stars	Coldplay
Drunk On A Plane	Dierks Bentley
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Bartender	Lady Antebellum
This Is How We Do	Katy Perry
New Flame	Chris Brown Featuring Usher & Rick Ross
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
No Mediocre	T.I. Featuring Iggy Azalea
Wiggle	Jason Derulo Featuring Snoop Dogg
Counting Stars	OneRepublic
Turn Down For What	DJ Snake & Lil Jon
Hot Boy	Bobby Shmurda
Come With Me Now	KONGOS
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
Amnesia	5 Seconds Of Summer
Don't	Ed Sheeran
Leave The Night On	Sam Hunt
We Dem Boyz	Wiz Khalifa
Pills N Potions	Nicki Minaj
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Girls Chase Boys	Ingrid Michaelson
0 To 100 / The Catch Up	Drake
Roller Coaster	Luke Bryan
Where It's At (Yep, Yep)	Dustin Lynch
I Don't Dance	Lee Brice
Believe Me	Lil Wayne Featuring Drake
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
Hope You Get Lonely Tonight	Cole Swindell
Hideaway	Kiesza
Riptide	Vance Joy
No Flex Zone	Rae Sremmurd
Ready Set Roll	Chase Rice
Bo$$	Fifth Harmony
River Bank	Brad Paisley
Stolen Dance	Milky Chance
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Fireball	Pitbull Featuring John Ryan
Fight Night	Migos
Yeah	Joe Nichols
Main Chick	Kid Ink Featuring Chris Brown
Sunshine & Whiskey	Frankie Ballard
Work	Iggy Azalea
Girl In A Country Song	Maddie & Tae
V. 3005	Childish Gambino
Love Never Felt So Good	Michael Jackson & Justin Timberlake
I Will Never Let You Down	Rita Ora
Sing	Ed Sheeran
About The Money	T.I. Featuring Young Thug
Trumpets	Jason Derulo
Neon Light	Blake Shelton
Day Drinking	Little Big Town
Cut Her Off	KCamp Featuring 2 Chainz
We Are Tonight	Billy Currington
Hookah	Tyga Featuring Young Thug
Animals	Maroon 5
Take Me To Church	Hozier
Waves	Mr. Probz
Cold One	Eric Church
Dust	Eli Young Band
Good Kisser	Usher
Shell Shocked	Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik
Come Get It Bae	Pharrell Williams
Wasted	Tiesto Featuring Matthew Koma
Who I Am With You	Chris Young
Delirious (Boneless)	Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink
Later On	The Swon Brothers
Foreign	Trey Songz
Walk Thru	Rich Homie Quan Featuring Problem
Dare (La La La)	Shakira
