Fame	David Bowie
Rhinestone Cowboy	Glen Campbell
At Seventeen	Janis Ian
I'm Sorry	John Denver
Fight The Power Part 1	The Isley Brothers
Could It Be Magic	Barry Manilow
Run Joey Run	David Geddes
Fallin' In Love	Hamilton, Joe Frank & Reynolds
Wasted Days And Wasted Nights	Freddy Fender
Feel Like Makin' Love	Bad Company
Ballroom Blitz	Sweet
That's The Way Of The World	Earth, Wind & Fire
Ain't No Way To Treat A Lady	Helen Reddy
Third Rate Romance	Amazing Rhythm Aces
Get Down Tonight	KC And The Sunshine Band
Dance With Me	Orleans
Solitaire	Carpenters
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Mr. Jaws	Dickie Goodman
Feelings	Morris Albert
Daisy Jane	America
The Proud One	The Osmonds
They Just Can't Stop It the (Games People Play)	The Spinners
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
It Only Takes A Minute	Tavares
Rocky	Austin Roberts
Brazil	The Ritchie Family
Gone At Last	Paul Simon/Phoebe Snow
How Sweet It Is (To Be Loved By You)	James Taylor
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Miracles	Jefferson Starship
Bad Blood	Neil Sedaka
Lady Blue	Leon Russell
Carolina In The Pines	Michael Murphey
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
Do It Any Way You Wanna	People's Choice
You're All I Need To Get By	Tony Orlando & Dawn
Your Love	Graham Central Station
What A Diff'rence A Day Makes	Esther Phillips
Who Loves You	The 4 Seasons
I Got Stoned And I Missed It	Jim Stafford
I Only Have Eyes For You	Art Garfunkel
If I Ever Lose This Heaven	AWB
Jive Talkin'	Bee Gees
Keep Your Eye On The Sparrow	Merry Clayton
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
Katmandu	Bob Seger
One Of These Nights	Eagles
Rockin' All Over The World	John Fogerty
To Each His Own	Faith, Hope And Charity
This Will Be	Natalie Cole
I Love Makin' Love To You	Evie Sands
Heat Wave/love Is A Rose	Linda Ronstadt
Lyin' Eyes	Eagles
Blue Eyes Crying In The Rain	Willie Nelson
Sky High	Jigsaw
Only You Can	Fox
If I Could Only Win Your Love	Emmylou Harris
Money	Gladys Knight And The Pips
There Goes Another Love Song	The Outlaws
Brand New Love Affair (Part I & II)	Chicago
I Get High On You	Sly Stone
Dreaming A Dream	Crown Heights Affair
Sweet Sticky Thing	Ohio Players
You Ain't Never Been Loved (Like I'm Gonna Love You)	Jessi Colter
The Agony And The Ecstasy	Smokey Robinson
(All I Have To Do Is) Dream	The Nitty Gritty Dirt Band
Born To Run	Bruce Springsteen
Someone Saved My Life Tonight	Elton John
Eighteen With A Bullet	Pete Wingfield
Mamacita	The Grass Roots
Por Amor Viviremos	Captain & Tennille
Every Day I Have To Cry Some	Arthur Alexander
Love Will Keep Us Together	The Captain & Tennille
You	George Harrison
I Want'a Do Something Freaky To You	Leon Haywood
Something Better To Do	Olivia Newton-John
Low Rider	War
Just Too Many People	Melissa Manchester
Hollywood Hot	The Eleventh Hour
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Are You Sure Hank Done It This Way	Waylon Jennings
Mr. D.J. (5 For The D.J.)	Aretha Franklin
Don't It Make You Wanna Dance?	Rusty Wier
Give It What You Got/Peace Pipe	B.T. Express
S.O.S.	ABBA
Operator	The Manhattan Transfer
Party Music	Pat Lundi
Diamonds And Rust	Joan Baez
Salsoul Hustle	The Salsoul Orchestra
When You're Young And In Love	The Choice Four
Living For The City	Ray Charles
You Are A Song	Batdorf & Rodney
Rockin' And Rollin' On The Streets Of Hollywood	Buddy Miles
When You're Young And In Love	Ralph Carter
Nothin' Heavy	David Bellamy
What You Got	Duke & The Drivers
Foot Stompin Music	Hamilton Bohannon
Keep On Tryin'	Poco
The Millionaire	Dr. Hook
