If Wishes Came True	Sweet Sensation
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
Unskinny Bop	Poison
Release Me	Wilson Phillips
Do Me!	Bell Biv DeVoe
Come Back To Me	Janet Jackson
Have You Seen Her	M.C. Hammer
Vision Of Love	Mariah Carey
Jerk Out	The Time
Tonight	New Kids On The Block
Epic	Faith No More
(Can't Live Without Your) Love And Affection	Nelson
Thieves In The Temple	Prince
Tic-Tac-Toe	Kyper
Love And Emotion	Stevie B
The Power	Snap!
Close To You	Maxi Priest
Make You Sweat	Keith Sweat
Cradle Of Love (From "Ford Fairlane")	Billy Idol
Could This Be Love	Seduction
Something Happened On The Way To Heaven	Phil Collins
Can't Stop Falling Into Love	Cheap Trick
King Of Wishful Thinking (From "Pretty Woman")	Go West
Banned In The U.S.A.	Luke Featuring The 2 Live Crew
Oh Girl	Paul Young
My, My, My	Johnny Gill
Heart Of Stone	Taylor Dayne
The Girl I Used To Know	Brother Beyond
Rub You The Right Way	Johnny Gill
Can't Stop	After 7
Across The River	Bruce Hornsby & The Range
Policy Of Truth	Depeche Mode
Romeo	Dino
Everybody Everybody	Black Box
The Other Side	Aerosmith
Dirty Cash (Money Talks)	The Adventures Of Stevie V
Tell Me Something	Indecent Obsession
Hold On	En Vogue
Mentirosa	Mellow Man Ace
Possession	Bad English
Praying For Time	George Michael
I Didn't Want To Need You	Heart
This Is The Right Time	Lisa Stansfield
We're All In the Same Gang	The West Coast Rap All-Stars
La Raza	Kid Frost
I Don't Have The Heart	James Ingram
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Giving You The Benefit	Pebbles
Crazy	The Boys
How Bad Do You Want It?	Don Henley
All I'm Missing Is You	Glenn Medeiros Featuring Ray Parker, Jr.
Time For Letting Go	Jude Cole
Slow Love	Doc Box & B. Fresh
Can't Get Enuff	Winger
Say A Prayer	Breathe
Unchained Melody	The Righteous Brothers
Cuts Both Ways	Gloria Estefan
Girls Nite Out	Tyler Collins
Innocent	The Whispers
All I Do Is Think Of You	Troop
Fly To the Angels	Slaughter
How Much Love	Vixen
Georgia On My Mind	Michael Bolton
When I'm Back On My Feet Again	Michael Bolton
Stranger To Love	St. Paul
Enjoy The Silence	Depeche Mode
Vogue	Madonna
Feels Good	Tony Toni Tone
My Kinda Girl	Babyface
I Won't Give Up On You	TKA
Only Women Bleed	Favorite Angel
Look Into My Eyes	George LaMond
Summer Vacation	The Party
Lies	En Vogue
I Wanna Get Back With You	Louie Louie
It Must Have Been Love (From "Pretty Woman")	Roxette
Talk To Me	Anita Baker
Don't Go Away Mad (Just Go Away)	Motley Crue
Joey	Concrete Blonde
Jealous	Gene Loves Jezebel
Step By Step	New Kids On The Block
I'd Rather Go Blind	Sydney Youngblood
Hanky Panky	Madonna
I'll Be Your Shelter	Taylor Dayne
Violence Of Summer (Love's Taking Over)	Duran Duran
The Right Combination	Seiko & Donnie Wahlberg
Empty Beach	Tricia Leigh Fisher
First True Love	Tiana
That's Not Her Style	Billy Joel
Won't Talk About It	Beats International
Knockin' Boots	Candyman
Dream Boy/Dream Girl	Cynthia & Johnny O
Undeniable	Ms. Adventures
Bad Of The Heart	George LaMond
Do You Remember?	Phil Collins
Poison	Bell Biv DeVoe
Second Chance	Tyler Collins
All The Way	Calloway
Hold On	Wilson Phillips
The Ballad Of Jayne	L.A. Guns
