Le Freak	Chic
Y.M.C.A.	Village People
Da Ya Think I'm Sexy?	Rod Stewart
A Little More Love	Olivia Newton-John
Too Much Heaven	Bee Gees
My Life	Billy Joel
Every 1's A Winner	Hot Chocolate
Fire	The Pointer Sisters
September	Earth, Wind & Fire
I Will Survive	Gloria Gaynor
Lotta Love	Nicolette Larson
I Was Made For Dancin'	Leif Garrett
New York Groove	Ace Frehley
Somewhere In The Night	Barry Manilow
Got To Be Real	Cheryl Lynn
Shake It	Ian Matthews
Soul Man	Blues Brothers
Heaven Knows	Donna Summer With Brooklyn Dreams
No Tell Lover	Chicago
Hold The Line	Toto
Don't Hold Back	Chanson
Blue Morning, Blue Day	Foreigner
The Gambler	Kenny Rogers
Don't Cry Out Loud	Melissa Manchester
Ooh Baby Baby	Linda Ronstadt
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
Take Me To The River	Talking Heads
Home And Dry	Gerry Rafferty
Baby I'm Burnin'	Dolly Parton
Shake Your Groove Thing	Peaches & Herb
Shattered	The Rolling Stones
Love Don't Live Here Anymore	Rose Royce
Dancin' Shoes	Nigel Olsson
Promises	Eric Clapton And His Band
One Last Kiss	The J. Geils Band
Lady	Little River Band
Every Time I Think Of You	The Babys
What You Won't Do For Love	Bobby Caldwell
We've Got Tonight	Bob Seger & The Silver Bullet Band
You Thrill Me	Exile
What A Fool Believes	The Doobie Brothers
I Don't Wanna Lose You	Daryl Hall John Oates
You Can Do It	Dobie Gray
Dancing In The City	Marshall Hain
Sing For The Day	Styx
Stormy	Santana
Haven't Stopped Dancing Yet	Gonzalez
Crazy Love	Poco
I Just Fall In Love Again	Anne Murray
You Make Me Feel (Mighty Real)	Sylvester
You Need A Woman Tonight	Captain & Tennille
Song On The Radio	Al Stewart
(Our Love) Don't Throw It All Away	Andy Gibb
Dancin' Shoes	Faith Band
Forever In Blue Jeans	Neil Diamond
You Stepped Into My Life	Melba Moore
Sharing The Night Together	Dr. Hook
Get Down	Gene Chandler
I Go To Rio	Pablo Cruise
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
A Little Lovin' (Keeps The Doctor Away)	The Raes
Lonely Wind	Kansas
Pops, We Love You (A Tribute To Father)	Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder
Every Which Way But Loose	Eddie Rabbitt
I Don't Know If It's Right	Evelyn "Champagne" King
Goodbye, I Love You	Firefall
Maybe I'm A Fool	Eddie Money
Who Do Ya Love	KC And The Sunshine Band
Chase	Giorgio Moroder
Not Fade Away	Tanya Tucker
Baby, I Need Your Lovin'	Eric Carmen
Our Love Is Insane	Desmond Child And Rouge
Music Box Dancer	Frank Mills
Superman	Herbie Mann
Knock On Wood	Amii Stewart
Livin' It Up (Friday Night)	Bell & James
Chip Away The Stone	Aerosmith
Stumblin' In	Suzi Quatro & Chris Norman
Run Home Girl	Sad Cafe
Fancy Dancer	Frankie Valli
Take That To The Bank	Shalamar
Dog + Butterfly	Heart
Theme From Superman (Main Title)	The London Symphony Orchestra/John Williams
All The Time In The World	Dr. Hook
Bad Brakes	Cat Stevens
Four Strong Winds	Neil Young
For You And I	10cc
Bustin' Loose	Chuck Brown & The Soul Searchers
Oh Honey	Delegation
Survivor	Cindy Bullens
The Football Card	Glenn Sutton
Double Vision	Foreigner
I Love The Nightlife (Disco 'round)	Alicia Bridges
Shoot Me (With Your Love)	Tasha Thomas
Strange Way	Firefall
Lost In Your Love	John Paul Young
How You Gonna See Me Now	Alice Cooper
A Man I'll Never Be	Boston
Instant Replay	Dan Hartman
You Took The Words Right Out Of My Mouth	Meat Loaf
