Jump	Kris Kross
Bohemian Rhapsody	Queen
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
My Lovin' (You're Never Gonna Get It)	En Vogue
Live And Learn	Joe Public
Ain't 2 Proud 2 Beg	TLC
Under The Bridge	Red Hot Chili Peppers
Everything About You	Ugly Kid Joe
Make It Happen	Mariah Carey
Hazard	Richard Marx
One	U2
Thought I'd Died And Gone To Heaven	Bryan Adams
In The Closet	Michael Jackson
Let's Get Rocked	Def Leppard
Masterpiece	Atlantic Starr
Everything Changes	Kathy Troccoli
Beauty And The Beast	Celine Dion And Peabo Bryson
Will You Marry Me?	Paula Abdul
Human Touch/Better Days	Bruce Springsteen
I'm The One You Need	Jody Watley
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
I Can't Dance	Genesis
Baby Got Back	Sir Mix-A-Lot
Damn I Wish I Was Your Lover	Sophie B. Hawkins
Money Don't Matter 2 Night	Prince And The N.P.G.
Remember The Time	Michael Jackson
Nu Nu	Lidell Townsell
Take Time	Chris Walker
To Be With You	Mr. Big
We Got A Love Thang	CeCe Peniston
Come As You Are	Nirvana
Just Take My Heart	Mr. Big
Good For Me	Amy Grant
I'm Too Sexy	Right Said Fred
Tennessee	Arrested Development
Smells Like Nirvana	"Weird Al" Yankovic
If You Asked Me To	Celine Dion
Nothing Else Matters	Metallica
You Think You Know Her	Cause And Effect
I Love Your Smile	Shanice
Thinkin' Back	Color Me Badd
All 4 Love	Color Me Badd
Hold On My Heart	Genesis
Come & Talk To Me	Jodeci
High	The Cure
Lift Me Up	Howard Jones
Why Me Baby?	Keith Sweat
Not The Only One	Bonnie Raitt
Finally	CeCe Peniston
Love Me	Tracie Spencer
Please Don't Go	Boyz II Men
I Will Remember You	Amy Grant
3-2-1 Pump	Redhead Kingpin & The F.B.I.
Mama, I'm Coming Home	Ozzy Osbourne
Don't Be Afraid	Aaron Hall
The Choice Is Yours	Black Sheep
Justified And Ancient	The KLF Featuring Tammy Wynette
What Goes Around Comes Around	Giggles
Everything's Gonna Be Alright	Naughty By Nature
Do It To Me	Lionel Richie
Silent Prayer	Shanice
Just Another Day	Jon Secada
If You Want It	2nd II None
All Woman	Lisa Stansfield
Missing You Now	Michael Bolton
You Showed Me	Salt-N-Pepa
She's Got That Vibe	R. Kelly & Public Announcement
It's Over Now	L.A. Guns
It's Not A Love Thing	Geoffrey Williams
Oochie Coochie	M.C. Brains
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
This Is The Last Time	Laura Enea
Love You All My Lifetime	Chaka Khan
Can't Cry Hard Enough	The Williams Brothers
Don't Talk Just Kiss	Right Said Fred
Your Song	Rod Stewart
If You Go Away	NKOTB
Helluva	Brotherhood Creed
I Wanna Rock	Luke
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
Boom! I Got Your Boyfriend	MC Luscious
Achy Breaky Heart	Billy Ray Cyrus
Too Much Passion	The Smithereens
T.L.C.	Linear
Until Your Love Comes Back Around	RTZ
Goodbye	Tevin Campbell
They Want EFX	Das EFX
Anything At All	Mitch Malloy
Maria	TKA
What You Give	Tesla
Take My Advice	Kym Sims
James Brown Is Dead	L.A. Style
Innocent Child	Colourhaus
Church Of Your Heart	Roxette
You Won't See Me Cry	Wilson Phillips
Sometimes I Rhyme Slow	Nice & Smooth
White Men Can't Jump	Riff
Never Satisfied	Good 2 Go
Slow Motion	Color Me Badd
