Green Tambourine	The Lemon Pipers
Judy In Disguise (With Glasses)	John Fred And The Playboys
Chain Of Fools	Aretha Franklin
Spooky	Classics IV
Bend Me, Shape Me	The American Breed
Woman, Woman	The Union Gap Featuring Gary Puckett
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Nobody But Me	The Human Beinz
Goin' Out Of My Head/Can't Take My Eyes Off You	The Lettermen
I Wish It Would Rain	The Temptations
Susan	The Buckinghams
Hello Goodbye	The Beatles
Baby, Now That I've Found You	The Foundations
Different Drum	Stone Poneys Featuring Linda Ronstadt
I Heard It Through The Grapevine	Gladys Knight And The Pips
Itchycoo Park	Small Faces
I Second That Emotion	Smokey Robinson & The Miracles
Am I That Easy To Forget	Engelbert Humperdinck
Darlin'	The Beach Boys
I Wonder What She's Doing Tonite	Tommy Boyce & Bobby Hart
My Baby Must Be A Magician	The Marvelettes
Bottle Of Wine	The Fireballs
Tell Mama	Etta James
Daydream Believer	The Monkees
Love Power	The Sandpebbles
Skip A Rope	Henson Cargill
Just As Much As Ever	Bobby Vinton
Tomorrow	Strawberry Alarm Clock
If I Could Build My Whole World Around You	Marvin Gaye & Tammi Terrell
To Give (The Reason I Live)	Frankie Valli
Sunday Mornin'	Spanky And Our Gang
Some Velvet Morning	Nancy Sinatra & Lee Hazlewood
(Theme From) Valley Of The Dolls	Dionne Warwick
We Can Fly	The Cowsills
You	Marvin Gaye
We're A Winner	The Impressions
She's A Rainbow	The Rolling Stones
I Can Take Or Leave Your Loving	Herman's Hermits
Monterey	Eric Burdon & The Animals
Explosion (In Your Soul)	Soul Survivors
Back Up Train	Al Greene & The Soul Mate's
Skinny Legs And All	Joe Tex
Two Little Kids	Peaches & Herb
The Lesson	Vikki Carr
Boogaloo Down Broadway	The Fantastic Johnny C
Words	Bee Gees
(Sittin' On) The Dock Of The Bay	Otis Redding
Money	The Lovin' Spoonful
No Sad Songs	Joe Simon
Strawberry Shortcake	Jay And The Techniques
New Orleans	Neil Diamond
Zabadak	Dave Dee, Dozy, Beaky, Mick And Tich
Carmen	Herb Alpert & The Tijuana Brass
Best Of Both Worlds	Lulu
Born Free	The Hesitations
There Is	The Dells
I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
Simon Says	1910 Fruitgum Co.
Oh, How It Hurts	Barbara Mason
I Thank You	Sam & Dave
There Was A Time	James Brown And The Famous Flames
Everything That Touches You	The Association
Mission-Impossible	Lalo Schifrin
Sunshine Of Your Love	Cream
Honey Chile	Martha Reeves & The Vandellas
Get Out Now	Tommy James And The Shondells
Guitar Man	Elvis Presley
Hey Little One	Glen Campbell
Who Will Answer?	Ed Ames
I'm In Love	Wilson Pickett
Walk Away Renee	Four Tops
Everybody Knows	The Dave Clark Five
Do Unto Me	James & Bobby Purify
A Working Man's Prayer	Arthur Prysock
Come See About Me	Jr. Walker & The All Stars
Windy	Wes Montgomery
Pick Up The Pieces	Carla Thomas
United (Part 1)	The Music Makers
Lost	Jerry Butler
A Man Needs A Woman	James Carr
A Million To One	Five Stairsteps & Cubie
Stop	Howard Tate
Looking For A Fox	Clarence Carter
Cab Driver	The Mills Brothers
Malayisha	Miriam Makeba
(1-2-3-4-5-6-7) Count The Days	Inez & Charlie Foxx
Cold Feet	Albert King
Burning Spear	The Soulful Strings
Funky Way	Calvin Arnold
Try It	Ohio Express
Rosanna's Going Wild	Johnny Cash
La - La - Means I Love You	The Delfonics
Give My Love A Try	Linda Jones
To Each His Own	Frankie Laine
People World	Jim & Jean
7:30 Guided Tour	The Five Americans
Carpet Man	The 5th Dimension
It's Not Easy	The Will-O-Bees
No One Knows	Every Mothers' Son
(You've Got) Personality And Chantilly Lace	Mitch Ryder
