Disco Lady	Johnnie Taylor
Dream Weaver	Gary Wright
Lonely Night (angel Face)	Captain & Tennille
Let Your Love Flow	Bellamy Brothers
Right Back Where We Started From	Maxine Nightingale
Dream On	Aerosmith
Boogie Fever	The Sylvers
Only Sixteen	Dr. Hook
Sweet Love	Commodores
Golden Years	David Bowie
Show Me The Way	Peter Frampton
Bohemian Rhapsody	Queen
Sweet Thing	Rufus Featuring Chaka Khan
December, 1963 (Oh, What a Night)	The 4 Seasons
There's A Kind Of Hush (All Over The World)	Carpenters
Money Honey	Bay City Rollers
Deep Purple	Donny & Marie Osmond
Fooled Around And Fell In Love	Elvin Bishop
All By Myself	Eric Carmen
Welcome Back	John Sebastian
Action	Sweet
Love Machine (Part 1)	The Miracles
I Do, I Do, I Do, I Do, I Do	ABBA
Take It To The Limit	Eagles
Tangerine	The Salsoul Orchestra
Shannon	Henry Gross
Livin' For The Weekend	The O'Jays
Only Love Is Real	Carole King
Looking For Space	John Denver
Love Fire	Jigsaw
Lorelei	Styx
You'll Lose A Good Thing	Freddy Fender
Fopp	Ohio Players
Sara Smile	Daryl Hall John Oates
Strange Magic	Electric Light Orchestra
We Can't Hide It Anymore	Larry Santos
Tryin' To Get The Feeling Again	Barry Manilow
Misty Blue	Dorothy Moore
Rhiannon (Will You Ever Win)	Fleetwood Mac
Hit The Road Jack	Stampeders
Union Man	Cate Bros.
Without Your Love (mr. Jordan)	Charlie Ross
Happy Music	The Blackbyrds
Get Up And Boogie (That's Right)	Silver Convention
Come On Over	Olivia Newton-John
Young Blood	Bad Company
Junk Food Junkie	Larry Groce
Good Hearted Woman	Waylon & Willie
Love Hurts	Nazareth
Shout It Out Loud	KISS
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
Love Hangover	Diana Ross
Can't Hide Love	Earth, Wind & Fire
Mozambique	Bob Dylan
More, More, More Pt. 1	Andrea True Connection
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
Fanny (Be Tender With My Love)	Bee Gees
Silly Love Songs	Wings
Heavy Love	David Ruffin
He's A Friend	Eddie Kendricks
When Love Has Gone Away	Richard Cocciante
Ophelia	The Band
Theme From S.W.A.T.	Rhythm Heritage
Hurt/for The Heart	Elvis Presley
Here, There And Everywhere	Emmylou Harris
Queen Of Clubs	KC And The Sunshine Band
Anytime (i'll Be There)	Paul Anka
Fallen Angel	Frankie Valli
Sally	Grand Funk Railroad
Movin'	Brass Construction
Love Really Hurts Without You	Billy Ocean
Eh! Cumpari	Gaylord & Holiday
Falling Apart At The Seams	Marmalade
I Thought It Took A Little Time (But Today I Fell In Love)	Diana Ross
There Won't Be No Country Music (There Won't Be No Rock 'N' Roll)	C.W. McCall
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
50 Ways To Leave Your Lover	Paul Simon
Everyday Without You	Hamilton, Joe Frank & Reynolds
Happy Days	Pratt & McClain with Brother Love
Jasper	Jim Stafford
You Are Beautiful	The Stylistics
Street Talk	B.C.G. (B.C. Generation)
Hey Baby	Ted Nugent
Love In The Shadows	Neil Sedaka
I'm Mandy Fly Me	10cc
It's Over	Boz Scaggs
Jealousy	Major Harris
Forever Lovers	Mac Davis
Love And Understanding (Come Together)	Kool & The Gang
Let's Make A Baby	Billy Paul
Love Hangover	The 5th Dimension
Words (are Impossible)	Donny Gerrard
Turn The Beat Around	Vicki Sue Robinson
I Hope We Get To Love In Time	Marilyn McCoo & Billy Davis Jr.
Mighty High	Mighty Clouds Of Joy
That's Where The Happy People Go	The Trammps
Arms Of Mary	Sutherland Brothers And Quiver
Spirit In The Night	Manfred Mann's Earth Band
The Fonz Song	The Heyettes
I Wanna Stay With You	Gallagher And Lyle
