Let's Get It On	Marvin Gaye
Brother Louie	Stories
Delta Dawn	Helen Reddy
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
Touch Me In The Morning	Diana Ross
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Live And Let Die	Wings
We're An American Band	Grand Funk
Gypsy Man	War
Here I Am Come & Take Me	Al Green
The Morning After	Maureen McGovern
If You Want Me To Stay	Sly & The Family Stone
Get Down	Gilbert O'Sullivan
Feelin' Stronger Every Day	Chicago
Are You Man Enough	Four Tops
Saturday Night's Alright For Fighting	Elton John
That Lady (Part 1)	The Isley Brothers
Higher Ground	Stevie Wonder
I Believe In You (You Believe In Me)	Johnnie Taylor
My Maria	B.W. Stevenson
Bad, Bad Leroy Brown	Jim Croce
Half-Breed	Cher
Angel	Aretha Franklin
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Why Me	Kris Kristofferson
A Million To One/Young Love	Donny Osmond
Uneasy Rider	Charlie Daniels
Nobody Wants You When You're Down And Out	Bobby Womack
Ghetto Child	The Spinners
Stoned Out Of My Mind	The Chi-lites
There It Is	Tyrone Davis
How Can I Tell Her	Lobo
Yes We Can Can	The Pointer Sisters
Ramblin Man	The Allman Brothers Band
I've Got So Much To Give	Barry White
Free Ride	Edgar Winter Group
You Light Up My Life/Believe In Humanity	Carole King
Hey Girl (i Like Your Style)	The Temptations
I Was Checkin' Out She Was Checkin' In	Don Covay
Keep On Truckin' (Part 1)	Eddie Kendricks
China Grove	The Doobie Brothers
You've Never Been This Far Before	Conway Twitty
Baby I've Been Missing You	The Independents
Diamond Girl	Seals & Crofts
To Know You Is To Love You	B.B. King
The Hurt	Cat Stevens
Sweet Charlie Babe	Jackie Moore
Ecstasy	Ohio Players
Smoke On The Water	Deep Purple
Sweet Harmony	Smokey Robinson
Future Shock	Curtis Mayfield
Sexy, Sexy, Sexy	James Brown
Evil	Earth, Wind & Fire
Midnight Train To Georgia	Gladys Knight And The Pips
Rocky Mountain Way	Joe Walsh
Jimmy Loves Mary-Anne	Looking Glass
Billion Dollar Babies	Alice Cooper
Don't Let It End ('til You Let It Begin)	The Miracles
In The Midnight Hour	Cross Country
Show Biz Kids	Steely Dan
Get It Together	Jackson 5
Freedom For The Stallion	The Hues Corporation
Just Don't Want To Be Lonely	Ronnie Dyson
Slick	Willie Hutch
Knockin' On Heaven's Door	Bob Dylan
Ashes To Ashes	The 5th Dimension
Twisting The Night Away	Rod Stewart
The Last Thing On My Mind	Neil Diamond
Muskrat Love	America
Loving Arms	Dobie Gray
All I Need Is Time	Gladys Knight And The Pips
Rhapsody In Blue	Deodato
Summer (The First Time)	Bobby Goldsboro
Angie	The Rolling Stones
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
Parrty - Part I	Maceo And The Macks
Hurts So Good	Millie Jackson
Everybody's Had The Blues	Merle Haggard And The Strangers
The Peacemaker	Albert Hammond
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Send A Little Love My Way	Anne Murray
Tonight	Raspberries
Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
You're The Best Thing That Ever Happened To Me	Ray Price
Let Me In	The Osmonds
As Time Goes By	Nilsson
Hang Loose	Mandrill
Nutbush City Limits	Ike & Tina Turner
That's Why You Remember	Kenny Karen
Blood Red And Goin' Down	Tanya Tucker
He	Today's People
Make Me Twice The Man	New York City
They're Coming To Take Me Away, Ha-Haaa!	Napoleon XIV
Kid Stuff	Barbara Fairchild
I Can't Stand The Rain	Ann Peebles
Until It's Time For You To Go	The New Birth
Make Up Your Mind	The J. Geils Band
Soul Je T'aime	Sylvia And Ralfi Pagan
Funky Stuff	Kool & The Gang
