Happy	Pharrell Williams
Dark Horse	Katy Perry Featuring Juicy J
All Of Me	John Legend
Talk Dirty	Jason Derulo Featuring 2 Chainz
Pompeii	Bastille
Team	Lorde
Drunk In Love	Beyonce Featuring Jay Z
Counting Stars	OneRepublic
Let It Go	Idina Menzel
Timber	Pitbull Featuring Ke$ha
Say Something	A Great Big World & Christina Aguilera
The Man	Aloe Blacc
Let Her Go	Passenger
Story Of My Life	One Direction
Show Me	Kid Ink Featuring Chris Brown
Best Day Of My Life	American Authors
The Monster	Eminem Featuring Rihanna
Royals	Lorde
Burn	Ellie Goulding
Hey Brother	Avicii
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Demons	Imagine Dragons
Wake Me Up!	Avicii
Magic	Coldplay
Roar	Katy Perry
Animals	Martin Garrix
Turn Down For What	DJ Snake & Lil Jon
#SELFIE	The Chainsmokers
Can't Remember To Forget You	Shakira Featuring Rihanna
Bottoms Up	Brantley Gilbert
Radioactive	Imagine Dragons
Paranoid	Ty Dolla $ign Featuring B.o.B
Partition	Beyonce
Young Girls	Bruno Mars
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Wrecking Ball	Miley Cyrus
Hold On, We're Going Home	Drake Featuring Majid Jordan
Doin' What She Likes	Blake Shelton
Brave	Sara Bareilles
When She Says Baby	Jason Aldean
Neon Lights	Demi Lovato
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
I Hold On	Dierks Bentley
Sail	AWOLNATION
Na Na	Trey Songz
Adore You	Miley Cyrus
Love Me Again	John Newman
Cop Car	Keith Urban
Compass	Lady Antebellum
Give Me Back My Hometown	Eric Church
Human	Christina Perri
Drink To That All Night	Jerrod Niemann
See You Tonight	Scotty McCreery
Drink A Beer	Luke Bryan
Helluva Life	Frankie Ballard
Stoner	Young Thug
Raging Fire	Phillip Phillips
Take Me Home	Cash Cash Featuring Bebe Rexha
Get Me Some Of That	Thomas Rhett
Let It Go	Demi Lovato
Rewind	Rascal Flatts
19 You + Me	Dan + Shay
The Worst	Jhene Aiko
Goodnight Kiss	Randy Houser
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Not A Bad Thing	Justin Timberlake
Man Of The Year	ScHoolboy Q
Everything I Shouldn't Be Thinking About	Thompson Square
Do I Wanna Know?	Arctic Monkeys
La La La	Naughty Boy Featuring Sam Smith
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Trophies	Young Money Featuring Drake
For The First Time In Forever	Kristen Bell & Idina Menzel
Ain't It Fun	Paramore
Ride	SoMo
Beat Of The Music	Brett Eldredge
Sanctified	Rick Ross Featuring Kanye West & Big Sean
On Top Of The World	Imagine Dragons
Part II (On The Run)	Jay Z Featuring Beyonce
Wild Wild Love	Pitbull Featuring G.R.L.
The Language	Drake
Classic	MKTO
Ordinary Love	U2
Odio	Romeo Santos Featuring Drake
The Devil Is A Lie	Rick Ross Featuring JAY Z
Oceans (Where Feet May Fail)	Hillsong UNITED
Fancy	Iggy Azalea Featuring Charli XCX
Automatic	Miranda Lambert
Glory And Gore	Lorde
Sleeping With A Friend	Neon Trees
Lettin' The Night Roll	Justin Moore
Mmm Yeah	Austin Mahone Featuring Pitbull
Adrenalina	Wisin Featuring Jennifer Lopez & Ricky Martin
Can't Raise A Man	K. Michelle
The Walker	Fitz And The Tantrums
They Don't Know	Rico Love
Unconditionally	Katy Perry
Waiting For Superman	Daughtry
Chocolate	The 1975
