Runaway	Del Shannon
Mother-In-Law	Ernie K-Doe
A Hundred Pounds Of Clay	Gene McDaniels
I've Told Every Little Star	Linda Scott
Blue Moon	The Marcels
You Can Depend On Me	Brenda Lee
Take Good Care Of Her	Adam Wade
One Mint Julep	Ray Charles
Portrait Of My Love	Steve Lawrence
On The Rebound	Floyd Cramer
But I Do	Clarence Henry
Daddy's Home	Shep And The Limelites
Breakin' In A Brand New Broken Heart	Connie Francis
Mama Said	The Shirelles
Tonight I Fell In Love	The Tokens
Flaming Star	Elvis Presley With The Jordanaires
Tonight My Love, Tonight	Paul Anka
Travelin' Man	Ricky Nelson
Running Scared	Roy Orbison
Baby Blue	The Echoes
Bumble Boogie	B. Bumble & The Stingers
Just For Old Time's Sake	The McGuire Sisters
Bonanza	Al Caiola And His Orchestra
(Dance The) Mess Around	Chubby Checker
Funny	Maxine Brown
Girl Of My Best Friend	Ral Donner
Hello Mary Lou	Ricky Nelson
Asia Minor	Kokomo
Hello Walls	Faron Young
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Tragedy	The Fleetwoods
Apache	Jorgen Ingmann & His Guitar
Please Love Me Forever	Cathy Jean and The Roommates
Little Devil	Neil Sedaka
The Continental Walk	Hank Ballard And The Midnighters
Some Kind Of Wonderful	The Drifters
Saved	LaVern Baker
That Old Black Magic	Bobby Rydell
Frogg	The Brothers Four
Dedicated To The One I Love	The Shirelles
African Waltz	Cannonball Adderley Orchestra
Surrender	Elvis Presley With The Jordanaires
Lullaby Of Love	Frank Gari
Underwater	The Frogmen
Good, Good Lovin'	Chubby Checker
Exodus	Eddie Harris
I'm In The Mood For Love	The Chimes
Triangle	Janie Grant
Foolin' Around	Kay Starr
The Touchables In Brooklyn	Dickie Goodman
Peanut Butter	The Marathons
(It Never Happens) In Real Life	Chuck Jackson
Trust In Me	Etta James
Pony Time	Chubby Checker
Glory Of Love	The Roommates
What A Surprise	Johnny Maestro The Voice Of The Crests
I'm A Fool To Care	Joe Barry
Be My Boy	Paris Sisters
Don't Worry	Marty Robbins
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
The Bilbao Song	Andy Williams
Raindrops	Dee Clark
Find Another Girl	Jerry Butler
Tenderly	Bert Kaempfert And His Orchestra
Sleepy-Eyed John	Johnny Horton
Tossin' And Turnin'	Bobby Lewis
Buzz Buzz A-Diddle-It	Freddy Cannon
That's The Way With Love	Piero Soffici
A Dollar Down	The Limeliters
Hide Away	Freddy King
Shy Away	Jerry Fuller
Lullaby Of The Leaves	The Ventures
Three Hearts In A Tangle	Roy Drusky
Moody River	Pat Boone
Stand By Me	Ben E. King
Little Egypt (Ying-Yang)	The Coasters
The Wayward Wind	Gogi Grant
Halfway To Paradise	Tony Orlando
Never On Sunday	Don Costa And His Orchestra And Chorus
You're Gonna Need Magic	Roy Hamilton
A Love Of My Own	Carla Thomas
Better Tell Him No	The Starlets
In My Heart	The Timetones
Big Big World	Johnny Burnette
Count Every Star	Donnie and The Dreamers
You'd Better Come Home	Russell Byrd
Brass Buttons	The String-A-Longs
(A Ship Will Come) Ein Schiff Wird Kommen	Lale Anderson
In Between Tears	Lenny Miles
This World We Love In (Il Cielo In Una Stanza)	Mina
Life's A Holiday	Jerry Wallace
Kissin Game	Dion
Nobody Cares (about me)	Jeanette (Baby) Washington
Jura (I Swear I Love You)	Les Paul And Mary Ford
Rama Lama Ding Dong	The Edsels
A Cross Stands Alone	Jimmy Witter
Son-In-Law	The Blossoms
What Will I Tell My Heart	The Harptones
Our Love Is Here To Stay	Dinah Washington
Son-In-Law	Louise Brown
