Grease	Frankie Valli
Three Times A Lady	Commodores
Miss You	The Rolling Stones
Boogie Oogie Oogie	A Taste Of Honey
Hot Blooded	Foreigner
Love Will Find A Way	Pablo Cruise
Hopelessly Devoted To You	Olivia Newton-John
Magnet And Steel	Walter Egan
An Everlasting Love	Andy Gibb
Last Dance	Donna Summer
Kiss You All Over	Exile
Shame	Evelyn "Champagne" King
Got To Get You Into My Life	Earth, Wind & Fire
Copacabana (at The Copa)	Barry Manilow
Fool If You Think It's Over	Chris Rea
Hot Child In The City	Nick Gilder
My Angel Baby	Toby Beau
Life's Been Good	Joe Walsh
Love Is In The Air	John Paul Young
You And I	Rick James
Summer Nights	John Travolta & Olivia Newton-John & Cast
Stuff Like That	Quincy Jones
Reminiscing	Little River Band
Two Tickets To Paradise	Eddie Money
You	Rita Coolidge
Macho Man	Village People
Hollywood Nights	Bob Seger & The Silver Bullet Band
You Needed Me	Anne Murray
Close The Door	Teddy Pendergrass
Rivers Of Babylon	Boney M.
Whenever I Call You "Friend"	Kenny Loggins
Just What I Needed	The Cars
Oh! Darling	Robin Gibb
A Rock 'N' Roll Fantasy	The Kinks
Get Off	Foxy
Don't Look Back	Boston
Think It Over	Cheryl Ladd
Right Down The Line	Gerry Rafferty
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Shadow Dancing	Andy Gibb
Come Together	Aerosmith
Steppin' In A Slide Zone	The Moody Blues
Talking In Your Sleep	Crystal Gayle
Ain't Nothing Gonna Keep Me From You	Teri DeSario
I Love The Nightlife (Disco 'round)	Alicia Bridges
You Never Done It Like That	Captain & Tennille
You're A Part Of Me	Gene Cotton With Kim Carnes
You're All I Need To Get By	Johnny Mathis & Deniece Williams
If You Wanna Do A Dance	The Spinners
Paradise By The Dashboard Light	Meat Loaf
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
She's Always A Woman	Billy Joel
I Will Still Love You	Stonebolt
Back In The U.s.a.	Linda Ronstadt
Flyin'	Prism
Time For Me To Fly	REO Speedwagon
King Tut	Steve Martin And The Toot Uncommons
Stay/The Load-Out	Jackson Browne
She Loves To Be In Love	Charlie
You're The One That I Want	John Travolta & Olivia Newton-John
5.7.0.5.	City Boy
All I See Is Your Face	Dan Hill
Blame It On The Boogie	Mick Jackson
Surrender	Cheap Trick
Raise A Little Hell	Trooper
Almost Like Being In Love	Michael Johnson
Arms Of Mary	Chilliwack
Livingston Saturday Night	Jimmy Buffett
You	The McCrarys
Who Are You	The Who
Devoted To You	Carly Simon & James Taylor
New Orleans Ladies	Louisiana's LeRoux
Dance (Disco Heat)	Sylvester
Badlands	Bruce Springsteen
Took The Last Train	David Gates
California Nights	Sweet
Josie	Steely Dan
Holding On (When Love Is Gone)	L.T.D.
Lights	Journey
Long Hot Summer Nights	Wendy Waldman
On The Strip	Paul Nicholas
Heartbreaker	Dolly Parton
Baker Street	Gerry Rafferty
It's A Laugh	Daryl Hall John Oates
Sweet Life	Paul Davis
It's Really You	The Tarney/Spencer Band
Shake And Dance With Me	ConFunkShun
Use Ta Be My Girl	The O'Jays
Still The Same	Bob Seger & The Silver Bullet Band
I've Had Enough	Wings
Dance With Me	Peter Brown With Betty Wright
Back In My Arms Again	Genya Ravan
Can We Still Be Friends	Todd Rundgren
If My Friends Could See Me Now	Linda Clifford
The Groove Line	Heatwave
Runaway	Jefferson Starship
Mr. Blue Sky	Electric Light Orchestra
Runaway Love	Linda Clifford
He's So Fine	Kristy And Jimmy McNichol
Wonderful Tonight	Eric Clapton
