We Found Love	Rihanna Featuring Calvin Harris
Sexy And I Know It	LMFAO
It Will Rain	Bruno Mars
The One That Got Away	Katy Perry
Good Feeling	Flo Rida
Ni**as in Paris	Jay Z Kanye West
Someone Like You	Adele
Moves Like Jagger	Maroon 5 Featuring Christina Aguilera
Without You	David Guetta Featuring Usher
5 O'Clock	T-Pain Featuring Wiz Khalifa & Lily Allen
Stereo Hearts	Gym Class Heroes Featuring Adam Levine
We Are Young	Glee Cast
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Dance (A$$)	Big Sean Featuring Nicki Minaj
Work Out	J. Cole
Headlines	Drake
Red Solo Cup	Toby Keith
Pumped Up Kicks	Foster The People
You Make Me Feel...	Cobra Starship Featuring Sabi
Mr. Know It All	Kelly Clarkson
Set Fire To The Rain	Adele
Young, Wild & Free	Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
You Da One	Rihanna
Not Over You	Gavin DeGraw
I Don't Want This Night To End	Luke Bryan
Give Me Everything	Pitbull Featuring Ne-Yo, Afrojack & Nayer
Make Me Proud	Drake Featuring Nicki Minaj
Just A Kiss	Lady Antebellum
Marry The Night	Lady Gaga
The Motto	Drake Featuring Lil Wayne
Love You Like A Love Song	Selena Gomez & The Scene
In The Dark	Dev
Super Bass	Nicki Minaj
Mistletoe	Justin Bieber
Keep Me In Mind	Zac Brown Band
She Will	Lil Wayne Featuring Drake
Fly	Nicki Minaj Featuring Rihanna
Domino	Jessie J
Tattoos On This Town	Jason Aldean
Rolling In The Deep	Adele
God Gave Me You	Blake Shelton
Paradise	Coldplay
Easy	Rascal Flatts Featuring Natasha Bedingfield
Lotus Flower Bomb	Wale Featuring Miguel
We Owned The Night	Lady Antebellum
International Love	Pitbull Featuring Chris Brown
All Your Life	The Band Perry
Bang Bang Pow Pow	T-Pain Featuring Lil Wayne
I Like It Like That	Hot Chelle Rae Featuring New Boyz
Drink In My Hand	Eric Church
Survivor / I Will Survive	Glee Cast
It Girl	Jason Derulo
We Are Young	fun. Featuring Janelle Monae
Let It Rain	David Nail Featuring Sarah Buxton
Party	Beyonce Featuring Andre 3000
You	Chris Young
Rack City	Tyga
Blackout	Breathe Carolina
You And I	Lady Gaga
Strange Clouds	B.o.B Featuring Lil Wayne
Take Care	Drake Featuring Rihanna
A Thousand Years	Christina Perri
Brighter Than The Sun	Colbie Caillat
Lonely Boy	The Black Keys
Ours	Taylor Swift
Baggage Claim	Miranda Lambert
Heartbeat	The Fray
Tonight Is The Night	Outasight
Tongue Tied	Grouplove
When We Stand Together	Nickelback
Can't Get Enough	J. Cole Featuring Trey Songz
You The Boss	Rick Ross Featuring Nicki Minaj
That Way	Wale Featuring Jeremih & Rick Ross
I'm Gonna Love You Through It	Martina McBride
The Trouble With Girls	Scotty McCreery
Man In The Mirror	Glee Cast
Home	Dierks Bentley
I Got You	Thompson Square
Reality	Kenny Chesney
Levels	Avicii
Shake It Out	Florence + The Machine
Nothing	The Script
Roman In Moscow	Nicki Minaj
Wish You Were Here	Avril Lavigne
Sparks Fly	Taylor Swift
Storm Warning	Hunter Hayes
Bait A Hook	Justin Moore
ABC	Glee Cast
Promise	Romeo Santos Featuring Usher
Alone With You	Jake Owen
You Gonna Fly	Keith Urban
Red Solo Cup	Glee Cast
I'll Be Home For Christmas	Kelly Clarkson
Crawling Back To You	Daughtry
Camouflage	Brad Paisley
Body 2 Body	Ace Hood Featuring Chris Brown
Round Of Applause	Waka Flocka Flame Featuring Drake
Love On Top	Beyonce
Amen	Edens Edge
Sail	AWOLNATION
