Stagger Lee	Lloyd Price
Donna	Ritchie Valens
16 Candles	The Crests
The All American Boy	Bill Parsons
Charlie Brown	The Coasters
I Cried A Tear	LaVern Baker
Tall Paul	Annette With The Afterbeats
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
Lonely Teardrops	Jackie Wilson
Peter Gunn	Ray Anthony and His Orchestra
My Happiness	Connie Francis
Smoke Gets In Your Eyes	The Platters
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
Manhattan Spiritual	Reg Owen & His Orchestra
Gotta Travel On	Billy Grammer
Goodbye Baby	Jack Scott
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
I've Had It	The Bell Notes
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
(All of a Sudden) My Heart Sings	Paul Anka
With The Wind And The Rain In Your Hair	Pat Boone
She Say (Oom Dooby Doom)	The Diamonds
May You Always	The McGuire Sisters
It's Just A Matter Of Time	Brook Benton
A Lover's Question	Clyde McPhatter
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
I Got A Wife	The Mark IV
Venus	Frankie Avalon
The Story Of My Love	Conway Twitty
Alvin's Harmonica	David Seville And The Chipmunks
The Little Space Girl	Jesse Lee Turner
Tragedy	Thomas Wayne With the Delons
(I'll Be With You In) Apple Blossom Time	Tab Hunter
Don't Take Your Guns To Town	Johnny Cash
Lucky Ladybug	Billy & Lillie
The Diary	Neil Sedaka
Pretty Girls Everywhere	Eugene Church and The Fellows
Plain Jane	Bobby Darin
Nola	Billy Williams
There Must Be A Way	Joni James
I'm A Man	Fabian
It's Only The Beginning	The Kalin Twins
Who Cares	Don Gibson
La Bamba	Ritchie Valens
Nobody But You	Dee Clark
First Anniversary	Cathy Carr
Raw-Hide	Link Wray And The Wraymen
Don't Pity Me	Dion & The Belmonts
Red River Rose	The Ames Brothers
Try Me	James Brown And The Famous Flames
Blue Hawaii	Billy Vaughn And His Orchestra
Wiggle, Wiggle	The Accents
Please Mr. Sun	Tommy Edwards
Lovers Never Say Goodbye	The Flamingos
Nola	The Morgan Brothers
The Shag (Is Totally Cool)	Billy Graves
Whole Lotta Loving	Fats Domino
Sea Cruise	Frankie Ford
Blah, Blah, Blah	Nicola Paone
Anthony Boy	Chuck Berry
Teardrops Will Fall	Dicky Doo And The Don'ts
Matilda	Cookie And His Cupcakes
Evening Rain	Earl Grant
Ambrose (Part Five)	Linda Laurie
Never Be Anyone Else But You	Ricky Nelson
Are You Lonesome Tonight	Jaye P. Morgan
Tomboy	Perry Como
When The Saints Go Marching In	Fats Domino
Trust In Me	Patti Page
Alright, Okay, You Win	Peggy Lee
The Chipmunk Song	The Chipmunks With David Seville
The Girl On Page 44	The Four Lads
The Worryin' Kind	Tommy Sands And The Raiders
Let's Love	Johnny Mathis
Gazachstahagen	The Wild-Cats
Pink Shoe Laces	Dodie Stevens
Telling Lies	Fats Domino
Hurtin' Inside	Brook Benton
One Night	Elvis Presley
Love You Most Of All	Sam Cooke
Jupiter-C	Pat and the Satellites
It Doesn't Matter Anymore	Buddy Holly
The Hanging Tree	Marty Robbins
To Know Him, Is To Love Him	The Teddy Bears
Since I Don't Have You	The Skyliners
Bimbombey	Jimmie Rodgers
Miss You	Jaye P. Morgan
Raspberries, Strawberries	The Kingston Trio
Good Rockin' Tonight	Pat Boone
Moonlight Serenade	The Rivieras
Midnight Oil	Charlie Blackwell
Rocka-Conga	The Applejacks
I'm Never Gonna Tell	Jimmie Rodgers
Bunny Hop	The Applejacks
I've Got You Under My Skin	Louis Prima And Keely Smith
Give Me Your Love	Nat King Cole
Wicked Ruby	Danny Zella and his Zell Rocks
Shirley	John Fred And The Playboys
My Man	Peggy Lee
Glad Rags	Tennessee Ernie Ford
