Down Under	Men At Work
Baby, Come To Me	Patti Austin A Duet With James Ingram
Sexual Healing	Marvin Gaye
Shame On The Moon	Bob Seger & The Silver Bullet Band
Africa	Toto
Maneater	Daryl Hall John Oates
You And I	Eddie Rabbitt With Crystal Gayle
Rock The Casbah	The Clash
Stray Cat Strut	Stray Cats
You Can't Hurry Love	Phil Collins
The Other Guy	Little River Band
Goody Two Shoes	Adam Ant
Pass The Dutchie	Musical Youth
Your Love Is Driving Me Crazy	Sammy Hagar
Heart To Heart	Kenny Loggins
All Right	Christopher Cross
Allentown	Billy Joel
Do You Really Want To Hurt Me	Culture Club
Hungry Like The Wolf	Duran Duran
You Got Lucky	Tom Petty And The Heartbreakers
You Are	Lionel Richie
Back On The Chain Gang	Pretenders
Billie Jean	Michael Jackson
We've Got Tonight	Kenny Rogers And Sheena Easton
Heart Of The Night	Juice Newton
Twilight Zone	Golden Earring
Separate Ways (Worlds Apart)	Journey
One On One	Daryl Hall John Oates
What About Me	Moving Pictures
Space Age Love Song	A Flock Of Seagulls
On The Loose	Saga
Dirty Laundry	Don Henley
Breaking Us In Two	Joe Jackson
The Girl Is Mine	Michael Jackson And Paul McCartney
Fall In Love With Me	Earth, Wind & Fire
I Know There's Something Going On	Frida
I Knew You When	Linda Ronstadt
The Clapping Song	Pia Zadora
The Woman In Me	Donna Summer
Mr. Roboto	Styx
Tied Up	Olivia Newton-John
I'm Alive	Neil Diamond
Dreamin' Is Easy	Steel Breeze
My Kind Of Lady	Supertramp Featuring Rick Davies
I've Got A Rock N' Roll Heart	Eric Clapton
Don't Tell Me You Love Me	Night Ranger
Come On Eileen	Dexys Midnight Runners
Mickey	Toni Basil
Poison Arrow	ABC
Burning Heart	Vandenberg
The Blues	Randy Newman & Paul Simon
Winds Of Change	Jefferson Starship
Shoot For The Moon	Poco
I Can't Stand Still	Don Henley
Lies	Thompson Twins
Jeopardy	Greg Kihn Band
Betcha She Don't Love You	Evelyn King
I Like It	Debarge
It's Raining Men	The Weather Girls
So Close	Diana Ross
Nice Girls	Melissa Manchester
Little Too Late	Pat Benatar
Windows	Missing Persons
Love Me Again	The John Hall Band
Shock The Monkey	Peter Gabriel
It Might Be You	Stephen Bishop
Hand To Hold On To	John Cougar
Make Love Stay	Dan Fogelberg
Too Much Love To Hide	Crosby, Stills & Nash
Always	Firefall
Little Thing Called Love	Neil Young
New Frontier	Donald Fagen
Bad Boy	Ray Parker Jr.
The One That Really Matters	Survivor
Der Kommissar	After The Fire
Something To Grab For	Ric Ocasek
Heartbreaker	Dionne Warwick
Voo Doo	Rachel Sweet
Bread And Butter	Robert John
She's A Runner	Billy Squier
Come Give Your Love To Me	Janet Jackson
After I Cry Tonight	Lanier & Co.
Love In Store	Fleetwood Mac
Gloria	Laura Branigan
Put It In A Magazine	Sonny Charles
I Don't Care Anymore	Phil Collins
The Fanatic	Felony
All Those Lies	Glenn Frey
What If (I Said I Love You)	Unipop
What You're Missing	Chicago
Feet Don't Fail Me Now	Utopia
The Look Of Love (Part One)	ABC
I Do	The J. Geils Band
Steppin' Out	Joe Jackson
Two Less Lonely People In The World	Air Supply
Memory	Barry Manilow
Forever	Little Steven
Got To Be There	Chaka Khan
Right Before Your Eyes	America
Still Taking Chances	Michael Murphey
