Dizzy	Tommy Roe
Traces	Classics IV Featuring Dennis Yost
Time Of The Season	The Zombies
Aquarius/Let The Sunshine In (The Flesh Failures)	The 5th Dimension
Proud Mary	Creedence Clearwater Revival
Run Away Child, Running Wild	The Temptations
Indian Giver	1910 Fruitgum Co.
Galveston	Glen Campbell
My Whole World Ended (The Moment You Left Me)	David Ruffin
Only The Strong Survive	Jerry Butler
Build Me Up Buttercup	The Foundations
You've Made Me So Very Happy	Blood, Sweat & Tears
This Girl's In Love With You	Dionne Warwick
Everyday People	Sly & The Family Stone
Rock Me	Steppenwolf
Things I'd Like To Say	New Colony Six
Twenty-Five Miles	Edwin Starr
Crimson And Clover	Tommy James And The Shondells
Hot Smoke & Sasafrass	The Bubble Puppy
The Weight	Aretha Franklin
Baby, Baby Don't Cry	Smokey Robinson & The Miracles
Games People Play	Joe South
Mr. Sun, Mr. Moon	Paul Revere & The Raiders Featuring Mark Lindsay
You Gave Me A Mountain	Frankie Laine
This Magic Moment	Jay & The Americans
It's Your Thing	The Isley Brothers
Mendocino	Sir Douglas Quintet
Do Your Thing	The Watts 103rd Street Rhythm Band
I'll Try Something New	Supremes & Temptations
I've Gotta Be Me	Sammy Davis Jr.
Don't Give In To Him	Gary Puckett And The Union Gap
I Got A Line On You	Spirit
Sweet Cream Ladies, Forward March	The Box Tops
No, Not Much	The Vogues
Hair	The Cowsills
Brother Love's Travelling Salvation Show	Neil Diamond
Try A Little Tenderness	Three Dog Night
Snatching It Back	Clarence Carter
The Chokin' Kind	Joe Simon
But You Know I Love You	The First Edition
The Letter	The Arbors
Johnny One Time	Brenda Lee
I Can Hear Music	The Beach Boys
Time Is Tight	Booker T. & The MG's
Sophisticated Cissy	The Meters
There'll Come A Time	Betty Everett
I Don't Know Why	Stevie Wonder
A Lover's Question	Otis Redding
Blessed Is The Rain	The Brooklyn Bridge Featuring Johnny Maestro
When He Touches Me (Nothing Else Matters)	Peaches & Herb
The Pledge Of Allegiance	Red Skelton
Memories	Elvis Presley
Gimme Gimme Good Lovin'	Crazy Elephant
Don't Touch Me	Bettye Swann
I Like What You're Doing (To Me)	Carla Thomas
Apricot Brandy	Rhinoceros
Is It Something You've Got	Tyrone Davis
Tear Drop City	The Monkees
Lovin' Things	The Grass Roots
The Way It Used To Be	Engelbert Humperdinck
Sweet Cherry Wine	Tommy James And The Shondells
First Of May	Bee Gees
Playgirl	Thee Prophets
Don't Forget About Me	Dusty Springfield
These Are Not My People	Johnny Rivers
Back Door Man	Derek
Will You Be Staying After Sunday	The Peppermint Rainbow
Shotgun	Vanilla Fudge
My Way	Frank Sinatra
Hawaii Five-O	The Ventures
It's Only Love	B.J. Thomas
Day After Day (It's Slippin' Away)	Shango
Long Green	The Fireballs
Move In A Little Closer, Baby	Mama Cass
Didn't You Know (You'd Have To Cry Sometime)	Gladys Knight And The Pips
Mini-Skirt Minnie	Wilson Pickett
Mercy	Ohio Express
In The Still Of The Night	Paul Anka
Wishful Sinful	The Doors
Tracks Of My Tears	Aretha Franklin
Ice Cream Song	The Dynamics
Goodbye Columbus	The Association
Nothing But A Heartache	The Flirtations
Time Was	Canned Heat
Kick Out The Jams	MC5
There Never Was A Time	Jeannie C. Riley
Hello It's Me	Nazz
Foolish Fool	Dee Dee Warwick
Give It Away	The Chi-lites
Sing A Simple Song	Sly & The Family Stone
The Wedding Cake	Connie Francis
Hallways Of My Mind	The Dells
Born Again	Sam & Dave
Good Times Bad Times	Led Zeppelin
One Eye Open	The Maskman & The Agents
Zazueira (Za-zoo-wher-a)	Herb Alpert & The Tijuana Brass
God Knows I Love You	Nancy Sinatra
Something's On Her Mind	The 4 Seasons
Only You (And You Alone)	Bobby Hatfield
I Love My Baby	Archie Bell & The Drells
