Too Close	Next
All My Life	K-Ci & JoJo
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
Frozen	Madonna
You're Still The One	Shania Twain
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Truly Madly Deeply	Savage Garden
Nice & Slow	Usher
Sex And Candy	Marcy Playground
Everybody [Backstreet's Back]	Backstreet Boys
Gone Till November	Wyclef Jean
My Heart Will Go On	Celine Dion
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
No, No, No	Destiny's Child
I Want You Back	'N Sync
What You Want	Mase Featuring Total
Gettin' Jiggy Wit It	Will Smith
It's All About Me	Mya & Sisqo
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Together Again	Janet
Bitter Sweet Symphony	The Verve
How's It Going To Be	Third Eye Blind
How Do I Live	LeAnn Rimes
A Rose Is Still A Rose	Aretha Franklin
Do For Love	2Pac Featuring Eric Williams
I Don't Want To Wait	Paula Cole
Second Round K.O.	Canibus
Are You Jimmy Ray?	Jimmy Ray
The Party Continues	JD Featuring Da Brat
Kiss The Rain	Billie Myers
You Make Me Wanna...	Usher
The Mummers' Dance	Loreena McKennitt
I Got The Hook Up!	Master P Featuring Sons Of Funk
Rain	SWV
Looking Through Your Eyes	LeAnn Rimes
I Don't Ever Want To See You Again	Uncle Sam
Swing My Way	K.P. & Envyi
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Raise The Roof	Luke Featuring No Good But So Good
I'm Alright	Jo Dee Messina
Get At Me Dog	DMX Featuring Sheek Of The Lox
Too Much	Spice Girls
Love You Down	INOJ/LATHUN
This Kiss	Faith Hill
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
Semi-Charmed Life	Third Eye Blind
Show Me Love	Robyn
Imagination	Tamia
They Don't Know	Jon B
Gitty Up	Salt-N-Pepa
Cheers 2 U	Playa
Who Am I	Beenie Man
A Song For Mama	Boyz II Men
Strawberries	Smooth
My Heart Will Go On	Deja Vu
The City Is Mine	Jay-Z Featuring BLACKstreet
I Know Where It's At	All Saints
Love Me Good	Michael W. Smith
The Unforgiven II	Metallica
Say It	Voices Of Theory
Pink	Aerosmith
Recover Your Soul	Elton John
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
Then What?	Clay Walker
Bring It On	Keith Washington
This Is How We Party	S.O.A.P.
It's Up To You	The Tuesdays
Burn	Militia
A Promise I Make	Dakota Moon
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
All My Love	Queen Pen Featuring Eric Williams
It's Your Love	She Moves
Father	LL Cool J
Dangerous	Busta Rhymes
Light In Your Eyes	Blessid Union Of Souls
Life In Mono	Mono
Out Of My Bones	Randy Travis
Off The Hook	Jody Watley
I'm From The Country	Tracy Byrd
Sweet Surrender	Sarah McLachlan
If I Never Stop Loving You	David Kersh
Given To Fly	Pearl Jam
Moan & Groan	Mark Morrison
All I Do	Somethin' For The People
Reality	Elusion
Come Over To My Place	Davina
I Just Want To Dance With You	George Strait
What Would Happen	Meredith Brooks
In A Dream	Rockell
We're Not Making Love No More	Dru Hill
If You Think I'm Jiggy	The Lox
Gotta Be...Movin' On Up	PRINCE BE & Ky-Mani
Get Ready To Bounce	Brooklyn Bounce
Say You'll Stay	KAI
Do Your Thing	7 Mile
Am I Dreaming	Ol Skool [Featuring Keith Sweat & Xscape]
Just Clownin'	WC From Westside Connection
