Bump N' Grind	R. Kelly
The Sign	Ace Of Base
Without You/Never Forget You	Mariah Carey
The Power Of Love	Celine Dion
So Much In Love	All-4-One
Whatta Man	Salt-N-Pepa Featuring En Vogue
Mmm Mmm Mmm Mmm	Crash Test Dummies
Now And Forever	Richard Marx
The Most Beautiful Girl In The World	Prince
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
Gin And Juice	Snoop Doggy Dogg
Cantaloop (Flip Fantasia)	US3
Because Of Love	Janet Jackson
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Breathe Again	Toni Braxton
Indian Outlaw	Tim McGraw
Loser	Beck
I'm Ready	Tevin Campbell
Return To Innocence	Enigma
I'll Remember (From "With Honors")	Madonna
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
Rock And Roll Dreams Come Through	Meat Loaf
Groove Thang	Zhane
Because The Night	10,000 Maniacs
Stay	Eternal
Hero	Mariah Carey
All That She Wants	Ace Of Base
Please Forgive Me	Bryan Adams
Everyday	Phil Collins
And Our Feelings	Babyface
Feenin'	Jodeci
All For Love	Bryan Adams/Rod Stewart/Sting
Found Out About You	Gin Blossoms
Born To Roll	Masta Ace Incorporated
Love Sneakin' Up On You	Bonnie Raitt
Dunkie Butt (Please Please Please)	12 Gauge
Understanding	Xscape
Amazing	Aerosmith
Player's Ball	OutKast
Dreams	Gabrielle
You Know How We Do It	Ice Cube
Somethin' To Ride To (Fonky Expedition)	The Conscious Daughters
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Completely	Michael Bolton
Cry For You	Jodeci
I'm In The Mood	CeCe Peniston
Mother	Danzig
U Send Me Swingin'	Mint Condition
Said I Loved You...But I Lied	Michael Bolton
Can We Talk	Tevin Campbell
Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown
You Mean The World To Me	Toni Braxton
Having A Party	Rod Stewart
Got Me Waiting	Heavy D & The Boyz
I Want You	Juliet Roberts
Just Another Day	Queen Latifah
It's All Good	M.C. Hammer
You Don't Love Me (No, No, No)	Dawn Penn
I'm Outstanding	Shaquille O'Neal
How Do You Like It?	Keith Sweat
Laid	James
Come To My Window	Melissa Etheridge
Choose	Color Me Badd
The More You Ignore Me, The Closer I Get	Morrissey
Pumps And A Bump	M.C. Hammer
Dreams	The Cranberries
Dream On Dreamer	The Brand New Heavies
I Swear	John Michael Montgomery
Electric Relaxation (Relax Yourself Girl)	A Tribe Called Quest
Will You Be There (In The Morning)	Heart
U.N.I.T.Y.	Queen Latifah
God	Tori Amos
Mass Appeal	Gang Starr
C.R.E.A.M. (Cash Rules Everything Around Me)	Wu-Tang Clan
Zunga Zeng	K7
Since I Don't Have You	Guns N' Roses
Comin' On Strong	Sudden Change
Getto Jam	Domino
I'll Be Loving You	Collage
I'll Take You There (From "Threesome")	General Public
(Lay Your Head On My) Pillow	Tony Toni Tone
Neon Moonlight	Rosco Martinez
Lullabye (Goodnight, My Angel)	Billy Joel
No Doubt About It	Neal McCoy
Cannonball	The Breeders
You	Candlebox
Papa'z Song	2Pac Duet With Mopreme
Anything (From "Above The Rim")	SWV
On And On	Shyheim
Low	Cracker
Always On My Mind	SWV
Sweet Potatoe Pie	Domino
Funk Dat/Why Is It?	Sagat
I've Been Thinking About You	Jocelyn Enriquez
Sweet Lullaby	Deep Forest
My Love	Little Texas
I Like To Move It	Reel 2 Real Featuring The Mad Stuntman
In Walked Love	Expose
A Deeper Love (From "Sister Act 2")	Aretha Franklin
Life (Everybody Needs Somebody To Love)	Haddaway
