Ben	Michael Jackson
Use Me	Bill Withers
Everybody Plays The Fool	The Main Ingredient
Burning Love	Elvis Presley
Go All The Way	Raspberries
Baby Don't Get Hooked On Me	Mac Davis
My Ding-A-Ling	Chuck Berry
Nights In White Satin	The Moody Blues
Back Stabbers	The O'Jays
Popcorn	Hot Butter
Play Me	Neil Diamond
Garden Party	Rick Nelson And The Stone Canyon Band
You Wear It Well	Rod Stewart
Speak To The Sky	Rick Springfield
Tight Rope	Leon Russell
Why/Lonely Boy	Donny Osmond
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
Good Time Charlie's Got The Blues	Danny O'Keefe
Get On The Good Foot-Part 1	James Brown
The City Of New Orleans	Arlo Guthrie
Black & White	Three Dog Night
Listen To The Music	The Doobie Brothers
Saturday In The Park	Chicago
Don't Ever Be Lonely (A Poor Little Fool Like Me)	Cornelius Brothers & Sister Rose
Starting All Over Again	Mel And Tim
I Can See Clearly Now	Johnny Nash
Witchy Woman	Eagles
If I Could Reach You	The 5th Dimension
Thunder And Lightning	Chi Coltrane
I Believe In Music	Gallery
Midnight Rider	Joe Cocker and The Chris Stainton Band
I'll Be Around	The Spinners
Loving You Just Crossed My Mind	Sam Neely
Beautiful Sunday	Daniel Boone
I'd Love You To Want Me	Lobo
I Am Woman	Helen Reddy
Geronimo's Cadillac	Michael Murphey
Rock Me Baby	David Cassidy
Spaceman	Nilsson
Don't Do It	The Band
From The Beginning	Emerson, Lake & Palmer
Honky Cat	Elton John
Alone Again (Naturally)	Gilbert O'Sullivan
American City Suite	Cashman & West
If You Leave Me Tonight I'll Cry	Jerry Wallace
A Piece Of Paper	Gladstone
Don't Hide Your Love	Cher
Elected	Alice Cooper
All The Young Dudes	Mott The Hoople
Summer Breeze	Seals & Crofts
Slaughter	Billy Preston
Can't You Hear The Song?	Wayne Newton
That's How Love Goes	Jermaine Jackson
(It's The Way) Nature Planned It	Four Tops
Sweet Caroline (Good Times Never Seemed So Good)	Bobby Womack & Peace
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
Run To Me	Bee Gees
A Lonely Man/The Man & The Woman (The Boy & The Girl)	The Chi-lites
Rock 'N Roll Soul	Grand Funk Railroad
Let It Rain	Eric Clapton
Power Of Love	Joe Simon
Guess Who/Them Changes	B.B. King
Woman Don't Go Astray	King Floyd
Easy Livin	Uriah Heep
For Emily, Whenever I May Find Her	Simon & Garfunkel
Colorado	Danny Holien
Poor Boy	Casey Kelly
I'll Make You Music	Beverly Bremers
Toast To The Fool	The Dramatics
Think (About It)	Lyn Collins
Funny Face	Donna Fargo
So Long Dixie	Blood, Sweat & Tears
Carry Me, Carrie	Dr. Hook And The Medicine Show
We Can Make It Together	Steve & Eydie Featuring The Osmonds
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
One More Chance	Ocean
If You Let Me	Eddie Kendricks
Operator (That's Not the Way it Feels)	Jim Croce
Guilty	Al Green
Sunny Days	Lighthouse
Man Sized Job	Denise LaSalle
Best Thing	Styx
Papa Was A Rollin' Stone	The Temptations
If You Can Beat Me Rockin' (You Can Have My Chair)	Laura Lee
Dance, Dance, Dance	The New Seekers featuring Marty Kristian
The Mosquito	The Doors
Wedding Song (There Is Love)	Petula Clark
Dinah Flo	Boz Scaggs
Baby Sitter	Betty Wright
Why Can't We Be Lovers	Holland-Dozier
No	Bulldog
I'm Stone In Love With You	The Stylistics
Dedicated To The One I Love	The Temprees
Sing A Song/Make Your Own Kind Of Music	Barbra Streisand
With Pen In Hand	Bobby Goldsboro
Deteriorata	National Lampoon
Runnin' Back To Saskatoon	The Guess Who
Something's Wrong With Me	Austin Roberts
I Just Want To Make Love To You	Foghat
Happier Than The Morning Sun	B.J. Thomas
