Africa	Toto
Down Under	Men At Work
Sexual Healing	Marvin Gaye
Baby, Come To Me	Patti Austin A Duet With James Ingram
Shame On The Moon	Bob Seger & The Silver Bullet Band
Maneater	Daryl Hall John Oates
Dirty Laundry	Don Henley
Rock The Casbah	The Clash
You And I	Eddie Rabbitt With Crystal Gayle
You Can't Hurry Love	Phil Collins
The Other Guy	Little River Band
Stray Cat Strut	Stray Cats
Goody Two Shoes	Adam Ant
Pass The Dutchie	Musical Youth
Heart To Heart	Kenny Loggins
The Girl Is Mine	Michael Jackson And Paul McCartney
Allentown	Billy Joel
Your Love Is Driving Me Crazy	Sammy Hagar
All Right	Christopher Cross
You Got Lucky	Tom Petty And The Heartbreakers
Do You Really Want To Hurt Me	Culture Club
Hungry Like The Wolf	Duran Duran
Mickey	Toni Basil
You Are	Lionel Richie
Heart Of The Night	Juice Newton
Back On The Chain Gang	Pretenders
Billie Jean	Michael Jackson
We've Got Tonight	Kenny Rogers And Sheena Easton
Shock The Monkey	Peter Gabriel
What About Me	Moving Pictures
Space Age Love Song	A Flock Of Seagulls
Hand To Hold On To	John Cougar
Twilight Zone	Golden Earring
On The Loose	Saga
Bad Boy	Ray Parker Jr.
Separate Ways (Worlds Apart)	Journey
One On One	Daryl Hall John Oates
I Knew You When	Linda Ronstadt
Breaking Us In Two	Joe Jackson
The Woman In Me	Donna Summer
I Know There's Something Going On	Frida
Fall In Love With Me	Earth, Wind & Fire
The Clapping Song	Pia Zadora
Heartbreaker	Dionne Warwick
Tied Up	Olivia Newton-John
I'm Alive	Neil Diamond
Dreamin' Is Easy	Steel Breeze
After I Cry Tonight	Lanier & Co.
Love In Store	Fleetwood Mac
My Kind Of Lady	Supertramp Featuring Rick Davies
I've Got A Rock N' Roll Heart	Eric Clapton
Don't Tell Me You Love Me	Night Ranger
Shoot For The Moon	Poco
Burning Heart	Vandenberg
The Blues	Randy Newman & Paul Simon
I Can't Stand Still	Don Henley
Gloria	Laura Branigan
Come On Eileen	Dexys Midnight Runners
Winds Of Change	Jefferson Starship
Put It In A Magazine	Sonny Charles
Poison Arrow	ABC
Betcha She Don't Love You	Evelyn King
Lies	Thompson Twins
All Those Lies	Glenn Frey
So Close	Diana Ross
Jeopardy	Greg Kihn Band
It's Raining Men	The Weather Girls
Windows	Missing Persons
Nice Girls	Melissa Manchester
I Like It	Debarge
What If (I Said I Love You)	Unipop
Love Me Again	The John Hall Band
Little Too Late	Pat Benatar
It Might Be You	Stephen Bishop
The One That Really Matters	Survivor
Always	Firefall
Little Thing Called Love	Neil Young
New Frontier	Donald Fagen
Too Much Love To Hide	Crosby, Stills & Nash
Make Love Stay	Dan Fogelberg
What You're Missing	Chicago
Feet Don't Fail Me Now	Utopia
The Look Of Love (Part One)	ABC
Voo Doo	Rachel Sweet
I Do	The J. Geils Band
Steppin' Out	Joe Jackson
Two Less Lonely People In The World	Air Supply
She's A Runner	Billy Squier
Come Give Your Love To Me	Janet Jackson
Memory	Barry Manilow
Forever	Little Steven
Got To Be There	Chaka Khan
Right Before Your Eyes	America
Still Taking Chances	Michael Murphey
Rock This Town	Stray Cats
Truly	Lionel Richie
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
A Penny For Your Thoughts	Tavares
Papa Was A Rollin' Stone	Wolf
Give It Up	The Steve Miller Band
