Greatest Love Of All	Whitney Houston
Live To Tell	Madonna
On My Own	Patti LaBelle & Michael McDonald
West End Girls	Pet Shop Boys
If You Leave	Orchestral Manoeuvres In The Dark
What Have You Done For Me Lately	Janet Jackson
Take Me Home	Phil Collins
Bad Boy	Miami Sound Machine
I Can't Wait	Nu Shooz
All I Need Is A Miracle	Mike + The Mechanics
Why Can't This Be Love	Van Halen
Something About You	Level 42
Be Good To Yourself	Journey
Is It Love	Mr. Mister
Your Love	The Outfield
Move Away	Culture Club
Addicted To Love	Robert Palmer
Crush On You	The Jets
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
Nothin' At All	Heart
A Different Corner	George Michael
No One Is To Blame	Howard Jones
Never As Good As The First Time	Sade
Rough Boy	ZZ Top
Holding Back The Years	Simply Red
Tomorrow Doesn't Matter Tonight	Starship
Mothers Talk	Tears For Fears
I Wanna Be A Cowboy	Boys Don't Cry
All The Things She Said	Simple Minds
Kiss	Prince And The Revolution
Rain On The Scarecrow	John Mellencamp
Who's Johnny ("Short Circuit" Theme)	El DeBarge
Vienna Calling	Falco
Harlem Shuffle	The Rolling Stones
Tuff Enuff	The Fabulous Thunderbirds
American Storm	Bob Seger
Like No Other Night	Thirty Eight Special
Where Do The Children Go	Hooters
Your Wildest Dreams	The Moody Blues
Manic Monday	The Bangles
The Love Parade	The Dream Academy
Pretty In Pink	Psychedelic Furs
When The Heart Rules The Mind	GTR
Stick Around	Julian Lennon
Rock Me Amadeus	Falco
Let's Go All The Way	Sly Fox
Out Of Mind Out Of Sight	Models
Right Between The Eyes	Wax
Danger Zone	Kenny Loggins
If She Knew What She Wants	The Bangles
Sledgehammer	Peter Gabriel
One Hit (To The Body)	The Rolling Stones
Nasty	Janet Jackson
Digging Your Scene	The Blow Monkeys
Dreams	Van Halen
Like A Rock	Bob Seger
If Your Heart Isn't In It	Atlantic Starr
Mountains	Prince And The Revolution
The Heat Of Heat	Patti Austin
What You Need	INXS
Don Quichotte	Magazine 60
Listen Like Thieves	INXS
I Must Be Dreaming	Giuffria
Has Anyone Ever Written Anything For You	Stevie Nicks
Feel It Again	Honeymoon Suite
Chain Reaction	Diana Ross
Mutual Surrender (What A Wonderful World)	Bourgeois Tagg
Lead A Double Life	Loverboy
Mad About You	Belinda Carlisle
Say It, Say It	E.G. Daily
The Finest	The S.O.S. Band
Living On Video	Trans-X
Tender Love	Force M.D.'s
Saturday Love	Cherrelle With Alexander O'Neal
So Far Away	Dire Straits
Fire With Fire	Wild Blue
Secret Separation	The Fixx
Secret Lovers	Atlantic Starr
We Don't Have To Take Our Clothes Off	Jermaine Stewart
Under The Influence	Vanity
Restless	Starpoint
Peter Gunn	The Art Of Noise Featuring Duane Eddy
Headed For The Future	Neil Diamond
You Should Be Mine (The Woo Woo Song)	Jeffrey Osborne
One Step Closer To You	Gavin Christopher
I Want You	Animotion
Innocent Eyes	Graham Nash
I Think It's Love	Jermaine Jackson
These Dreams	Heart
Female Intuition	Mai Tai
Vanity Kills	ABC
Call Me	Dennis DeYoung
Divided Hearts	Kim Carnes
A Little Bit Of Love (Is All It Takes)	New Edition
Hands Across America	Voices Of America
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Don't Walk Away	Robert Tepper
Is That It?	Katrina And The Waves
Absolute Beginners	David Bowie
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
