Sherry	The 4 Seasons
Sheila	Tommy Roe
Ramblin' Rose	Nat King Cole
The Loco-Motion	Little Eva
Green Onions	Booker T. & The MG's
She's Not You	Elvis Presley With The Jordanaires
Teen Age Idol	Rick Nelson
You Don't Know Me	Ray Charles
Patches	Dickey Lee
Rinky Dink	Baby Cortez
Breaking Up Is Hard To Do	Neil Sedaka
You Beat Me To The Punch	Mary Wells
You Belong To Me	The Duprees
Party Lights	Claudine Clark
Let's Dance	Chris Montez
Devil Woman	Marty Robbins
Send Me The Pillow You Dream On	Johnny Tillotson
Alley Cat	Bent Fabric and His Piano
Venus In Blue Jeans	Jimmy Clanton
Beechwood 4-5789	The Marvelettes
Point Of No Return	Gene McDaniels
Silver Threads And Golden Needles	The Springfields
Shame On Me	Bobby Bare
Things	Bobby Darin
A Wonderful Dream	The Majors
A Swingin' Safari	Billy Vaughn And His Orchestra
Lie To Me	Brook Benton
Come On Little Angel	The Belmonts
Your Nose Is Gonna Grow	Johnny Crawford
Surfin' Safari	The Beach Boys
What's A Matter Baby (Is It Hurting You)	Timi Yuro
Hully Gully Baby	The Dovells
Rain Rain Go Away	Bobby Vinton
Stop The Wedding	Etta James
If I Had A Hammer (The Hammer Song)	Peter, Paul & Mary
What Kind Of Love Is This	Joey Dee & the Starliters
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Vacation	Connie Francis
I'm The Girl From Wolverton Mountain	Jo Ann Campbell
Punish Her	Bobby Vee
It Might As Well Rain Until September	Carole King
Do You Love Me	The Contours
Mr. Songwriter	Connie Stevens
Roses Are Red (My Love)	Bobby Vinton
Little Diane	Dion
I Love You The Way You Are	Bobby Vinton
Twist And Shout	The Isley Brothers
Baby Elephant Walk	Lawrence Welk And His Orchestra
The Boys' Night Out	Patti Page
Till Death Do Us Part	Bob Braun
Papa-Oom-Mow-Mow	The Rivingtons
Make It Easy On Yourself	Jerry Butler
I Remember You	Frank Ifield
I Left My Heart In San Francisco	Tony Bennett
Every Night (Without You)	Paul Anka
Lollipops And Roses	Paul Petersen
You Can't Judge A Book By The Cover	Bo Diddley
Bring It On Home To Me	Sam Cooke
Yield Not To Temptation	Bobby Bland
Call Me Mr. In-Between	Burl Ives
Lolita Ya-Ya	The Ventures
Long As The Rose Is Red	Florraine Darlin
Torture	Kris Jensen
Hide & Go Seek, Part I	Bunker Hill
I Keep Forgettin'	Chuck Jackson
What's Gonna Happen When Summer's Done	Freddy Cannon
(Theme from) A Summer Place	Dick Roman
Only Love Can Break A Heart	Gene Pitney
Stop The Music	The Shirelles
Popeye (The Hitchhiker)	Chubby Checker
If I Didn't Have A Dime (To Play The Jukebox)	Gene Pitney
A Taste Of Honey	Martin Denny and His Orchestra
Don't You Worry	Don Gardner And Dee Dee Ford
Don't Go Near The Indians	Rex Allen
Beach Party	King Curtis And The Noble Knights
Glory Of Love	Don Gardner And Dee Dee Ford
Little Black Book	Jimmy Dean
So What	Bill Black's Combo
Limbo Rock	Chubby Checker
No One Will Ever Know	Jimmie Rodgers
Lookin' For A Love	The Valentinos
The Things We Did Last Summer	Shelley Fabares
Stormy Monday Blues	Bobby Bland
Big Love	Joe Henderson
Sweet Sixteen Bars	Earl Grant
Broken Heart	The Fiestas
What Kind Of Fool Am I	Sammy Davis Jr.
There Is No Greater Love	The Wanderers
The Swiss Maid	Del Shannon
What Time Is It?	The Jive Five With Eugene Pitts
He's A Rebel	The Crystals
Copy Cat	Gary U.S. Bonds
I Really Don't Want To Know	Solomon Burke
Bonanza!	Johnny Cash
Way Over There	The Miracles
Don't You Believe It	Andy Williams
Sweet Little Sixteen	Jerry Lee Lewis
Close To Cathy	Mike Clifford
Ol' Man River	Jimmy Smith
Your Heart Belongs To Me	The Supremes
