Hang On Sloopy	The McCoys
Eve Of Destruction	Barry McGuire
Yesterday	The Beatles
Catch Us If You Can	The Dave Clark Five
You Were On My Mind	We Five
The "In" Crowd	Ramsey Lewis Trio
Treat Her Right	Roy Head And The Traits
You've Got Your Troubles	The Fortunes
Baby Don't Go	Sonny & Cher
Laugh At Me	Sonny
Help!	The Beatles
Do You Believe In Magic	The Lovin' Spoonful
We Gotta Get Out Of This Place	The Animals
Heart Full Of Soul	The Yardbirds
Some Enchanted Evening	Jay & The Americans
I'm Yours	Elvis Presley
It Ain't Me Babe	The Turtles
Like A Rolling Stone	Bob Dylan
Keep On Dancing	The Gentrys
Liar, Liar	The Castaways
Agent Double-O-Soul	Edwin Starr
I'll Make All Your Dreams Come True	Ronnie Dove
Unchained Melody	The Righteous Brothers
Just You	Sonny & Cher
Just A Little Bit Better	Herman's Hermits
Ride Away	Roy Orbison
With These Hands	Tom Jones
Mohair Sam	Charlie Rich
Home Of The Brave	Jody Miller
I Got You Babe	Sonny & Cher
Action	Freddy Cannon
California Girls	The Beach Boys
Kansas City Star	Roger Miller
Summer Nights	Marianne Faithfull
Sad, Sad Girl	Barbara Mason
Heartaches By The Number	Johnny Tillotson
Papa's Got A Brand New Bag (Part I)	James Brown And The Famous Flames
A Lover's Concerto	The Toys
Hold Me, Thrill Me, Kiss Me	Mel Carter
Houston	Dean Martin
You're The One	The Vogues
Everybody Loves A Clown	Gary Lewis And The Playboys
The Dawn Of Correction	The Spokesmen
My Town, My Guy And Me	Lesley Gore
Ain't It True	Andy Williams
The Tracks Of My Tears	The Miracles
3rd Man Theme	Herb Alpert & The Tijuana Brass
I Want To (Do Everything For You)	Joe Tex
Make Me Your Baby	Barbara Lewis
Hungry For Love	San Remo Golden Strings
What Color (Is A Man)	Bobby Vinton
I'm A Happy Man	The Jive Five
There But For Fortune	Joan Baez
Not The Lovin' Kind	Dino, Desi & Billy
I Knew You When	Billy Joe Royal
Cara-Lin	The Strangeloves
(My Girl) Sloopy	Little Caesar And The Consuls
Moonlight And Roses (Bring Mem'ries Of You)	Vic Dana
High Heel Sneakers	Stevie Wonder
I Live For The Sun	The Sunrays
Two Different Worlds	Lenny Welch
Respect	Otis Redding
Steppin' Out	Paul Revere & The Raiders
Everyone's Gone To The Moon	Jonathan King
These Hands (Small But Mighty)	Bobby Bland
Positively 4th Street	Bob Dylan
Are You A Boy Or Are You A Girl	The Barbarians
N-E-R-V-O-U-S!	Ian Whitcomb
Universal Soldier	Donovan
First I Look At The Purse	The Contours
The Universal Soldier	Glen Campbell
Act Naturally	The Beatles
The Girl From Peyton Place	Dickey Lee
Taste Of Honey	Herb Alpert & The Tijuana Brass
Danger Heartbreak Dead Ahead	The Marvelettes
Rescue Me	Fontella Bass
1-2-3	Len Barry
If You've Got A Heart	Bobby Goldsboro
Little Miss Sad	The Five Emprees
Take Me In Your Arms (Rock Me A Little While)	Kim Weston
The World Through A Tear	Neil Sedaka
Say Something Funny	Patty Duke
I Miss You So	Little Anthony And The Imperials
A Lifetime Of Loneliness	Jackie DeShannon
Tossing & Turning	The Ivy League
Funny Little Butterflies	Patty Duke
The Sins Of A Family	P.F. Sloan
The Way Of Love	Kathy Kirby
Roundabout	Connie Francis
Run, Baby Run (Back Into My Arms)	The Newbeats
Just One Kiss From You	The Impressions
Where Have All The Flowers Gone	Johnny Rivers
Secretly	The Lettermen
Road Runner	The Gants
For Your Love	Sam & Bill
You Can't Take It Away	Fred Hughes
Looking With My Eyes	Dionne Warwick
Let's Move & Groove (Together)	Johnny Nash
He Touched Me	Barbra Streisand
The Organ Grinder's Swing	Jimmy Smith With Kenny Burrell And Grady Tate
