Bump N' Grind	R. Kelly
The Sign	Ace Of Base
Without You/Never Forget You	Mariah Carey
Mmm Mmm Mmm Mmm	Crash Test Dummies
So Much In Love	All-4-One
The Most Beautiful Girl In The World	Prince
The Power Of Love	Celine Dion
Whatta Man	Salt-N-Pepa Featuring En Vogue
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
Now And Forever	Richard Marx
Loser	Beck
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Return To Innocence	Enigma
I'm Ready	Tevin Campbell
I'll Remember (From "With Honors")	Madonna
Gin And Juice	Snoop Doggy Dogg
Cantaloop (Flip Fantasia)	US3
Indian Outlaw	Tim McGraw
Because Of Love	Janet Jackson
Breathe Again	Toni Braxton
And Our Feelings	Babyface
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
You Mean The World To Me	Toni Braxton
Love Sneakin' Up On You	Bonnie Raitt
Born To Roll	Masta Ace Incorporated
Groove Thang	Zhane
Feenin'	Jodeci
Because The Night	10,000 Maniacs
Dunkie Butt (Please Please Please)	12 Gauge
You Know How We Do It	Ice Cube
All That She Wants	Ace Of Base
Completely	Michael Bolton
Rock And Roll Dreams Come Through	Meat Loaf
Got Me Waiting	Heavy D & The Boyz
Everyday	Phil Collins
Hero	Mariah Carey
Please Forgive Me	Bryan Adams
Player's Ball	OutKast
Anything (From "Above The Rim")	SWV
Found Out About You	Gin Blossoms
All For Love	Bryan Adams/Rod Stewart/Sting
Stay	Eternal
Amazing	Aerosmith
I'll Take You There (From "Threesome")	General Public
I Want You	Juliet Roberts
Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown
Somethin' To Ride To (Fonky Expedition)	The Conscious Daughters
Come To My Window	Melissa Etheridge
Pumps And A Bump	M.C. Hammer
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Dreams	The Cranberries
The More You Ignore Me, The Closer I Get	Morrissey
Dream On Dreamer	The Brand New Heavies
Understanding	Xscape
Mother	Danzig
How Do You Like It?	Keith Sweat
Regulate (From "Above The Rim")	Warren G & Nate Dogg
I'm In The Mood	CeCe Peniston
It's All Good	M.C. Hammer
C.R.E.A.M. (Cash Rules Everything Around Me)	Wu-Tang Clan
Beautiful In My Eyes	Joshua Kadison
Neon Moonlight	Rosco Martinez
Just Another Day	Queen Latifah
Comin' On Strong	Sudden Change
Having A Party	Rod Stewart
You Don't Love Me (No, No, No)	Dawn Penn
I'm Outstanding	Shaquille O'Neal
Sweet Potatoe Pie	Domino
U Send Me Swingin'	Mint Condition
I Swear	John Michael Montgomery
Mass Appeal	Gang Starr
I Swear	All-4-One
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
Electric Relaxation (Relax Yourself Girl)	A Tribe Called Quest
Zunga Zeng	K7
God	Tori Amos
Lullabye (Goodnight, My Angel)	Billy Joel
No Doubt About It	Neal McCoy
Play My Funk (From "Sugar Hill")	Simple E
Low	Cracker
Laid	James
Choose	Color Me Badd
Since I Don't Have You	Guns N' Roses
You	Candlebox
My Love	Little Texas
In Walked Love	Expose
Gonna Love You Right (From "Sugar Hill")	After 7
Always On My Mind	SWV
The Right Time (From "Four Weddings And A Funeral")	I To I
I've Been Thinking About You	Jocelyn Enriquez
Will You Be There (In The Morning)	Heart
My Sharona (From "Reality Bites")	The Knack
I Got Cha Opin	Black Moon
Bizarre Love Triangle	FRENTE!
Leaving Las Vegas	Sheryl Crow
(Lay Your Head On My) Pillow	Tony Toni Tone
It Ain't Hard To Tell	Nas
Love On My Mind	Xscape
Funk Dat/Why Is It?	Sagat
Regular Thang	Ovis
