Waterfalls	TLC
Kiss From A Rose	Seal
Don't Take It Personal (Just One Of Dem Days)	Monica
Boombastic/In The Summertime	Shaggy
One More Chance/Stay With Me	The Notorious B.I.G.
I Can Love You Like That	All-4-One
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Run-Around	Blues Traveler
Water Runs Dry	Boyz II Men
He's Mine	MoKenStef
Someone To Love	Jon B. Featuring Babyface
Total Eclipse Of The Heart	Nicki French
Player's Anthem	Junior M.A.F.I.A.
This Ain't A Love Song	Bon Jovi
Let Her Cry	Hootie & The Blowfish
Have You Ever Really Loved A Woman?	Bryan Adams
Freek'n You	Jodeci
Every Little Thing I Do	Soul For Real
Come And Get Your Love	Real McCoy
Shy Guy (From "Bad Boys")	Diana King
I Got 5 On It	Luniz
Only Wanna Be With You	Hootie & The Blowfish
Feel Me Flow	Naughty By Nature
I Wish	Skee-Lo
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
December	Collective Soul
I Believe	Blessid Union Of Souls
Misery	Soul Asylum
You Used To Love Me	Faith Evans
I Know	Dionne Farris
Freak Like Me	Adina Howard
Brown Sugar	D'Angelo
Good	Better Than Ezra
Scream/Childhood	Michael Jackson & Janet Jackson
This Is How We Do It	Montell Jordan
Feels So Good	Xscape
Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain
Can't Cry Anymore	Sheryl Crow
Sugar Hill	AZ
As I Lay Me Down	Sophie B. Hawkins
I'll Be There For You/You're All I Need To Get By	Method Man Featuring Mary J. Blige
Best Friend	Brandy
Roll To Me	Del Amitri
'Til You Do Me Right	After 7
Somebody's Crying	Chris Isaak
Carnival	Natalie Merchant
In The House Of Stone And Light	Martin Page
Somethin' 4 Da Honeyz	Montell Jordan
So Many Tears	2Pac
Human Nature	Madonna
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
Made In England	Elton John
I Wanna B With U	Fun Factory
Glaciers Of Ice/Criminology	Chef Raekwon
Sprinkle Me	E-40 (Featuring Suga T)
Molly (Sixteen Candles)	Sponge
I Can't Tell You Why	Brownstone
Can't You See (From "New Jersey Drive")	Total Featuring The Notorious B.I.G.
My Love Is For Real	Paula Abdul
Crazy Love (From "Jason's Lyric")	Brian McKnight
Pull Up To The Bumper	Patra
I Like	Kut Klose
Back For Good	Take That
Take Your Time (Do It Right)	Max-A-Million
I Love You/You Bring Me Joy	Mary J. Blige
Freak Me Baby	Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock
I Wanna Love Like That	Tony Thompson
My Up And Down	Adina Howard
Let Me Be The One	Blessid Union Of Souls
Baby Baby	Corona
Stutter	Elastica
Big Yellow Taxi	Amy Grant
Sick Of Myself	Matthew Sweet
So In Love With You	U.N.V.
Shimmy Shimmy Ya	Ol' Dirty Bastard
Hey Man Nice Shot	Filter
You Have The Right To Remain Silent	Perfect Stranger
Foe Life	Mack 10
Leave Virginia Alone	Rod Stewart
Survival Of The Fittest	Mobb Deep
Remember Me This Way (From "Casper")	Jordan Hill
When You Say Nothing At All	Alison Krauss + Union Station
Jeremy/Yellow Ledbetter	Pearl Jam
Warm Summer Daze	Vybe
Froggy Style	Nuttin' Nyce
I Saw You Dancing	Yaki-Da
We Must Be In Love	Pure Soul
Listen Me Tic (Woyoi)	Ini Kamoze
Tonight Is The Night	Le Click
Summertime In The LBC (From "The Show")	The Dove Shack
The I.N.C. Ride	Masta Ace Incorporated
Mind Blowin'	Smooth
Died In Your Arms	Intonation Featuring Joee
Missing	Everything But The Girl
Heaven	Solo
I Like It (I Wanna Be Where You Are)	Grand Puba
Walking To Jerusalem	Tracy Byrd
Give It 2 You	Da Brat
Connection	Elastica
How Deep Is Your Love	Portrait
